step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8430.871:3142.9163),(-2.46311:-7.0840025)
2,moveGoal,(8429.896:3135.4797),(-0.9743227:-7.4364443)
3,moveGoal,(8430.471:3128.0017),(0.5739249:-7.4780087)
4,moveGoal,(8432.114:3120.6838),(1.643327:-7.3177505)
5,moveGoal,(8432.825:3113.2175),(0.71050215:-7.4662704)
6,moveGoal,(8431.878:3105.7776),(-0.9469263:-7.439982)
7,moveGoal,(8430.321:3098.441),(-1.5566026:-7.336688)
8,moveGoal,(8429.021:3091.0544),(-1.299917:-7.386489)
9,moveGoal,(8431.57:3084.0007),(2.5488687:-7.0536)
10,moveGoal,(8430.908:3076.53),(-0.6616331:-7.4707594)
11,moveGoal,(8436.921:3072.0476),(6.013112:-4.482464)
12,moveGoal,(8444.387:3071.337),(7.4662576:-0.71063954)
13,moveGoal,(8437.325:3068.81),(-7.0615582:-2.5267375)
14,moveGoal,(8437.581:3061.3145),(0.2561405:-7.495625)
15,moveGoal,(8442.581:3055.7244),(5.0000186:-5.5901537)
16,moveGoal,(8435.133:3054.846),(-7.448374:-0.878481)
17,moveGoal,(8440.921:3050.0767),(5.78826:-4.769282)
18,moveGoal,(8447.986:3047.5605),(7.065354:-2.516103)
19,moveGoal,(8442.612:3042.329),(-5.374113:-5.2315297)
20,moveGoal,(8446.694:3036.037),(4.0815854:-6.2921114)
21,moveGoal,(8447.514:3028.582),(0.8192651:-7.4551196)
22,moveGoal,(8441.462:3024.1523),(-6.052018:-4.4297943)
23,moveGoal,(8444.575:3017.3289),(3.1131384:-6.8233695)
24,moveGoal,(8440.877:3010.8037),(-3.697824:-6.5250363)
25,moveGoal,(8447.741:3007.7808),(6.863776:-3.0230088)
26,moveGoal,(8440.306:3006.7964),(-7.435108:-0.98446417)
27,moveGoal,(8438.959:2999.4182),(-1.3467338:-7.3780966)
28,moveGoal,(8438.195:2991.9573),(-0.763683:-7.461018)
29,moveGoal,(8433.007:2986.5413),(-5.188052:-5.4160986)
30,moveGoal,(8427.116:2981.899),(-5.8905:-4.642414)
31,moveGoal,(8419.622:2981.5923),(-7.4937267:-0.30669123)
32,moveGoal,(8427.12:2981.7703),(7.497886:0.17806885)
33,moveGoal,(8421.571:2976.7239),(-5.5484266:-5.0462823)
34,moveGoal,(8414.804:2973.4922),(-6.7680135:-3.2317169)
35,moveGoal,(8408.749:2969.0657),(-6.054505:-4.4263954)
36,moveGoal,(8402.717:2964.6086),(-6.0319076:-4.45714)
37,moveGoal,(8396.584:2960.292),(-6.133265:-4.316603)
38,moveGoal,(8389.25:2958.7239),(-7.3342323:-1.5681336)
39,moveGoal,(8383.691:2953.6892),(-5.558865:-5.0347815)
40,moveGoal,(8376.818:2950.687),(-6.87289:-3.0022297)
41,moveGoal,(8369.931:2947.7185),(-6.8874903:-2.9685829)
42,moveGoal,(8363.365:2944.0938),(-6.565855:-3.6248517)
43,moveGoal,(8360.553:2937.141),(-2.812918:-6.9525175)
44,moveGoal,(8353.484:2934.6326),(-7.068084:-2.5084248)
45,moveGoal,(8346.975:2930.9082),(-6.5098743:-3.7244518)
46,moveGoal,(8340.872:2926.5486),(-6.102803:-4.3595634)
47,moveGoal,(8333.786:2924.0906),(-7.085816:-2.457888)
48,moveGoal,(8326.879:2921.1672),(-6.906848:-2.9232607)
49,moveGoal,(8320.688:2916.9333),(-6.1905823:-4.2339926)
50,moveGoal,(8315.538:2911.4814),(-5.1503754:-5.451938)
51,moveGoal,(8310.7:2905.7507),(-4.838198:-5.73078)
52,moveGoal,(8303.539:2903.5205),(-7.1607695:-2.2301092)
53,moveGoal,(8310.156:2899.991),(6.6176033:-3.5294938)
54,moveGoal,(8306.811:2893.2783),(-3.3452377:-6.712629)
55,moveGoal,(8301.898:2887.6108),(-4.9121037:-5.6675606)
56,moveGoal,(8295.317:2884.0134),(-6.580932:-3.5974066)
57,moveGoal,(8301.589:2879.9004),(6.2716084:-4.1130195)
58,moveGoal,(8306.966:2874.6716),(5.3767314:-5.2288394)
59,moveGoal,(8299.472:2874.9575),(-7.494548:0.2859192)
60,moveGoal,(8293.418:2870.5295),(-6.053311:-4.4280276)
61,moveGoal,(8286.046:2869.1482),(-7.3716793:-1.3814309)
62,moveGoal,(8292.63:2865.5562),(6.5838404:-3.5920813)
63,moveGoal,(8285.486:2867.8394),(-7.1439857:2.2833018)
64,moveGoal,(8290.789:2862.5354),(5.302559:-5.3040423)
65,moveGoal,(8283.384:2861.3477),(-7.405365:-1.1876743)
66,moveGoal,(8278.478:2855.6753),(-4.9066854:-5.6722517)
67,moveGoal,(8272.031:2851.8425),(-6.4467573:-3.8326657)
68,moveGoal,(8274.539:2844.7742),(2.5074797:-7.068419)
69,moveGoal,(8268.531:2840.2842),(-6.007455:-4.4900436)
