step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8426.767:3153.6228),(-6.5671415:3.6225207)
2,moveGoal,(8419.523:3155.5698),(-7.24289:1.946933)
3,moveGoal,(8412.55:3152.8098),(-6.9737372:-2.75989)
4,moveGoal,(8405.051:3152.72),(-7.4994607:-0.08991872)
5,moveGoal,(8397.882:3154.923),(-7.1691246:2.2031016)
6,moveGoal,(8390.412:3154.2478),(-7.4695344:-0.67531824)
7,moveGoal,(8384.729:3149.3545),(-5.683805:-4.8932977)
8,moveGoal,(8379.141:3154.357),(-5.5880585:5.0023594)
9,moveGoal,(8371.761:3155.6912),(-7.3803473:1.3343447)
10,moveGoal,(8364.319:3156.6274),(-7.441333:0.9362485)
11,moveGoal,(8357.079:3158.583),(-7.240578:1.955513)
12,moveGoal,(8356.507:3166.061),(-0.57255167:7.478114)
13,moveGoal,(8349.646:3169.091),(-6.860635:3.0301306)
14,moveGoal,(8354.311:3174.9646),(4.663905:5.873499)
15,moveGoal,(8361.475:3177.183),(7.1643543:2.218564)
16,moveGoal,(8356.616:3171.4697),(-4.8587523:-5.713364)
17,moveGoal,(8355.784:3178.9236),(-0.8315821:7.4537554)
18,moveGoal,(8348.517:3177.0693),(-7.267198:-1.8541402)
19,moveGoal,(8341.305:3175.0105),(-7.2118998:-2.0587618)
20,moveGoal,(8333.806:3174.924),(-7.499503:-0.08634874)
21,moveGoal,(8340.104:3178.997),(6.297604:4.073105)
22,moveGoal,(8336.275:3172.5476),(-3.8282404:-6.4493856)
23,moveGoal,(8328.791:3172.0632),(-7.4843435:-0.48435873)
24,moveGoal,(8321.758:3174.6672),(-7.033391:2.6041155)
25,moveGoal,(8315.683:3170.2693),(-6.0751805:-4.3979745)
26,moveGoal,(8314.895:3177.7278),(-0.7879937:7.45849)
27,moveGoal,(8314.185:3185.194),(-0.7102716:7.4662924)
28,moveGoal,(8312.888:3192.5813),(-1.2964609:7.3870964)
29,moveGoal,(8305.791:3190.1545),(-7.0965714:-2.426659)
30,moveGoal,(8304.741:3197.5806),(-1.050291:7.426096)
31,moveGoal,(8299.13:3192.6045),(-5.611578:-4.975962)
32,moveGoal,(8292.154:3195.3608),(-6.9751444:2.756332)
33,moveGoal,(8284.779:3193.998),(-7.3751364:-1.3628522)
34,moveGoal,(8277.346:3194.997),(-7.433173:0.99896693)
35,moveGoal,(8271.096:3190.8513),(-6.249946:-4.1458626)
36,moveGoal,(8263.919:3188.6738),(-7.1769595:-2.177441)
37,moveGoal,(8260.185:3195.1782),(-3.7341897:6.504293)
38,moveGoal,(8253.958:3190.9978),(-6.2268143:-4.1805243)
39,moveGoal,(8249.102:3185.2827),(-4.8568544:-5.7149773)
40,moveGoal,(8241.9375:3183.0618),(-7.1636252:-2.2209177)
41,moveGoal,(8234.457:3182.5244),(-7.4807186:-0.5374497)
42,moveGoal,(8239.687:3177.1487),(5.2298145:-5.3757825)
43,moveGoal,(8232.547:3174.853),(-7.140049:-2.2955828)
44,moveGoal,(8225.903:3178.334),(-6.6433167:3.4808538)
45,moveGoal,(8232.225:3182.3699),(6.3215604:4.035824)
46,moveGoal,(8229.344:3175.4453),(-2.8812277:-6.924487)
47,moveGoal,(8228.344:3182.8784),(-0.99965537:7.4330807)
48,moveGoal,(8234.6455:3178.8125),(6.30217:-4.066037)
49,moveGoal,(8242.112:3179.5186),(7.4666967:0.70600176)
50,moveGoal,(8234.834:3177.7073),(-7.2780237:-1.8111805)
51,moveGoal,(8227.388:3178.6057),(-7.44598:0.8985429)
52,moveGoal,(8234.697:3176.926),(7.309478:-1.6797434)
53,moveGoal,(8228.07:3180.438),(-6.6268616:3.5120807)
54,moveGoal,(8230.566:3173.3657),(2.4962716:-7.0723853)
55,moveGoal,(8234.035:3180.0151),(3.4691725:6.649424)
56,moveGoal,(8229.131:3185.6892),(-4.904579:5.674073)
57,moveGoal,(8224.53:3179.7659),(-4.60055:-5.923254)
58,moveGoal,(8217.244:3181.5422),(-7.2865744:1.7764673)
59,moveGoal,(8224.017:3178.3206),(6.772806:-3.2216613)
