step,tag,position,velocity
0,moveGoal,(6833.334:6450.0005),(0.0:0.0)
1,moveGoal,(6838.145:6455.754),(4.811072:5.753572)
2,moveGoal,(6843.452:6461.053),(5.3072367:5.299362)
3,moveGoal,(6849.298:6465.752),(5.8455095:4.6989384)
4,moveGoal,(6855.8115:6469.469),(6.5138803:3.7174416)
5,moveGoal,(6861.9336:6473.802),(6.1221642:4.3323326)
6,moveGoal,(6867.009:6479.3237),(5.0754232:5.521783)
7,moveGoal,(6872.788:6484.104),(5.779345:4.780081)
8,moveGoal,(6878.4434:6489.0303),(5.6552496:4.926272)
9,moveGoal,(6884.825:6492.9697),(6.3820186:3.9395227)
10,moveGoal,(6890.9033:6497.3633),(6.0782075:4.3937907)
11,moveGoal,(6897.1484:6501.516),(6.2452974:4.152862)
12,moveGoal,(6903.898:6504.7866),(6.749449:3.2703133)
13,moveGoal,(6910.6426:6508.0664),(6.744869:3.2797472)
14,moveGoal,(6915.63:6513.668),(4.9871197:5.601664)
15,moveGoal,(6921.562:6518.2573),(5.9319177:4.589374)
16,moveGoal,(6926.636:6523.7803),(5.074331:5.522786)
17,moveGoal,(6932.022:6528.9995),(5.385829:5.219468)
18,moveGoal,(6927.5767:6535.0405),(-4.445104:6.0407825)
19,moveGoal,(6935.04:6534.3022),(7.463568:-0.738348)
20,moveGoal,(6938.0894:6541.1543),(3.0494835:6.8520546)
21,moveGoal,(6940.052:6548.393),(1.9624273:7.238707)
22,moveGoal,(6945.726:6553.2974),(5.6741724:4.904464)
23,moveGoal,(6947.7456:6560.5205),(2.0194547:7.223006)
24,moveGoal,(6947.477:6568.0156),(-0.26866856:7.4951863)
25,moveGoal,(6947.158:6560.5225),(-0.31866133:-7.4932275)
26,moveGoal,(6954.27:6558.141),(7.111865:-2.3814662)
27,moveGoal,(6961.1367:6561.157),(6.866754:3.016238)
28,moveGoal,(6955.904:6555.7847),(-5.2329464:-5.3727345)
29,moveGoal,(6950.7314:6550.3535),(-5.172488:-5.4309635)
30,moveGoal,(6946.258:6544.334),(-4.4736953:-6.019639)
31,moveGoal,(6951.9697:6549.195),(5.7116876:4.860723)
32,moveGoal,(6946.9673:6543.607),(-5.002642:-5.5878057)
33,moveGoal,(6941.891:6538.086),(-5.076144:-5.52112)
34,moveGoal,(6937.959:6531.699),(-3.9322865:-6.3864794)
35,moveGoal,(6934.169:6525.227),(-3.7898307:-6.472031)
36,moveGoal,(6930.959:6518.4487),(-3.2098768:-6.778399)
37,moveGoal,(6936.9097:6523.014),(5.950551:4.565188)
38,moveGoal,(6931.7803:6517.5425),(-5.1295586:-5.471529)
39,moveGoal,(6926.6094:6512.11),(-5.1708145:-5.432557)
40,moveGoal,(6921.4897:6506.629),(-5.119483:-5.4809575)
41,moveGoal,(6916.3706:6501.148),(-5.1192856:-5.481142)
42,moveGoal,(6911.2544:6495.664),(-5.1163874:-5.4838476)
43,moveGoal,(6906.1367:6490.1816),(-5.117887:-5.4824486)
44,moveGoal,(6901.0176:6484.7007),(-5.1192856:-5.481142)
45,moveGoal,(6895.8955:6479.222),(-5.1219873:-5.478617)
46,moveGoal,(6890.775:6473.742),(-5.120587:-5.479926)
47,moveGoal,(6885.6543:6468.262),(-5.120587:-5.479926)
48,moveGoal,(6880.535:6462.781),(-5.1191864:-5.4812346)
49,moveGoal,(6875.416:6457.2993),(-5.1191864:-5.4812346)
50,moveGoal,(6870.306:6451.8096),(-5.1099634:-5.4898343)
51,moveGoal,(6865.1934:6446.3223),(-5.112771:-5.4872193)
52,moveGoal,(6860.0776:6440.838),(-5.11558:-5.4846005)
53,moveGoal,(6854.9595:6435.3555),(-5.118091:-5.482258)
54,moveGoal,(6849.84:6429.8745),(-5.119599:-5.4808497)
55,moveGoal,(6844.735:6424.38),(-5.1049104:-5.494533)
56,moveGoal,(6839.633:6418.883),(-5.1019654:-5.497268)
57,moveGoal,(6845.0225:6424.098),(5.389854:5.215312)
58,moveGoal,(6839.874:6418.6445),(-5.1485357:-5.4536757)
59,moveGoal,(6834.748:6413.17),(-5.126164:-5.4747095)
60,moveGoal,(6829.6206:6407.697),(-5.1276736:-5.4732957)
