step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8427.856:3155.123),(-5.4778066:5.1228547)
2,moveGoal,(8421.334:3158.8252),(-6.522519:3.702262)
3,moveGoal,(8415.357:3163.3562),(-5.9766464:4.5309706)
4,moveGoal,(8412.113:3170.1184),(-3.2439528:6.7621574)
5,moveGoal,(8409.997:3177.3137),(-2.1158206:7.195367)
6,moveGoal,(8403.782:3181.5125),(-6.2146254:4.1986227)
7,moveGoal,(8404.591:3188.9688),(0.80898887:7.4562416)
8,moveGoal,(8397.799:3192.149),(-6.792385:3.1801746)
9,moveGoal,(8399.658:3199.4148),(1.8589827:7.2659607)
10,moveGoal,(8397.82:3192.1436),(-1.8382152:-7.2712426)
11,moveGoal,(8400.482:3185.1318),(2.6619792:-7.011695)
12,moveGoal,(8395.708:3190.9158),(-4.774609:5.7838664)
13,moveGoal,(8389.216:3194.6707),(-6.492349:3.7549174)
14,moveGoal,(8385.546:3201.2117),(-3.669628:6.5409355)
15,moveGoal,(8382.72:3208.159),(-2.8261034:6.947168)
16,moveGoal,(8376.971:3203.3428),(-5.749229:-4.816261)
17,moveGoal,(8382.692:3208.1912),(5.7221045:4.8484564)
18,moveGoal,(8381.362:3200.81),(-1.3296762:-7.38119)
19,moveGoal,(8375.789:3205.8286),(-5.573455:5.0186253)
20,moveGoal,(8371.226:3211.78),(-4.563927:5.951518)
21,moveGoal,(8372.964:3219.076),(1.7379951:7.2958465)
22,moveGoal,(8371.787:3211.669),(-1.1772294:-7.407033)
23,moveGoal,(8365.564:3215.8557),(-6.22268:4.186676)
24,moveGoal,(8358.294:3217.6975),(-7.270317:1.841871)
25,moveGoal,(8353.75:3223.664),(-4.5441794:5.9666104)
26,moveGoal,(8349.154:3229.5913),(-4.5953636:5.927279)
27,moveGoal,(8352.652:3236.2258),(3.4977224:6.634451)
28,moveGoal,(8353.505:3243.6772),(0.852104:7.451438)
29,moveGoal,(8351.86:3250.9946),(-1.6444511:7.3174987)
30,moveGoal,(8348.667:3257.7808),(-3.1937544:6.7860107)
31,moveGoal,(8341.336:3259.362),(-7.3313947:1.5813452)
32,moveGoal,(8334.006:3257.7732),(-7.329754:-1.5889336)
33,moveGoal,(8326.616:3256.4915),(-7.389655:-1.2817944)
34,moveGoal,(8319.131:3256.0234),(-7.48538:-0.46807027)
35,moveGoal,(8311.655:3255.4204),(-7.475726:-0.6029297)
36,moveGoal,(8304.532:3253.0713),(-7.122589:-2.3491971)
37,moveGoal,(8298.648:3257.7227),(-5.883402:4.6514072)
38,moveGoal,(8291.528:3255.367),(-7.120441:-2.3556995)
39,moveGoal,(8284.112:3254.25),(-7.4163475:-1.1170434)
40,moveGoal,(8276.808:3252.5476),(-7.304214:-1.7024859)
41,moveGoal,(8269.462:3251.0327),(-7.345428:-1.5148257)
42,moveGoal,(8262.695:3247.7986),(-6.7668967:-3.2340543)
43,moveGoal,(8255.237:3247.0015),(-7.4575253:-0.79706705)
44,moveGoal,(8247.738:3247.0908),(-7.499467:0.0894609)
45,moveGoal,(8243.843:3253.5),(-3.8950803:6.40924)
46,moveGoal,(8236.769:3251.0076),(-7.07377:-2.4923444)
47,moveGoal,(8230.523:3255.1604),(-6.245358:4.152771)
48,moveGoal,(8235.95:3260.3376),(5.4265127:5.177158)
49,moveGoal,(8234.372:3253.0056),(-1.5781682:-7.3320794)
50,moveGoal,(8227.925:3256.838),(-6.446935:3.8323662)
51,moveGoal,(8227.642:3264.3325),(-0.28335702:7.4946456)
52,moveGoal,(8227.334:3271.8262),(-0.30729067:7.4937024)
53,moveGoal,(8232.664:3266.5498),(5.3302097:-5.276255)
54,moveGoal,(8226.003:3269.9973),(-6.6607437:3.4473891)
55,moveGoal,(8230.776:3264.2124),(4.773414:-5.784853)
56,moveGoal,(8236.61:3259.4993),(5.834095:-4.7131023)
57,moveGoal,(8234.556:3252.2861),(-2.0547602:-7.2130413)
58,moveGoal,(8230.283:3258.4502),(-4.272403:6.164136)
59,moveGoal,(8236.722:3262.2969),(6.438393:3.8466995)
60,moveGoal,(8237.139:3254.8086),(0.41745394:-7.4883738)
61,moveGoal,(8237.393:3262.3042),(0.2541914:7.495691)
62,moveGoal,(8234.352:3255.4482),(-3.0409079:-6.855865)
63,moveGoal,(8231.037:3262.176),(-3.314722:6.72775)
64,moveGoal,(8233.465:3255.0798),(2.4279575:-7.0961275)
65,moveGoal,(8235.538:3262.2876),(2.0730722:7.2077994)
66,moveGoal,(8228.043:3262.5652),(-7.494859:0.27765045)
67,moveGoal,(8234.993:3265.3835),(6.950314:2.8183582)
68,moveGoal,(8231.923:3258.5408),(-3.0699968:-6.8428884)
69,moveGoal,(8237.227:3263.844),(5.3033013:5.3033013)
70,moveGoal,(8230.99:3259.6772),(-6.2360916:-4.1666727)
71,moveGoal,(8236.542:3264.72),(5.551738:5.0426397)
72,moveGoal,(8232.258:3258.5642),(-4.2845087:-6.155728)
73,moveGoal,(8232.458:3266.0615),(0.19996266:7.4973345)
74,moveGoal,(8231.598:3258.611),(-0.8599484:-7.4505367)
75,moveGoal,(8237.385:3263.382),(5.7868085:4.7710433)
76,moveGoal,(8230.765:3259.858),(-6.620399:-3.5242472)
77,moveGoal,(8236.544:3264.638),(5.7793794:4.78004)
78,moveGoal,(8229.926:3261.1096),(-6.618193:-3.5283885)
79,moveGoal,(8228.547:3253.7373),(-1.3784797:-7.3722315)
80,moveGoal,(8221.467:3251.263),(-7.080049:-2.4744515)
81,moveGoal,(8219.283:3258.438),(-2.1834662:7.175129)
82,moveGoal,(8213.563:3263.289),(-5.7198286:4.85114)
83,moveGoal,(8217.862:3257.143),(4.298583:-6.1459084)
84,moveGoal,(8212.784:3262.6626),(-5.0779243:5.5194826)
85,moveGoal,(8220.161:3261.307),(7.376471:-1.3556116)
86,moveGoal,(8212.705:3262.1172),(-7.4560966:0.810323)
87,moveGoal,(8218.26:3267.1567),(5.5546083:5.039477)
88,moveGoal,(8211.012:3265.2302),(-7.248357:-1.9264796)
89,moveGoal,(8217.867:3268.273),(6.8550887:3.0426571)
90,moveGoal,(8211.046:3271.3901),(-6.8214836:3.1172676)
91,moveGoal,(8209.404:3264.072),(-1.6411723:-7.3182344)
92,moveGoal,(8205.984:3270.747),(-3.419659:6.675023)
93,moveGoal,(8199.888:3266.3787),(-6.096535:-4.3683248)
94,moveGoal,(8193.253:3269.8752),(-6.63505:3.4965866)
95,moveGoal,(8192.569:3262.4065),(-0.68340504:-7.468799)
96,moveGoal,(8185.1533:3263.5256),(-7.416046:1.1190475)
97,moveGoal,(8179.224:3258.9329),(-5.929364:-4.5926733)
98,moveGoal,(8172.6787:3262.594),(-6.545631:3.6612449)
99,moveGoal,(8165.2764:3261.3862),(-7.4020996:-1.2078574)
100,moveGoal,(8172.7676:3261.0188),(7.4909945:-0.367428)
101,moveGoal,(8167.345:3255.8372),(-5.4223332:-5.1815352)
102,moveGoal,(8174.838:3256.1643),(7.4928656:0.32705596)
103,moveGoal,(8168.007:3259.2605),(-6.83105:3.096249)
104,moveGoal,(8175.348:3257.7253),(7.341217:-1.5350999)
105,moveGoal,(8167.9194:3256.692),(-7.4284673:-1.0333807)
106,moveGoal,(8175.3604:3255.7515),(7.4408016:-0.9404644)
107,moveGoal,(8168.2725:3258.2031),(-7.087939:2.4517596)
108,moveGoal,(8175.703:3257.187),(7.4308515:-1.0160971)
109,moveGoal,(8168.539:3254.9683),(-7.1642756:-2.2188199)
110,moveGoal,(8175.9653:3253.9197),(7.426341:-1.0485504)
111,moveGoal,(8168.966:3251.2258),(-6.999506:-2.6938663)
112,moveGoal,(8176.4326:3250.519),(7.466611:-0.7069092)
113,moveGoal,(8168.9336:3250.6504),(-7.4988494:0.13137518)
114,moveGoal,(8175.272:3254.66),(6.338305:4.0094757)
115,moveGoal,(8168.6636:3251.113),(-6.608329:-3.5468292)
116,moveGoal,(8175.845:3248.951),(7.1815577:-2.1622274)
117,moveGoal,(8168.7017:3246.6667),(-7.1437283:-2.2841086)
118,moveGoal,(8176.0635:3245.2327),(7.361636:-1.4339863)
119,moveGoal,(8169.126:3242.3833),(-6.9376884:-2.8492954)
120,moveGoal,(8176.626:3242.3538),(7.4999423:-0.029422527)
121,moveGoal,(8169.515:3244.738),(-7.110893:2.3843668)
122,moveGoal,(8176.6953:3242.5713),(7.1802077:-2.1667063)
123,moveGoal,(8169.4:3240.8308),(-7.295274:-1.7403986)
124,moveGoal,(8176.7544:3239.3596),(7.354312:-1.4710895)
125,moveGoal,(8169.2856:3238.6782),(-7.468988:-0.6813362)
126,moveGoal,(8176.5386:3236.7698),(7.253127:-1.9084411)
127,moveGoal,(8169.147:3235.4993),(-7.39159:-1.2705894)
128,moveGoal,(8176.5474:3234.282),(7.400551:-1.2173126)
129,moveGoal,(8169.0728:3233.6655),(-7.474631:-0.61635584)
130,moveGoal,(8175.9077:3230.5776),(6.834789:-3.0879872)
131,moveGoal,(8169.3496:3226.939),(-6.558155:-3.6387641)
132,moveGoal,(8176.6826:3225.365),(7.3329835:-1.5739621)
133,moveGoal,(8169.1953:3224.929),(-7.4873204:-0.4359348)
134,moveGoal,(8176.5996:3223.7341),(7.404217:-1.1948103)
135,moveGoal,(8169.27:3222.1448),(-7.329689:-1.5892335)
136,moveGoal,(8176.6567:3220.8452),(7.3865356:-1.2996502)
137,moveGoal,(8171.026:3215.8909),(-5.630684:-4.954331)
138,moveGoal,(8177.7725:3219.1675),(6.7463913:3.2766142)
139,moveGoal,(8170.353:3218.071),(-7.41943:-1.0963877)
140,moveGoal,(8167.338:3211.2039),(-3.0151904:-6.867214)
141,moveGoal,(8174.122:3208.0066),(6.784407:-3.1971586)
142,moveGoal,(8167.165:3210.8086),(-6.956878:2.8021154)
143,moveGoal,(8174.663:3210.9766),(7.4981165:0.16807336)
144,moveGoal,(8167.1636:3210.8872),(-7.499469:-0.08927939)
145,moveGoal,(8174.6196:3210.0784),(7.4562683:-0.8087442)
146,moveGoal,(8167.592:3207.459),(-7.0277205:-2.6193783)
147,moveGoal,(8175.0625:3206.7979),(7.470803:-0.6611389)
148,moveGoal,(8167.883:3208.9656),(-7.179871:2.1678212)
149,moveGoal,(8175.08:3206.8557),(7.1971345:-2.1098022)
150,moveGoal,(8167.6973:3205.5356),(-7.3829103:-1.3200896)
151,moveGoal,(8175.1665:3206.2166),(7.4690347:0.6808253)
152,moveGoal,(8167.667:3206.1318),(-7.4995217:-0.08473196)
153,moveGoal,(8172.458:3200.3616),(4.791071:-5.7702374)
154,moveGoal,(8171.1973:3192.9683),(-1.2608799:-7.3932524)
155,moveGoal,(8178.4824:3194.7512),(7.284988:1.7829624)
156,moveGoal,(8171.0557:3193.7068),(-7.4269342:-1.0443426)
157,moveGoal,(8176.6484:3188.71),(5.593004:-4.99683)
