step,tag,position,velocity
0,moveGoal,(4122.2227:8500.001),(0.0:0.0)
1,moveGoal,(4115.424:8496.835),(-6.7989573:-3.1660988)
2,moveGoal,(4117.934:8503.902),(2.5103729:7.067392)
3,moveGoal,(4112.7656:8509.337),(-5.168246:5.4350014)
4,moveGoal,(4107.293:8504.209),(-5.472705:-5.1283035)
5,moveGoal,(4113.9893:8507.587),(6.696363:3.3776815)
6,moveGoal,(4113.862:8500.088),(-0.12721871:-7.4989214)
7,moveGoal,(4118.8203:8505.715),(4.9584346:5.627071)
8,moveGoal,(4112.8022:8501.238),(-6.017847:-4.476105)
9,moveGoal,(4105.329:8501.875),(-7.472936:0.6365787)
10,moveGoal,(4100.2256:8507.371),(-5.103312:5.4960175)
11,moveGoal,(4093.877:8511.364),(-6.3486986:3.9929974)
12,moveGoal,(4086.377:8511.376),(-7.4999914:0.011275468)
13,moveGoal,(4090.227:8517.8125),(3.8501685:6.436319)
14,moveGoal,(4087.0618:8511.013),(-3.1652107:-6.799371)
15,moveGoal,(4090.6396:8517.6045),(3.5779092:6.5915527)
16,moveGoal,(4096.042:8512.402),(5.402453:-5.2022595)
17,moveGoal,(4088.6504:8513.674),(-7.3915024:1.2711005)
18,moveGoal,(4095.5215:8516.681),(6.8710413:3.006459)
19,moveGoal,(4090.4663:8522.221),(-5.055121:5.540375)
20,moveGoal,(4084.273:8526.45),(-6.193361:4.229927)
21,moveGoal,(4086.8284:8519.399),(2.5553737:-7.0512457)
22,moveGoal,(4079.555:8517.569),(-7.273415:-1.8295996)
23,moveGoal,(4085.443:8522.215),(5.888295:4.6452103)
24,moveGoal,(4079.3745:8517.808),(-6.068627:-4.4070134)
25,moveGoal,(4078.082:8510.42),(-1.2924466:-7.3877997)
26,moveGoal,(4075.0603:8503.556),(-3.0216959:-6.8643546)
27,moveGoal,(4075.5396:8496.071),(0.47914726:-7.484679)
28,moveGoal,(4082.341:8499.231),(6.801608:3.1604009)
29,moveGoal,(4079.9236:8492.132),(-2.4174442:-7.0997157)
30,moveGoal,(4078.1394:8484.847),(-1.7841253:-7.2847033)
31,moveGoal,(4085.0398:8481.908),(6.9002748:-2.938744)
32,moveGoal,(4081.425:8475.337),(-3.6147568:-6.571418)
33,moveGoal,(4077.6648:8468.848),(-3.7601776:-6.489304)
34,moveGoal,(4074.8716:8461.887),(-2.793188:-6.960467)
35,moveGoal,(4073.2122:8454.572),(-1.6594129:-7.3141203)
36,moveGoal,(4070.7976:8447.472),(-2.4146047:-7.1006823)
37,moveGoal,(4068.3335:8440.388),(-2.4641366:-7.083646)
38,moveGoal,(4064.4053:8433.999),(-3.9282198:-6.3889823)
39,moveGoal,(4061.724:8426.994),(-2.681081:-7.004413)
40,moveGoal,(4059.2534:8419.913),(-2.4706542:-7.0813746)
41,moveGoal,(4056.9475:8412.776),(-2.3058813:-7.13673)
42,moveGoal,(4055.1555:8405.493),(-1.7919183:-7.28279)
43,moveGoal,(4050.637:8399.507),(-4.518439:-5.986127)
44,moveGoal,(4050.0403:8392.03),(-0.59657896:-7.4762354)
45,moveGoal,(4046.2703:8385.547),(-3.7699087:-6.483656)
46,moveGoal,(4045.3088:8378.108),(-0.9615355:-7.438108)
47,moveGoal,(4044.6038:8370.642),(-0.7051421:-7.4667783)
48,moveGoal,(4042.8225:8363.356),(-1.7813423:-7.285384)
49,moveGoal,(4039.4285:8356.668),(-3.3939333:-6.6881404)
50,moveGoal,(4036.7925:8349.646),(-2.6361077:-7.0214624)
51,moveGoal,(4034.1077:8342.644),(-2.6848722:-7.0029607)
52,moveGoal,(4031.292:8335.692),(-2.8157218:-6.951382)
53,moveGoal,(4028.8352:8328.606),(-2.4568615:-7.086172)
54,moveGoal,(4028.6836:8321.108),(-0.15162341:-7.4984674)
55,moveGoal,(4025.4187:8314.356),(-3.264788:-6.752123)
56,moveGoal,(4023.3523:8307.146),(-2.066393:-7.209717)
57,moveGoal,(4021.6953:8299.832),(-1.6570936:-7.314646)
58,moveGoal,(4020.6099:8292.411),(-1.0853912:-7.4210463)
59,moveGoal,(4016.6284:8286.056),(-3.981517:-6.3559046)
60,moveGoal,(4013.9055:8279.067),(-2.7228627:-6.9882774)
61,moveGoal,(4012.2075:8271.762),(-1.6979692:-7.3052654)
62,moveGoal,(4008.764:8265.099),(-3.4436765:-6.6626644)
63,moveGoal,(4005.8777:8258.176),(-2.8863194:-6.9223666)
64,moveGoal,(4002.873:8251.304),(-3.0045984:-6.871855)
65,moveGoal,(4000.1616:8244.311),(-2.7115016:-6.9926934)
66,moveGoal,(3997.3262:8237.367),(-2.8353887:-6.9433837)
67,moveGoal,(3996.132:8229.963),(-1.1940073:-7.4043465)
68,moveGoal,(3993.1592:8223.077),(-2.9728062:-6.8856683)
69,moveGoal,(3991.7024:8215.72),(-1.4566981:-7.3571754)
70,moveGoal,(3990.4753:8223.119),(-1.2269331:7.398962)
71,moveGoal,(3984.9988:8217.995),(-5.4765935:-5.124151)
72,moveGoal,(3985.2732:8210.5),(0.27435207:-7.4949803)
73,moveGoal,(3984.3962:8203.052),(-0.87703633:-7.448544)
74,moveGoal,(3983.0144:8195.68),(-1.3817883:-7.371612)
75,moveGoal,(3981.3557:8188.365),(-1.658618:-7.3143005)
76,moveGoal,(3980.4695:8195.8125),(-0.88618106:7.4474616)
77,moveGoal,(3976.1606:8189.674),(-4.3088827:-6.138692)
78,moveGoal,(3980.9536:8183.9053),(4.7929306:-5.768693)
79,moveGoal,(3978.152:8176.948),(-2.8015325:-6.957113)
80,moveGoal,(3975.2725:8170.023),(-2.8796642:-6.9251385)
81,moveGoal,(3972.2473:8163.16),(-3.0251322:-6.86284)
82,moveGoal,(3969.5051:8156.179),(-2.7421777:-6.9807205)
83,moveGoal,(3966.9158:8149.1406),(-2.5894263:-7.038812)
84,moveGoal,(3962.4568:8143.1104),(-4.4590845:-6.03047)
85,moveGoal,(3958.4492:8136.771),(-4.007642:-6.3394647)
86,moveGoal,(3957.4775:8129.334),(-0.97170556:-7.4367867)
87,moveGoal,(3956.2148:8121.941),(-1.2627676:-7.39293)
88,moveGoal,(3951.992:8115.7427),(-4.2229624:-6.198112)
89,moveGoal,(3948.1165:8109.322),(-3.8754742:-6.421113)
90,moveGoal,(3946.9885:8101.907),(-1.1278895:-7.414706)
91,moveGoal,(3945.3865:8094.5806),(-1.6020648:-7.326895)
92,moveGoal,(3945.068:8087.0874),(-0.3183842:-7.493239)
93,moveGoal,(3943.1506:8079.8364),(-1.9174566:-7.250749)
94,moveGoal,(3941.0334:8072.6416),(-2.1171281:-7.1949825)
95,moveGoal,(3938.11:8065.735),(-2.9233253:-6.9068203)
96,moveGoal,(3934.2922:8059.2793),(-3.8178582:-6.455537)
97,moveGoal,(3940.9106:8062.807),(6.6184564:3.5278945)
98,moveGoal,(3936.404:8056.812),(-4.5065393:-5.9950905)
