step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8434.775:3142.6401),(1.4417797:-7.360114)
2,moveGoal,(8436.956:3135.464),(2.1805983:-7.176001)
3,moveGoal,(8438.001:3128.0374),(1.0450727:-7.4268317)
4,moveGoal,(8440.231:3120.8767),(2.2307408:-7.160572)
5,moveGoal,(8445.031:3115.1135),(4.7995768:-5.7631645)
6,moveGoal,(8451.93:3112.1702),(6.8983517:-2.9432535)
7,moveGoal,(8458.049:3107.8342),(6.1196156:-4.3359327)
8,moveGoal,(8464.118:3103.429),(6.06982:-4.4053707)
9,moveGoal,(8467.803:3096.8965),(3.6844904:-6.5325747)
10,moveGoal,(8470.672:3089.9668),(2.8689082:-6.929601)
11,moveGoal,(8477.853:3092.1323),(7.1805973:2.1654155)
12,moveGoal,(8470.354:3092.2483),(-7.499105:0.11585885)
13,moveGoal,(8472.073:3099.5483),(1.720168:7.30007)
14,moveGoal,(8469.064:3092.6782),(-3.0088158:-6.8700094)
15,moveGoal,(8475.35:3088.5857),(6.2850304:-4.09248)
16,moveGoal,(8478.326:3081.7017),(2.9764752:-6.884083)
17,moveGoal,(8476.868:3089.0586),(-1.4577492:7.356967)
18,moveGoal,(8479.048:3081.8823),(2.1797209:-7.1762676)
19,moveGoal,(8478.535:3074.4),(-0.51266855:-7.4824576)
20,moveGoal,(8485.942:3073.2234),(7.407155:-1.1764588)
21,moveGoal,(8478.445:3072.9998),(-7.4966664:-0.2235983)
22,moveGoal,(8476.949:3065.6504),(-1.4961214:-7.34926)
23,moveGoal,(8469.559:3064.375),(-7.390757:-1.2754257)
24,moveGoal,(8477.058:3064.5122),(7.498744:0.13728341)
25,moveGoal,(8482.645:3059.5085),(5.5868096:-5.003754)
26,moveGoal,(8477.89:3053.708),(-4.7543983:-5.8004913)
27,moveGoal,(8483.772:3049.056),(5.882771:-4.6522045)
28,moveGoal,(8476.374:3047.823),(-7.3979697:-1.2329019)
29,moveGoal,(8476.555:3040.3252),(0.18049887:-7.497828)
30,moveGoal,(8474.045:3033.2573),(-2.5093524:-7.0677543)
31,moveGoal,(8481.258:3031.2036),(7.2133636:-2.0536287)
32,moveGoal,(8475.965:3025.8901),(-5.2930636:-5.313518)
33,moveGoal,(8475.921:3018.3904),(-0.044111174:-7.4998703)
34,moveGoal,(8474.793:3010.9756),(-1.1276549:-7.414742)
35,moveGoal,(8467.349:3010.0635),(-7.4443235:-0.91216624)
36,moveGoal,(8461.379:3005.5232),(-5.9696236:-4.54022)
37,moveGoal,(8454.082:3003.7905),(-7.2971005:-1.732721)
38,moveGoal,(8447.875:2999.5813),(-6.2074013:-4.2092957)
39,moveGoal,(8440.522:2998.0996),(-7.352195:-1.4816335)
40,moveGoal,(8435.049:2992.972),(-5.4731903:-5.127786)
41,moveGoal,(8430.387:2987.0967),(-4.6616364:-5.8753004)
42,moveGoal,(8424.785:2982.109),(-5.6011634:-4.9876823)
43,moveGoal,(8417.296:2981.7134),(-7.4895654:-0.39549604)
44,moveGoal,(8409.894:2980.5088),(-7.4026194:-1.2046716)
45,moveGoal,(8408.685:2973.107),(-1.2088671:-7.4019346)
46,moveGoal,(8401.195:2973.5137),(-7.488964:0.40671661)
47,moveGoal,(8397.91:2980.256),(-3.2848454:6.742388)
48,moveGoal,(8396.692:2972.8557),(-1.2180922:-7.400423)
49,moveGoal,(8389.329:2971.4316),(-7.363541:-1.4241703)
50,moveGoal,(8382.021:2969.7458),(-7.308096:-1.6857443)
51,moveGoal,(8374.934:2967.295),(-7.088195:-2.4510188)
