step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8440.815:3149.4702),(7.4812493:-0.5300093)
2,moveGoal,(8446.903:3145.089),(6.087431:-4.3810034)
3,moveGoal,(8454.213:3143.4082),(7.309205:-1.6809286)
4,moveGoal,(8460.934:3140.0796),(6.7209344:-3.3285193)
5,moveGoal,(8468.385:3139.2217),(7.4507656:-0.8579623)
6,moveGoal,(8475.883:3139.411),(7.497616:0.18910205)
7,moveGoal,(8483.378:3139.1406),(7.4951296:-0.2702518)
8,moveGoal,(8490.862:3138.6533),(7.4841495:-0.487349)
9,moveGoal,(8497.857:3135.9473),(6.994791:-2.7060852)
10,moveGoal,(8502.643:3130.1719),(4.784975:-5.7752934)
11,moveGoal,(8509.431:3126.9827),(6.788125:-3.1892567)
12,moveGoal,(8516.525:3124.5493),(7.0942955:-2.4333055)
13,moveGoal,(8523.994:3125.2341),(7.468671:0.68480504)
14,moveGoal,(8530.06:3120.823),(6.0656114:-4.411164)
15,moveGoal,(8535.093:3115.2627),(5.0330663:-5.5604177)
16,moveGoal,(8541.338:3111.11),(6.24547:-4.1526027)
17,moveGoal,(8546.616:3105.7817),(5.278205:-5.3282795)
18,moveGoal,(8551.872:3100.4314),(5.255771:-5.3504086)
19,moveGoal,(8557.93:3096.009),(6.057433:-4.4223866)
20,moveGoal,(8565.412:3095.5012),(7.482795:-0.507721)
21,moveGoal,(8571.14:3090.6592),(5.7275286:-4.8420467)
22,moveGoal,(8574.875:3084.1555),(3.7354672:-6.5035596)
23,moveGoal,(8580.019:3078.6973),(5.1437635:-5.4581776)
24,moveGoal,(8587.099:3081.1714),(7.080202:2.4740124)
25,moveGoal,(8591.198:3074.8914),(4.099974:-6.280144)
26,moveGoal,(8598.611:3076.0308),(7.4129453:1.1394049)
27,moveGoal,(8605.761:3078.2964),(7.149637:2.2655435)
28,moveGoal,(8609.94:3072.069),(4.179935:-6.2272096)
29,moveGoal,(8611.071:3064.6548),(1.1307966:-7.4142637)
30,moveGoal,(8605.418:3059.7263),(-5.6532516:-4.928564)
31,moveGoal,(8599.7:3054.8728),(-5.717719:-4.8536267)
32,moveGoal,(8605.249:3059.9182),(5.5493:5.045322)
33,moveGoal,(8597.79:3059.1365),(-7.459154:-0.78167844)
34,moveGoal,(8594.476:3052.4087),(-3.314704:-6.727759)
35,moveGoal,(8598.484:3058.7476),(4.008585:6.3388677)
36,moveGoal,(8591.786:3055.3733),(-6.6980658:-3.3743029)
37,moveGoal,(8584.781:3052.6936),(-7.004954:-2.6796682)
38,moveGoal,(8578.174:3049.1458),(-6.607766:-3.5478764)
39,moveGoal,(8571.07:3046.7405),(-7.1038666:-2.405221)
40,moveGoal,(8564.246:3043.6294),(-6.824325:-3.1110435)
41,moveGoal,(8569.25:3038.0425),(5.0036783:-5.586878)
42,moveGoal,(8562.195:3035.497),(-7.054868:-2.545356)
43,moveGoal,(8554.9795:3033.451),(-7.21548:-2.0461807)
44,moveGoal,(8547.791:3031.3118),(-7.18848:-2.139104)
45,moveGoal,(8540.778:3028.6526),(-7.0127835:-2.6591115)
46,moveGoal,(8533.8:3025.9048),(-6.9784684:-2.747904)
47,moveGoal,(8526.8545:3023.0747),(-6.9455366:-2.83011)
48,moveGoal,(8520.012:3020.0044),(-6.8427763:-3.0702457)
49,moveGoal,(8521.437:3012.6409),(1.424756:-7.363428)
50,moveGoal,(8515.856:3007.6294),(-5.579924:-5.011431)
51,moveGoal,(8509.04:3004.5007),(-6.8162975:-3.128592)
52,moveGoal,(8502.125:3001.597),(-6.9150567:-2.9037895)
53,moveGoal,(8502.37:2994.1008),(0.244739:-7.4960055)
54,moveGoal,(8495.484:2991.1274),(-6.8854675:-2.97327)
55,moveGoal,(8489.052:2987.271),(-6.4325485:-3.8564658)
56,moveGoal,(8482.199:2984.2217),(-6.852146:-3.0492775)
57,moveGoal,(8483.699:2976.8733),(1.5003613:-7.348396)
58,moveGoal,(8477.523:2972.6184),(-6.176182:-4.2549706)
59,moveGoal,(8471.037:2968.8538),(-6.4867053:-3.7646587)
60,moveGoal,(8463.937:2966.4375),(-7.1001596:-2.416141)
61,moveGoal,(8457.057:2963.4504),(-6.8795047:-2.987042)
62,moveGoal,(8454.339:2956.4602),(-2.7180262:-6.99016)
63,moveGoal,(8447.932:2952.5625),(-6.407583:-3.897805)
64,moveGoal,(8441.521:2948.6692),(-6.410375:-3.893212)
65,moveGoal,(8437.755:2942.1838),(-3.7668147:-6.4854536)
66,moveGoal,(8431.179:2938.5784),(-6.5765057:-3.6054919)
67,moveGoal,(8424.494:2935.177),(-6.68439:-3.4013124)
68,moveGoal,(8419.477:2929.6028),(-5.017748:-5.574245)
69,moveGoal,(8413.688:2924.8335),(-5.7882304:-4.7693176)
70,moveGoal,(8407.649:2920.3855),(-6.0386095:-4.4480557)
71,moveGoal,(8402.8125:2914.6538),(-4.8372216:-5.731604)
72,moveGoal,(8397.096:2909.7988),(-5.7166495:-4.8548865)
73,moveGoal,(8391.4:2904.9194),(-5.6956654:-4.8794875)
74,moveGoal,(8384.692:2901.5642),(-6.707606:-3.3552983)
75,moveGoal,(8377.785:2898.6423),(-6.907407:-2.9219396)
76,moveGoal,(8370.4795:2896.946),(-7.30564:-1.696356)
77,moveGoal,(8376.8125:2900.9634),(6.3333645:4.0172744)
78,moveGoal,(8370.028:2897.766),(-6.7844143:-3.1971436)
79,moveGoal,(8376.838:2900.9102),(6.8091726:3.1440692)
80,moveGoal,(8371.802:2895.3525),(-5.0361867:-5.5575914)
81,moveGoal,(8367.272:2889.3748),(-4.5293255:-5.977894)
82,moveGoal,(8373.814:2893.042),(6.542247:3.6672897)
83,moveGoal,(8368.706:2887.5503),(-5.1079807:-5.4916787)
84,moveGoal,(8376.137:2886.5303),(7.4303174:-1.0199935)
85,moveGoal,(8369.144:2883.821),(-6.9936028:-2.7091556)
86,moveGoal,(8362.074:2881.316),(-7.0692906:-2.505022)
87,moveGoal,(8361.02:2873.8904),(-1.0546638:-7.425475)
88,moveGoal,(8355.308:2869.0295),(-5.711637:-4.8607817)
89,moveGoal,(8362.439:2866.7085),(7.1318398:-2.320963)
90,moveGoal,(8355.567:2863.7048),(-6.8722525:-3.0036886)
91,moveGoal,(8356.771:2856.302),(1.2038981:-7.402745)
92,moveGoal,(8364.233:2857.0615),(7.4614363:0.75958765)
93,moveGoal,(8358.448:2852.2883),(-5.7849665:-4.773277)
94,moveGoal,(8351.075:2853.661),(-7.373342:1.3725268)
95,moveGoal,(8358.14:2856.1794),(7.064446:2.5186512)
96,moveGoal,(8364.308:2860.4465),(6.1678376:4.2670574)
97,moveGoal,(8357.089:2858.4124),(-7.218846:-2.0342736)
98,moveGoal,(8362.843:2853.6016),(5.753749:-4.8108606)
99,moveGoal,(8366.741:2847.194),(3.8981805:-6.4073544)
100,moveGoal,(8360.746:2842.687),(-5.9946933:-4.5070667)
101,moveGoal,(8354.103:2839.2058),(-6.6431117:-3.481246)
102,moveGoal,(8359.997:2834.5688),(5.8948174:-4.636931)
103,moveGoal,(8358.312:2827.2607),(-1.6852685:-7.3082056)
104,moveGoal,(8362.062:2820.7659),(3.7503884:-6.4949665)
105,moveGoal,(8355.399:2817.322),(-6.662554:-3.4438906)
106,moveGoal,(8355.57:2809.824),(0.170669:-7.4980583)
107,moveGoal,(8349.191:2805.8792),(-6.378698:-3.944897)
108,moveGoal,(8341.768:2804.8162),(-7.4242835:-1.0630225)
109,moveGoal,(8345.167:2798.131),(3.399818:-6.6851506)
110,moveGoal,(8340.694:2792.1106),(-4.4725986:-6.020454)
111,moveGoal,(8340.96:2784.6152),(0.26539987:-7.495303)
112,moveGoal,(8333.496:2785.3494),(-7.4639807:0.7341621)
113,moveGoal,(8327.336:2781.072),(-6.1606364:-4.277448)
114,moveGoal,(8321.23:2776.7168),(-6.105839:-4.3553114)
115,moveGoal,(8313.779:2775.8616),(-7.4510927:-0.8551151)
116,moveGoal,(8310.98:2768.9033),(-2.7985387:-6.9583178)
117,moveGoal,(8305.149:2764.1863),(-5.8308616:-4.7171016)
118,moveGoal,(8298.472:2760.773),(-6.678209:-3.4134338)
119,moveGoal,(8298.405:2753.2732),(-0.066173896:-7.499708)
120,moveGoal,(8294.287:2747.0054),(-4.118639:-6.267919)
121,moveGoal,(8289.564:2741.1787),(-4.7222595:-5.826686)
122,moveGoal,(8283.774:2736.4111),(-5.7896156:-4.7676353)
123,moveGoal,(8279.599:2730.1814),(-4.1761465:-6.2297516)
124,moveGoal,(8272.264:2728.617),(-7.3350034:-1.5645216)
125,moveGoal,(8267.639:2722.7124),(-4.624688:-5.9044275)
