step,tag,position,velocity
0,moveGoal,(4122.2227:8533.334),(0.0:0.0)
1,moveGoal,(4123.774:8540.672),(1.5511174:7.3378496)
2,moveGoal,(4130.754:8543.415),(6.9802017:2.7434986)
3,moveGoal,(4138.041:8545.188),(7.287301:1.7734828)
4,moveGoal,(4144.8755:8548.277),(6.834437:3.0887663)
5,moveGoal,(4149.595:8554.105),(4.719944:5.8285613)
6,moveGoal,(4155.6294:8558.56),(6.0342245:4.4540024)
7,moveGoal,(4160.1074:8564.576),(4.477919:6.016498)
8,moveGoal,(4163.9565:8571.014),(3.848945:6.4370513)
9,moveGoal,(4170.2505:8575.092),(6.2941422:4.078453)
10,moveGoal,(4175.125:8580.792),(4.874647:5.6998086)
11,moveGoal,(4181.4336:8584.849),(6.3083525:4.056439)
12,moveGoal,(4185.136:8591.371),(3.702854:6.5221834)
13,moveGoal,(4186.8037:8598.684),(1.6675274:7.312274)
14,moveGoal,(4186.4985:8606.178),(-0.30531836:7.493783)
15,moveGoal,(4185.0366:8613.534),(-1.462133:7.3560977)
16,moveGoal,(4183.084:8620.775),(-1.9527365:7.2413273)
17,moveGoal,(4186.1104:8613.913),(3.0265908:-6.862197)
18,moveGoal,(4185.763:8621.405),(-0.34734952:7.4919524)
19,moveGoal,(4185.973:8628.902),(0.20994446:7.4970613)
20,moveGoal,(4185.633:8636.395),(-0.34048048:7.4922676)
21,moveGoal,(4191.759:8632.068),(6.126217:-4.3266)
22,moveGoal,(4193.39:8624.748),(1.631471:-7.320403)
23,moveGoal,(4198.111:8618.92),(4.72086:-5.8278203)
24,moveGoal,(4201.8794:8612.436),(3.7684307:-6.4845147)
25,moveGoal,(4203.7783:8605.18),(1.8989325:-7.2556224)
26,moveGoal,(4203.2856:8597.696),(-0.49273297:-7.4837966)
27,moveGoal,(4202.8193:8590.211),(-0.4660907:-7.485503)
28,moveGoal,(4203.654:8582.758),(0.83457327:-7.453421)
29,moveGoal,(4202.4023:8575.363),(-1.2516007:-7.3948293)
30,moveGoal,(4201.415:8567.929),(-0.9871439:-7.4347525)
31,moveGoal,(4200.469:8560.488),(-0.9458436:-7.4401197)
32,moveGoal,(4197.0283:8553.824),(-3.440892:-6.6641026)
33,moveGoal,(4194.8096:8546.66),(-2.2189817:-7.1642256)
34,moveGoal,(4191.535:8539.913),(-3.2742703:-6.7475295)
35,moveGoal,(4191.312:8532.416),(-0.2230188:-7.4966836)
36,moveGoal,(4189.7207:8525.087),(-1.5913699:-7.329225)
37,moveGoal,(4189.5845:8517.588),(-0.13646941:-7.498759)
38,moveGoal,(4187.8584:8510.289),(-1.7259518:-7.2987046)
