step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8427.327:3145.509),(-6.006643:-4.49113)
2,moveGoal,(8420.719:3141.9614),(-6.6079736:-3.5474901)
3,moveGoal,(8415.269:3136.8096),(-5.4504457:-5.151955)
4,moveGoal,(8410.896:3130.716),(-4.3725576:-6.0935)
5,moveGoal,(8407.173:3124.2056),(-3.7235174:-6.510409)
6,moveGoal,(8408.699:3116.8625),(1.5262737:-7.343057)
7,moveGoal,(8408.8125:3109.3633),(0.113161266:-7.4991465)
8,moveGoal,(8404.803:3103.0251),(-4.0095773:-6.33824)
9,moveGoal,(8401.234:3096.4285),(-3.568354:-6.5967307)
10,moveGoal,(8393.845:3095.1484),(-7.3899612:-1.2800289)
11,moveGoal,(8392.019:3087.8743),(-1.8262312:-7.2742615)
12,moveGoal,(8386.903:3082.3896),(-5.115622:-5.4845614)
13,moveGoal,(8382.573:3076.266),(-4.3304973:-6.1234627)
14,moveGoal,(8379.844:3069.2803),(-2.7291646:-6.985819)
15,moveGoal,(8373.933:3064.664),(-5.911039:-4.616235)
16,moveGoal,(8372.115:3057.3877),(-1.8173589:-7.276483)
17,moveGoal,(8365.163:3054.574),(-6.9522066:-2.8136852)
18,moveGoal,(8365.352:3047.0764),(0.1889268:-7.49762)
19,moveGoal,(8362.723:3040.0522),(-2.6285954:-7.0242786)
20,moveGoal,(8358.111:3034.1375),(-4.6113567:-5.9148445)
21,moveGoal,(8353.118:3028.541),(-4.9929957:-5.5964274)
22,moveGoal,(8359.506:3024.61),(6.3874016:-3.930789)
23,moveGoal,(8354.452:3019.0686),(-5.0537896:-5.5415897)
24,moveGoal,(8348.214:3014.9048),(-6.2380266:-4.163776)
25,moveGoal,(8355.456:3012.9563),(7.242459:-1.9485357)
26,moveGoal,(8348.244:3015.0146),(-7.212036:2.058285)
27,moveGoal,(8341.408:3011.9294),(-6.8360286:-3.0852418)
28,moveGoal,(8339.448:3004.6902),(-1.959982:-7.23937)
29,moveGoal,(8332.05:3005.9219),(-7.3981867:1.2316004)
30,moveGoal,(8339.363:3004.258),(7.3131:-1.6639048)
31,moveGoal,(8331.933:3005.2734),(-7.430939:1.015452)
32,moveGoal,(8325.312:3001.7512),(-6.6214404:-3.5222905)
33,moveGoal,(8318.367:2998.9185),(-6.9444737:-2.8327177)
34,moveGoal,(8313.0205:2993.659),(-5.346719:-5.259525)
35,moveGoal,(8307.038:2989.1355),(-5.982308:-4.5234942)
36,moveGoal,(8299.889:2986.8677),(-7.1489534:-2.2677011)
