step,tag,position,velocity
0,moveGoal,(6833.334:6466.667),(0.0:0.0)
1,moveGoal,(6832.6484:6474.1357),(-0.6854724:7.46861)
2,moveGoal,(6831.131:6481.4805),(-1.5177156:7.344831)
3,moveGoal,(6828.619:6488.5474),(-2.5117934:7.066888)
4,moveGoal,(6826.005:6495.577),(-2.6144261:7.029565)
5,moveGoal,(6823.51:6502.65),(-2.4952374:7.07275)
6,moveGoal,(6821.466:6509.866),(-2.043988:7.216101)
7,moveGoal,(6819.326:6517.0547),(-2.1398199:7.1882668)
8,moveGoal,(6818.173:6524.4653),(-1.1532354:7.410806)
9,moveGoal,(6818.583:6531.954),(0.40998605:7.4887857)
10,moveGoal,(6821.3423:6538.928),(2.7595143:6.973886)
11,moveGoal,(6822.4536:6546.345),(1.1112187:7.417223)
12,moveGoal,(6824.5747:6553.539),(2.1212087:7.1937804)
13,moveGoal,(6825.584:6560.9707),(1.0094868:7.431752)
14,moveGoal,(6827.115:6568.3125),(1.5313447:7.3420014)
15,moveGoal,(6828.816:6575.617),(1.7005548:7.3046637)
16,moveGoal,(6829.174:6583.109),(0.35785207:7.491458)
17,moveGoal,(6828.743:6590.5967),(-0.4305693:7.4876304)
18,moveGoal,(6827.575:6598.0054),(-1.1678728:7.408514)
19,moveGoal,(6826.128:6605.3643),(-1.4472078:7.359048)
20,moveGoal,(6824.419:6612.667),(-1.7092068:7.3026443)
21,moveGoal,(6819.703:6618.4985),(-4.716022:5.831735)
22,moveGoal,(6818.236:6625.8535),(-1.4670663:7.355115)
23,moveGoal,(6819.422:6633.2593),(1.1859767:7.4056373)
24,moveGoal,(6821.3403:6640.51),(1.9186089:7.250444)
25,moveGoal,(6814.119:6642.5356),(-7.2211533:2.0260673)
26,moveGoal,(6806.6206:6642.389),(-7.498567:-0.14658853)
27,moveGoal,(6800.633:6637.8726),(-5.9875536:-4.516548)
28,moveGoal,(6794.3804:6633.7305),(-6.2523155:-4.1422887)
29,moveGoal,(6788.6113:6628.938),(-5.7691727:-4.7923527)
30,moveGoal,(6781.726:6625.9644),(-6.8852463:-2.9737835)
31,moveGoal,(6776.286:6620.8013),(-5.4401326:-5.162844)
32,moveGoal,(6770.598:6615.9126),(-5.6878705:-4.8885713)
33,moveGoal,(6765.7026:6610.231),(-4.8956337:-5.6817937)
34,moveGoal,(6767.0986:6617.5996),(1.3962114:7.3688936)
35,moveGoal,(6761.932:6612.1626),(-5.166369:-5.436785)
36,moveGoal,(6755.7656:6607.8936),(-6.1664414:-4.269075)
37,moveGoal,(6748.9976:6604.662),(-6.7681727:-3.2313838)
38,moveGoal,(6741.886:6602.2793),(-7.1113977:-2.38286)
39,moveGoal,(6735.755:6597.96),(-6.131253:-4.319462)
40,moveGoal,(6729.064:6594.572),(-6.6910954:-3.3881037)
41,moveGoal,(6723.372:6589.688),(-5.692082:-4.8836675)
42,moveGoal,(6717.419:6585.126),(-5.9530973:-4.5618677)
43,moveGoal,(6711.708:6580.264),(-5.7107143:-4.861866)
44,moveGoal,(6706.047:6575.3447),(-5.6613674:-4.9192405)
45,moveGoal,(6700.463:6570.3374),(-5.5838075:-5.0071044)
46,moveGoal,(6694.912:6565.2935),(-5.5506363:-5.043852)
47,moveGoal,(6689.398:6560.21),(-5.514235:-5.083622)
48,moveGoal,(6683.9014:6555.1074),(-5.4966955:-5.1025815)
