step,tag,position,velocity
0,moveGoal,(6833.334:6450.0005),(0.0:0.0)
1,moveGoal,(6839.4824:6445.7056),(6.1485853:-4.2947526)
2,moveGoal,(6846.388:6442.7793),(6.905596:-2.9262178)
3,moveGoal,(6853.67:6440.983),(7.281693:-1.796371)
4,moveGoal,(6858.5737:6446.6577),(4.9036083:5.6749125)
5,moveGoal,(6866.028:6447.4844),(7.4543157:0.8265465)
6,moveGoal,(6873.239:6449.546),(7.211126:2.0614724)
7,moveGoal,(6880.095:6452.5854),(6.856424:3.0396466)
8,moveGoal,(6872.595:6452.54),(-7.4998636:-0.045300506)
9,moveGoal,(6878.26:6457.4556),(5.6644473:4.915693)
10,moveGoal,(6875.178:6464.293),(-3.0816681:6.8376403)
11,moveGoal,(6870.1465:6469.8545),(-5.0316424:5.561706)
12,moveGoal,(6866.778:6476.5557),(-3.3685951:6.700938)
13,moveGoal,(6873.7812:6479.239),(7.0035877:2.683237)
14,moveGoal,(6876.1074:6486.369),(2.3261664:7.130144)
15,moveGoal,(6881.6685:6491.402),(5.5608563:5.0325813)
16,moveGoal,(6889.1045:6492.38),(7.4359784:0.9778698)
17,moveGoal,(6881.719:6493.6875),(-7.385101:1.3077803)
18,moveGoal,(6888.9326:6491.6333),(7.213173:-2.0542963)
19,moveGoal,(6886.9185:6498.858),(-2.0139995:7.2245283)
20,moveGoal,(6883.5674:6505.5674),(-3.351079:6.7097144)
21,moveGoal,(6890.9067:6504.024),(7.3395047:-1.543268)
22,moveGoal,(6893.0522:6511.2104),(2.145388:7.1866064)
23,moveGoal,(6885.899:6513.465),(-7.1531024:2.25458)
24,moveGoal,(6892.3706:6509.675),(6.4718637:-3.7901168)
25,moveGoal,(6888.06:6515.8125),(-4.31049:6.1375623)
26,moveGoal,(6892.2344:6522.0435),(4.1745553:6.230818)
27,moveGoal,(6891.874:6514.5522),(-0.3604677:-7.491333)
28,moveGoal,(6885.6313:6510.395),(-6.2425194:-4.1570363)
29,moveGoal,(6887.9785:6503.2715),(2.3469682:-7.1233234)
30,moveGoal,(6895.445:6503.9795),(7.466512:0.70795226)
31,moveGoal,(6889.624:6499.25),(-5.8210006:-4.729266)
32,moveGoal,(6884.3843:6493.884),(-5.239795:-5.366055)
33,moveGoal,(6888.0283:6487.3286),(3.6442378:-6.5551147)
