step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8437.847:3144.01),(4.512879:-5.99032)
2,moveGoal,(8440.6875:3137.069),(2.8412416:-6.9409904)
3,moveGoal,(8443.457:3130.0994),(2.7698631:-6.969782)
4,moveGoal,(8449.785:3126.0742),(6.32841:-4.0250745)
5,moveGoal,(8457.143:3124.6196),(7.3576064:-1.4545202)
6,moveGoal,(8449.958:3122.4666),(-7.184275:-2.1531832)
7,moveGoal,(8457.002:3125.041),(7.0442595:2.5745692)
8,moveGoal,(8459.141:3117.8523),(2.1382086:-7.1887455)
9,moveGoal,(8466.589:3118.7302),(7.4484363:0.8779499)
10,moveGoal,(8466.094:3126.2139),(-0.4953028:7.4836273)
11,moveGoal,(8473.521:3127.2542),(7.427506:1.0402684)
12,moveGoal,(8480.847:3128.8638),(7.3252597:1.6095251)
13,moveGoal,(8474.063:3132.0637),(-6.783041:3.200056)
14,moveGoal,(8481.251:3134.206),(7.1875257:2.1423073)
15,moveGoal,(8488.472:3132.1797),(7.221098:-2.0262637)
16,moveGoal,(8481.181:3130.4219),(-7.291094:-1.7578253)
17,moveGoal,(8488.517:3131.9797),(7.336404:1.55794)
18,moveGoal,(8491.78:3125.2268),(3.263283:-6.7528505)
19,moveGoal,(8484.28:3125.196),(-7.499937:-0.030729804)
20,moveGoal,(8490.624:3121.1946),(6.343304:-4.001561)
21,moveGoal,(8494.923:3127.3403),(4.2988753:6.145704)
22,moveGoal,(8498.9:3120.982),(3.9773471:-6.3585153)
23,moveGoal,(8506.398:3120.8035),(7.4978743:-0.17857222)
24,moveGoal,(8512.399:3116.3044),(6.0006437:-4.4991417)
25,moveGoal,(8519.793:3117.564),(7.393486:1.2595098)
26,moveGoal,(8517.786:3110.3374),(-2.0066218:-7.226581)
27,moveGoal,(8525.072:3112.114),(7.286522:1.7766819)
28,moveGoal,(8518.26:3108.9768),(-6.8123884:-3.1370955)
29,moveGoal,(8523.925:3104.0613),(5.664632:-4.915481)
30,moveGoal,(8525.335:3096.695),(1.4100177:-7.366265)
31,moveGoal,(8530.913:3091.6816),(5.578216:-5.0133333)
32,moveGoal,(8524.374:3088.008),(-6.538688:-3.6736302)
33,moveGoal,(8519.777:3082.0815),(-4.596298:-5.9265547)
34,moveGoal,(8513.131:3078.6072),(-6.6466703:-3.4744453)
35,moveGoal,(8506.683:3074.7761),(-6.4477706:-3.8309603)
36,moveGoal,(8499.188:3074.4814),(-7.4942074:-0.294716)
37,moveGoal,(8506.172:3071.745),(6.982995:-2.736382)
38,moveGoal,(8500.398:3076.532),(-5.773645:4.7869644)
39,moveGoal,(8493.486:3073.6204),(-6.911779:-2.9115832)
40,moveGoal,(8499.908:3069.7466),(6.4221997:-3.8736734)
41,moveGoal,(8492.759:3067.479),(-7.149014:-2.2675102)
42,moveGoal,(8485.628:3065.154),(-7.1305194:-2.3250158)
43,moveGoal,(8478.438:3063.0198),(-7.1899004:-2.1343231)
44,moveGoal,(8471.291:3060.7468),(-7.14732:-2.2728434)
45,moveGoal,(8464.724:3057.1245),(-6.5672398:-3.622342)
46,moveGoal,(8457.771:3054.3108),(-6.952156:-2.81381)
47,moveGoal,(8450.883:3051.3447),(-6.8885703:-2.9660747)
48,moveGoal,(8445.191:3046.4607),(-5.6918316:-4.883959)
49,moveGoal,(8452.661:3045.793),(7.4702077:-0.6678316)
50,moveGoal,(8445.183:3045.2305),(-7.4788804:-0.562454)
51,moveGoal,(8437.964:3043.1953),(-7.2186036:-2.035132)
52,moveGoal,(8445.12:3045.4402),(7.1561875:2.2447665)
53,moveGoal,(8437.907:3043.3835),(-7.212481:-2.056725)
54,moveGoal,(8432.472:3038.2158),(-5.4355426:-5.167676)
55,moveGoal,(8425.111:3036.7737),(-7.3600373:-1.4421694)
56,moveGoal,(8431.516:3032.8713),(6.4047627:-3.9024372)
57,moveGoal,(8425.306:3028.666),(-6.2101183:-4.205286)
58,moveGoal,(8418.6045:3025.2979),(-6.7011204:-3.368232)
59,moveGoal,(8413.179:3030.4756),(-5.425905:5.1777945)
60,moveGoal,(8407.709:3025.3445),(-5.4700136:-5.131175)
61,moveGoal,(8415.036:3023.7437),(7.327168:-1.6008158)
62,moveGoal,(8408.248:3020.5547),(-6.788235:-3.1890225)
63,moveGoal,(8401.787:3016.7458),(-6.460825:-3.8089032)
64,moveGoal,(8409.192:3015.5554),(7.4049397:-1.1903229)
65,moveGoal,(8402.028:3013.3347),(-7.163726:-2.2205932)
66,moveGoal,(8395.121:3010.413),(-6.9075065:-2.9217048)
67,moveGoal,(8402.021:3007.4739),(6.9001207:-2.939105)
68,moveGoal,(8396.136:3002.8252),(-5.885487:-4.6487675)
69,moveGoal,(8390.282:2998.1362),(-5.85344:-4.6890554)
70,moveGoal,(8385.237:2992.5864),(-5.0446544:-5.549907)
71,moveGoal,(8392.015:2989.374),(6.777151:-3.2125115)
72,moveGoal,(8386.259:2984.566),(-5.756046:-4.8081117)
73,moveGoal,(8379.195:2982.045),(-7.0635858:-2.5210624)
74,moveGoal,(8371.946:2980.1226),(-7.24944:-1.9223995)
75,moveGoal,(8365.069:2977.1294),(-6.8768644:-2.993115)
76,moveGoal,(8371.12:2981.5603),(6.0512333:4.4308662)
77,moveGoal,(8367.041:2975.2666),(-4.0793104:-6.2935863)
78,moveGoal,(8363.39:2981.8179),(-3.6509297:6.55139)
79,moveGoal,(8360.082:2975.0864),(-3.307293:-6.7314053)
80,moveGoal,(8355.841:2968.901),(-4.2415223:-6.1854253)
81,moveGoal,(8362.973:2971.221),(7.1321173:2.320109)
82,moveGoal,(8356.579:2967.3),(-6.393508:-3.9208496)
83,moveGoal,(8363.464:2970.2742),(6.885113:2.9740913)
84,moveGoal,(8370.745:2972.073),(7.28108:1.798855)
85,moveGoal,(8364.452:2967.993),(-6.2931476:-4.079987)
86,moveGoal,(8358.135:2963.9504),(-6.3172426:-4.042579)
87,moveGoal,(8351.18:2966.7566),(-6.955244:2.8061686)
88,moveGoal,(8347.198:2960.4006),(-3.9813807:-6.35599)
89,moveGoal,(8353.037:2965.1077),(5.8390784:4.706928)
90,moveGoal,(8345.828:2963.037),(-7.208516:-2.0705779)
91,moveGoal,(8341.998:2956.5886),(-3.8299034:-6.448398)
92,moveGoal,(8347.934:2961.1738),(5.9351583:4.5851827)
93,moveGoal,(8345.216:2954.1838),(-2.7182577:-6.99007)
94,moveGoal,(8350.246:2959.7463),(5.0307:5.5625587)
95,moveGoal,(8343.147:2957.3267),(-7.09893:-2.419751)
96,moveGoal,(8338.187:2951.7021),(-4.961255:-5.624584)
97,moveGoal,(8330.695:2951.3494),(-7.491698:-0.35279465)
98,moveGoal,(8327.138:2944.7466),(-3.5571818:-6.6027613)
99,moveGoal,(8329.936:2951.7053),(2.7977269:6.958644)
100,moveGoal,(8329.004:2944.2634),(-0.93125015:-7.4419603)
101,moveGoal,(8322.466:2940.588),(-6.537621:-3.675529)
102,moveGoal,(8320.06:2933.4844),(-2.406053:-7.103585)
103,moveGoal,(8312.84:2931.4534),(-7.219784:-2.030941)
104,moveGoal,(8306.063:2934.6665),(-6.776844:3.2131588)
105,moveGoal,(8300.307:2929.859),(-5.7565174:-4.807547)
106,moveGoal,(8306.279:2934.395),(5.97275:4.536106)
107,moveGoal,(8300.048:2930.2207),(-6.2310114:-4.174267)
108,moveGoal,(8294.606:2935.382),(-5.44154:5.161361)
109,moveGoal,(8301.795:2933.2415),(7.187993:-2.1407375)
110,moveGoal,(8294.917:2930.2507),(-6.877864:-2.9908185)
111,moveGoal,(8299.796:2924.5542),(4.878451:-5.6965528)
112,moveGoal,(8293.203:2920.978),(-6.5924487:-3.5762577)
113,moveGoal,(8298.815:2916.003),(5.6123157:-4.9751296)
114,moveGoal,(8291.367:2915.1218),(-7.4480677:-0.88107604)
115,moveGoal,(8284.034:2913.5464),(-7.332666:-1.5754393)
116,moveGoal,(8276.555:2914.0981),(-7.479685:0.55164707)
117,moveGoal,(8283.181:2917.6116),(6.6261387:3.513444)
118,moveGoal,(8279.908:2910.8633),(-3.2728884:-6.7482)
119,moveGoal,(8287.406:2911.0498),(7.4976788:0.18658566)
120,moveGoal,(8280.66:2907.7732),(-6.746385:-3.2766275)
121,moveGoal,(8288.146:2907.3274),(7.4867444:-0.44571567)
122,moveGoal,(8281.096:2904.771),(-7.0509095:-2.5563004)
123,moveGoal,(8273.596:2904.789),(-7.499978:0.018101314)
124,moveGoal,(8269.435:2898.5493),(-4.161288:-6.239687)
125,moveGoal,(8262.5205:2895.643),(-6.9139857:-2.9063392)
126,moveGoal,(8268.997:2899.4243),(6.4769917:3.781346)
127,moveGoal,(8263.279:2894.5708),(-5.7178874:-4.8534284)
128,moveGoal,(8270.648:2893.178),(7.369527:-1.3928659)
129,moveGoal,(8274.311:2886.6328),(3.6619196:-6.5452533)
130,moveGoal,(8270.8:2880.0054),(-3.51105:-6.627407)
131,moveGoal,(8263.772:2877.3857),(-7.0276256:-2.619634)
132,moveGoal,(8269.9795:2881.5952),(6.207343:4.209381)
133,moveGoal,(8270.678:2874.1277),(0.69793004:-7.467456)
134,moveGoal,(8263.346:2872.5486),(-7.331873:-1.5791283)
135,moveGoal,(8270.808:2873.2993),(7.462337:0.75068694)
136,moveGoal,(8263.718:2870.8525),(-7.089691:-2.4466882)
137,moveGoal,(8270.601:2867.872),(6.8823338:-2.9805176)
138,moveGoal,(8264.216:2863.9363),(-6.3843665:-3.935717)
139,moveGoal,(8264.648:2856.4487),(0.4326734:-7.487509)
140,moveGoal,(8271.62:2859.214),(6.971529:2.7654629)
141,moveGoal,(8264.772:2856.1545),(-6.8475432:-3.0596006)
142,moveGoal,(8257.275:2855.962),(-7.497529:-0.19251858)
143,moveGoal,(8249.9:2854.5964),(-7.3746505:-1.3654794)
144,moveGoal,(8255.501:2849.6082),(5.600563:-4.9883556)
145,moveGoal,(8248.295:2847.5305),(-7.2064505:-2.077756)
146,moveGoal,(8242.273:2843.0598),(-6.0218267:-4.47075)
147,moveGoal,(8249.326:2840.5098),(7.053198:-2.549981)
148,moveGoal,(8242.129:2838.3994),(-7.19697:-2.110361)
149,moveGoal,(8238.725:2831.7168),(-3.4046154:-6.6827087)
150,moveGoal,(8231.838:2828.7456),(-6.886365:-2.9711914)
151,moveGoal,(8238.178:2824.7388),(6.339961:-4.0068555)
152,moveGoal,(8245.371:2822.6177),(7.1937857:-2.1211913)
153,moveGoal,(8237.889:2822.1025),(-7.4822817:-0.5152301)
154,moveGoal,(8245.026:2819.799),(7.137479:-2.3035614)
155,moveGoal,(8247.205:2812.6226),(2.1788516:-7.1765313)
156,moveGoal,(8240.442:2809.3792),(-6.76236:-3.24353)
157,moveGoal,(8247.823:2808.0466),(7.380683:-1.3324887)
158,moveGoal,(8241.217:2804.4966),(-6.606554:-3.5501337)
159,moveGoal,(8237.9795:2797.7314),(-3.2375245:-6.7652373)
160,moveGoal,(8240.966:2790.8516),(2.9862492:-6.8798485)
161,moveGoal,(8247.05:2786.4653),(6.0836415:-4.3862634)
162,moveGoal,(8240.773:2782.359),(-6.2759438:-4.1064014)
163,moveGoal,(8246.994:2778.17),(6.2211695:-4.1889205)
164,moveGoal,(8243.235:2771.6797),(-3.758445:-6.4903073)
165,moveGoal,(8244.446:2764.278),(1.2114189:-7.401518)
166,moveGoal,(8240.75:2757.752),(-3.6960995:-6.5260134)
167,moveGoal,(8236.871:2751.333),(-3.8792305:-6.418845)
168,moveGoal,(8231.083:2746.5632),(-5.787896:-4.769724)
169,moveGoal,(8226.829:2740.3865),(-4.254238:-6.176687)
170,moveGoal,(8227.364:2732.9055),(0.5356025:-7.480851)
171,moveGoal,(8220.457:2729.9827),(-6.9070716:-2.9227319)
172,moveGoal,(8216.476:2723.6267),(-3.9815054:-6.355912)
173,moveGoal,(8214.392:2716.422),(-2.0840354:-7.2046375)
174,moveGoal,(8208.33:2712.005),(-6.061243:-4.4171634)
175,moveGoal,(8204.845:2705.3638),(-3.4850323:-6.6411257)
176,moveGoal,(8200.378:2699.339),(-4.4668903:-6.02469)
177,moveGoal,(8193.939:2695.4927),(-6.4384894:-3.8465385)
178,moveGoal,(8189.193:2689.6855),(-4.7464175:-5.807024)
179,moveGoal,(8185.0933:2683.4053),(-4.0995984:-6.2803893)
180,moveGoal,(8181.6714:2676.7314),(-3.422052:-6.673797)
181,moveGoal,(8175.198:2672.9436),(-6.473258:-3.7877343)
182,moveGoal,(8169.328:2668.2754),(-5.869985:-4.6683273)
183,moveGoal,(8164.2803:2662.7285),(-5.047896:-5.5469584)
184,moveGoal,(8160.012:2656.5613),(-4.267942:-6.167226)
185,moveGoal,(8155.6826:2650.437),(-4.329531:-6.1241455)
186,moveGoal,(8150.6523:2644.8743),(-5.03049:-5.5627484)
187,moveGoal,(8143.6797:2642.1118),(-6.972717:-2.7624683)
188,moveGoal,(8137.245:2638.259),(-6.434684:-3.8529012)
189,moveGoal,(8133.7075:2631.6458),(-3.5374115:-6.613374)
190,moveGoal,(8130.071:2625.0864),(-3.6365495:-6.559384)
191,moveGoal,(8126.108:2618.7188),(-3.9628606:-6.3675537)
192,moveGoal,(8119.357:2615.4517),(-6.7510657:-3.266973)
193,moveGoal,(8113.378:2610.924),(-5.9791536:-4.5276623)
194,moveGoal,(8106.11:2609.0732),(-7.2680726:-1.8507082)
195,moveGoal,(8101.1616:2603.4373),(-4.9483957:-5.6359015)
196,moveGoal,(8107.656:2607.1892),(6.494015:3.7520359)
197,moveGoal,(8104.071:2600.6016),(-3.5849853:-6.587707)
198,moveGoal,(8108.0986:2594.275),(4.027892:-6.3266177)
199,moveGoal,(8101.826:2590.1628),(-6.2722244:-4.1120806)
200,moveGoal,(8099.2505:2583.119),(-2.5757153:-7.043841)
201,moveGoal,(8093.4165:2578.4055),(-5.8339143:-4.713327)
202,moveGoal,(8092.756:2570.9346),(-0.6605303:-7.4708567)
203,moveGoal,(8086.115:2567.4482),(-6.6404843:-3.4862545)
