step,tag,position,velocity
0,moveGoal,(6833.334:6450.0005),(0.0:0.0)
1,moveGoal,(6828.4175:6444.3364),(-4.91631:-5.663912)
2,moveGoal,(6821.65:6441.1035),(-6.767496:-3.2328012)
3,moveGoal,(6814.3096:6442.644),(-7.3400984:1.5404403)
4,moveGoal,(6807.0664:6444.5903),(-7.2430005:1.9465213)
5,moveGoal,(6799.5933:6443.9536),(-7.4729247:-0.6367087)
6,moveGoal,(6792.0957:6443.7554),(-7.497376:-0.1983827)
7,moveGoal,(6784.63:6444.47),(-7.465872:0.7146782)
8,moveGoal,(6777.9336:6447.848),(-6.6962237:3.3779564)
9,moveGoal,(6770.624:6449.5273),(-7.309581:1.6792946)
10,moveGoal,(6764.747:6454.187),(-5.876855:4.6596756)
11,moveGoal,(6759.867:6459.8823),(-4.8796973:5.6954856)
12,moveGoal,(6753.138:6463.195),(-6.7288866:3.3124135)
13,moveGoal,(6746.146:6465.9077),(-6.9921756:2.7128365)
14,moveGoal,(6738.647:6466.022),(-7.4991302:0.11425017)
15,moveGoal,(6732.6416:6470.515),(-6.0051646:4.493106)
16,moveGoal,(6725.7847:6473.553),(-6.8570185:3.0383055)
17,moveGoal,(6720.7603:6479.1216),(-5.024299:5.5683413)
18,moveGoal,(6713.5757:6481.2744),(-7.1844263:2.1526778)
19,moveGoal,(6706.9907:6484.8647),(-6.584852:3.5902257)
20,moveGoal,(6701.1836:6489.611),(-5.807325:4.7460485)
21,moveGoal,(6694.11:6492.1025),(-7.073913:2.4919386)
22,moveGoal,(6688.744:6486.863),(-5.365906:-5.239948)
23,moveGoal,(6695.4883:6490.1436),(6.7443795:3.2807531)
24,moveGoal,(6688.309:6492.313),(-7.1793547:2.1695316)
25,moveGoal,(6680.833:6491.7173),(-7.476286:-0.59594315)
26,moveGoal,(6675.512:6486.4316),(-5.3209968:-5.2855463)
27,moveGoal,(6668.926:6482.8438),(-6.586236:-3.5876877)
28,moveGoal,(6661.6226:6484.552),(-7.302979:1.7077781)
29,moveGoal,(6656.5054:6479.069),(-5.1172075:-5.483082)
30,moveGoal,(6650.8105:6474.188),(-5.6946535:-4.8806686)
31,moveGoal,(6645.1143:6469.3096),(-5.6964207:-4.878606)
32,moveGoal,(6637.9883:6466.97),(-7.1258364:-2.3393283)
33,moveGoal,(6634.006:6460.615),(-3.982614:-6.355217)
34,moveGoal,(6627.338:6457.1816),(-6.6678343:-3.4336548)
35,moveGoal,(6620.2837:6454.6343),(-7.054124:-2.5474186)
36,moveGoal,(6614.2754:6450.145),(-6.008194:-4.489055)
37,moveGoal,(6610.2188:6443.8364),(-4.056438:-6.308353)
38,moveGoal,(6604.1055:6439.4917),(-6.113357:-4.344752)
39,moveGoal,(6600.568:6432.8784),(-3.5374672:-6.6133447)
40,moveGoal,(6594.8394:6428.037),(-5.728337:-4.84109)
41,moveGoal,(6588.3066:6424.3525),(-6.532603:-3.6844406)
42,moveGoal,(6581.8228:6420.583),(-6.4839683:-3.7693713)
43,moveGoal,(6576.0894:6415.748),(-5.7333183:-4.8351903)
44,moveGoal,(6569.886:6411.532),(-6.2029376:-4.215871)
45,moveGoal,(6563.659:6407.352),(-6.227098:-4.1801023)
46,moveGoal,(6557.5967:6402.937),(-6.0627213:-4.4151344)
47,moveGoal,(6551.1816:6399.0513),(-6.41503:-3.885536)
48,moveGoal,(6545.1978:6394.53),(-5.983897:-4.521391)
49,moveGoal,(6538.878:6390.491),(-6.3196907:-4.038751)
50,moveGoal,(6536.1904:6383.4893),(-2.687302:-7.0020285)
51,moveGoal,(6529.4937:6380.1123),(-6.6967096:-3.3769934)
52,moveGoal,(6523.5815:6375.4976),(-5.912224:-4.614717)
53,moveGoal,(6517.6304:6370.933),(-5.9509797:-4.56463)
54,moveGoal,(6512.01:6365.9673),(-5.620396:-4.966)
