step,tag,position,velocity
0,moveGoal,(6833.334:6450.0005),(0.0:0.0)
1,moveGoal,(6833.271:6442.501),(-0.062974356:-7.4997363)
2,moveGoal,(6829.6562:6435.929),(-3.6145205:-6.571548)
3,moveGoal,(6822.237:6437.0244),(-7.4196196:1.0951018)
4,moveGoal,(6821.158:6444.4463),(-1.0784123:7.4220634)
5,moveGoal,(6826.802:6449.386),(5.643397:4.939846)
6,moveGoal,(6820.6646:6453.6973),(-6.137245:4.3109426)
7,moveGoal,(6827.841:6455.877),(7.176253:2.1797693)
8,moveGoal,(6833.82:6460.405),(5.9789324:4.527954)
9,moveGoal,(6833.0835:6452.941),(-0.7363414:-7.463766)
10,moveGoal,(6834.624:6460.281),(1.5407267:7.3400383)
11,moveGoal,(6828.115:6456.554),(-6.5087442:-3.7264261)
12,moveGoal,(6833.9053:6451.787),(5.790039:-4.767122)
13,moveGoal,(6840.2637:6455.764),(6.3586087:3.9771974)
14,moveGoal,(6843.105:6462.705),(2.8413117:6.9409614)
15,moveGoal,(6838.292:6456.953),(-4.8130665:-5.751904)
16,moveGoal,(6831.2705:6459.59),(-7.021293:2.6365592)
17,moveGoal,(6829.18:6466.7925),(-2.0903168:7.2028174)
18,moveGoal,(6832.4785:6473.5283),(3.2981446:6.7358923)
19,moveGoal,(6824.9814:6473.32),(-7.4971066:-0.20831601)
20,moveGoal,(6831.4766:6469.5693),(6.494994:-3.7503407)
21,moveGoal,(6835.4766:6475.9136),(3.9997566:6.344442)
22,moveGoal,(6828.6553:6479.0317),(-6.8210897:3.1181307)
23,moveGoal,(6824.0605:6473.104),(-4.5945363:-5.9279203)
24,moveGoal,(6824.987:6480.5464),(0.9265096:7.442552)
25,moveGoal,(6830.9673:6476.02),(5.980318:-4.5261245)
26,moveGoal,(6829.3306:6483.3394),(-1.6365737:7.319264)
27,moveGoal,(6825.98:6476.6294),(-3.3504236:-6.710042)
28,moveGoal,(6820.5703:6481.824),(-5.409547:5.1948824)
29,moveGoal,(6826.739:6477.558),(6.1684074:-4.266234)
30,moveGoal,(6822.3325:6471.4893),(-4.4064026:-6.06907)
31,moveGoal,(6822.1694:6463.991),(-0.16306679:-7.498227)
32,moveGoal,(6819.3916:6470.958),(-2.7778156:6.966616)
33,moveGoal,(6812.3677:6468.329),(-7.024158:-2.6289175)
34,moveGoal,(6811.475:6475.776),(-0.89258707:7.4466963)
35,moveGoal,(6812.0767:6468.3003),(0.6017953:-7.475817)
36,moveGoal,(6804.941:6465.991),(-7.135769:-2.3088522)
37,moveGoal,(6798.6333:6461.9336),(-6.307602:-4.0576053)
38,moveGoal,(6792.956:6457.0327),(-5.6771145:-4.901058)
39,moveGoal,(6786.746:6452.827),(-6.209979:-4.2054925)
40,moveGoal,(6782.6704:6446.5312),(-4.0758038:-6.2958574)
41,moveGoal,(6776.4736:6442.306),(-6.1967597:-4.2249465)
42,moveGoal,(6771.474:6436.716),(-4.9995584:-5.5905647)
43,moveGoal,(6766.584:6431.0293),(-4.8902173:-5.6864557)
44,moveGoal,(6761.1885:6425.82),(-5.395355:-5.2096205)
45,moveGoal,(6756.0757:6420.333),(-5.112961:-5.4870424)
46,moveGoal,(6750.7124:6415.0903),(-5.363297:-5.242619)
47,moveGoal,(6746.0527:6409.2134),(-4.659635:-5.876888)
48,moveGoal,(6741.9346:6402.9453),(-4.1182623:-6.268167)
49,moveGoal,(6734.886:6400.382),(-7.0482197:-2.5637093)
50,moveGoal,(6729.185:6395.509),(-5.701139:-4.8730907)
51,moveGoal,(6726.8696:6388.375),(-2.3156438:-7.1335683)
52,moveGoal,(6721.997:6382.6733),(-4.8727646:-5.701418)
53,moveGoal,(6716.423:6377.6553),(-5.574087:-5.0179234)
54,moveGoal,(6709.518:6374.727),(-6.904696:-2.928341)
55,moveGoal,(6703.2065:6370.6753),(-6.311385:-4.051718)
56,moveGoal,(6700.335:6363.7466),(-2.8715494:-6.928507)
57,moveGoal,(6696.982:6357.038),(-3.3532143:-6.7086477)
58,moveGoal,(6692.1562:6351.297),(-4.8258486:-5.7411833)
