step,tag,position,velocity
0,moveGoal,(4122.2227:8400.0),(0.0:0.0)
1,moveGoal,(4123.3945:8407.408),(1.1718438:7.4078865)
2,moveGoal,(4124.6177:8414.808),(1.223126:7.3995924)
3,moveGoal,(4122.043:8421.852),(-2.574749:7.0441937)
4,moveGoal,(4123.04:8429.285),(0.99686176:7.4334564)
5,moveGoal,(4124.6724:8436.605),(1.6324589:7.320183)
6,moveGoal,(4129.433:8430.811),(4.7608294:-5.7952137)
7,moveGoal,(4136.842:8431.978),(7.4085817:1.1674392)
8,moveGoal,(4136.502:8424.485),(-0.34007913:-7.4922857)
9,moveGoal,(4130.1787:8428.519),(-6.323267:4.03315)
10,moveGoal,(4133.6157:8421.853),(3.4370005:-6.6661105)
11,moveGoal,(4139.521:8417.229),(5.90509:-4.6238422)
12,moveGoal,(4145.5737:8412.8),(6.052753:-4.428791)
13,moveGoal,(4145.6567:8420.3),(0.08285146:7.4995427)
14,moveGoal,(4152.2974:8423.786),(6.6405487:3.486132)
15,moveGoal,(4155.6973:8417.102),(3.4000769:-6.685019)
16,moveGoal,(4157.2495:8409.764),(1.5524592:-7.337566)
17,moveGoal,(4162.394:8404.307),(5.144676:-5.457317)
18,moveGoal,(4158.82:8410.9),(-3.5741496:6.593592)
19,moveGoal,(4153.55:8405.564),(-5.2700043:-5.3363895)
20,moveGoal,(4149.1157:8411.613),(-4.434318:6.0487046)
21,moveGoal,(4150.3823:8404.221),(1.2664545:-7.3922997)
22,moveGoal,(4153.634:8397.462),(3.2516396:-6.7584643)
23,moveGoal,(4146.579:8394.916),(-7.05457:-2.5461826)
24,moveGoal,(4142.752:8388.466),(-3.8272007:-6.4500027)
25,moveGoal,(4143.391:8380.993),(0.63894403:-7.472734)
26,moveGoal,(4142.6562:8373.529),(-0.73467135:-7.4639306)
27,moveGoal,(4142.606:8366.029),(-0.050404236:-7.4998307)
28,moveGoal,(4141.28:8358.647),(-1.3262886:-7.3817997)
29,moveGoal,(4139.7075:8351.314),(-1.5723252:-7.333335)
30,moveGoal,(4138.364:8343.936),(-1.3439021:-7.378613)
31,moveGoal,(4134.48:8337.52),(-3.8837202:-6.41613)
32,moveGoal,(4135.8096:8330.139),(1.3295704:-7.381209)
33,moveGoal,(4135.453:8322.647),(-0.3562205:-7.4915357)
34,moveGoal,(4134.3486:8315.2295),(-1.1045474:-7.4182196)
35,moveGoal,(4133.879:8307.744),(-0.46975034:-7.485275)
36,moveGoal,(4132.9336:8300.304),(-0.9455111:-7.440162)
37,moveGoal,(4128.5576:8294.213),(-4.375954:-6.091061)
