step,tag,position,velocity
0,moveGoal,(6833.334:6383.334),(0.0:0.0)
1,moveGoal,(6833.5156:6375.836),(0.18148887:-7.497804)
2,moveGoal,(6829.535:6369.4795),(-3.9806097:-6.3564734)
3,moveGoal,(6828.5186:6362.049),(-1.0165411:-7.4307904)
4,moveGoal,(6826.3965:6354.8555),(-2.1220808:-7.1935234)
5,moveGoal,(6823.528:6347.926),(-2.8684578:-6.9297876)
6,moveGoal,(6821.8765:6340.61),(-1.6513401:-7.315947)
7,moveGoal,(6818.265:6334.0366),(-3.611474:-6.573222)
8,moveGoal,(6813.9375:6327.911),(-4.3276896:-6.1254473)
9,moveGoal,(6809.525:6321.8467),(-4.4125457:-6.064606)
10,moveGoal,(6805.481:6315.5303),(-4.0438976:-6.3163986)
11,moveGoal,(6801.1445:6309.411),(-4.3365865:-6.119152)
12,moveGoal,(6796.532:6303.497),(-4.6121006:-5.914265)
13,moveGoal,(6793.7656:6296.526),(-2.7667465:-6.9710197)
14,moveGoal,(6789.3267:6290.4805),(-4.4390454:-6.0452356)
15,moveGoal,(6786.171:6283.677),(-3.155571:-6.8038497)
16,moveGoal,(6782.6387:6277.0605),(-3.5324183:-6.6160426)
17,moveGoal,(6782.168:6269.575),(-0.47047365:-7.4852295)
18,moveGoal,(6779.037:6262.76),(-3.1307282:-6.815317)
19,moveGoal,(6777.3223:6255.4585),(-1.7148951:-7.3013105)
20,moveGoal,(6775.4697:6248.191),(-1.8523146:-7.2676635)
21,moveGoal,(6774.939:6240.71),(-0.5308226:-7.481192)
22,moveGoal,(6775.0635:6233.211),(0.12429232:-7.49897)
23,moveGoal,(6775.596:6225.73),(0.5327947:-7.4810514)
24,moveGoal,(6775.3945:6218.233),(-0.20142798:-7.497295)
25,moveGoal,(6773.4126:6210.9995),(-1.9818447:-7.233415)
26,moveGoal,(6769.6704:6204.5),(-3.7422118:-6.499681)
27,moveGoal,(6765.135:6198.527),(-4.535685:-5.973069)
28,moveGoal,(6764.1924:6191.0864),(-0.9423235:-7.4405665)
29,moveGoal,(6761.741:6183.998),(-2.4509299:-7.0882254)
30,moveGoal,(6755.8325:6179.379),(-5.9088364:-4.619054)
31,moveGoal,(6753.419:6172.278),(-2.4134436:-7.101077)
32,moveGoal,(6749.525:6165.868),(-3.8941548:-6.409802)
33,moveGoal,(6744.54:6160.2646),(-4.984991:-5.603559)
34,moveGoal,(6741.4873:6153.414),(-3.0527194:-6.8506136)
35,moveGoal,(6735.6553:6148.698),(-5.8320684:-4.715611)
36,moveGoal,(6732.558:6141.8677),(-3.0971522:-6.8306403)
37,moveGoal,(6726.162:6137.951),(-6.3962274:-3.9164119)
38,moveGoal,(6721.377:6132.1763),(-4.785241:-5.775073)
39,moveGoal,(6717.214:6125.9375),(-4.1629395:-6.238585)
40,moveGoal,(6719.9165:6118.9414),(2.7026386:-6.996124)
41,moveGoal,(6713.401:6115.227),(-6.5156493:-3.7143393)
42,moveGoal,(6706.995:6111.326),(-6.405654:-3.9009743)
43,moveGoal,(6701.329:6106.412),(-5.6659875:-4.913918)
44,moveGoal,(6696.7627:6100.4624),(-4.5664296:-5.949599)
45,moveGoal,(6691.096:6095.549),(-5.6664023:-4.9134398)
46,moveGoal,(6685.069:6091.0854),(-6.027359:-4.4632893)
47,moveGoal,(6679.8354:6085.7134),(-5.2334433:-5.37225)
48,moveGoal,(6675.641:6079.496),(-4.1943965:-6.2174788)
49,moveGoal,(6669.517:6075.1665),(-6.1242647:-4.329363)
50,moveGoal,(6665.0073:6069.174),(-4.509618:-5.992774)
