step,tag,position,velocity
0,moveGoal,(4122.2227:8500.001),(0.0:0.0)
1,moveGoal,(4126.0854:8493.572),(3.8626108:-6.428859)
2,moveGoal,(4133.438:8495.052),(7.352692:1.4791613)
3,moveGoal,(4139.4805:8499.494),(6.0426006:4.442632)
4,moveGoal,(4143.8857:8505.564),(4.4052134:6.069934)
5,moveGoal,(4151.2974:8506.712),(7.411739:1.1472291)
6,moveGoal,(4149.418:8513.973),(-1.8794274:7.2606993)
7,moveGoal,(4156.112:8510.59),(6.693647:-3.3830597)
8,moveGoal,(4148.617:8510.871),(-7.494717:0.28145608)
9,moveGoal,(4148.047:8503.393),(-0.570131:-7.478299)
10,moveGoal,(4140.547:8503.433),(-7.499895:0.039716274)
11,moveGoal,(4133.234:8505.098),(-7.3127995:1.6652219)
12,moveGoal,(4140.6675:8506.093),(7.43374:0.99474216)
13,moveGoal,(4146.2383:8511.114),(5.5705814:5.0218143)
14,moveGoal,(4153.229:8513.831),(6.990776:2.716442)
15,moveGoal,(4157.856:8519.733),(4.626837:5.9027433)
16,moveGoal,(4161.2485:8513.045),(3.392564:-6.6888347)
17,moveGoal,(4165.8184:8507.098),(4.569953:-5.9468923)
18,moveGoal,(4160.665:8512.547),(-5.1531777:5.4492903)
19,moveGoal,(4158.1675:8519.619),(-2.4975214:7.071944)
20,moveGoal,(4160.129:8512.38),(1.9612594:-7.2390237)
21,moveGoal,(4154.29:8517.087),(-5.8386316:4.7074814)
22,moveGoal,(4151.218:8523.929),(-3.0721729:6.841912)
23,moveGoal,(4157.236:8519.453),(6.0181155:-4.4757447)
24,moveGoal,(4150.37:8516.435),(-6.8658977:-3.0181873)
25,moveGoal,(4151.981:8509.109),(1.611018:-7.3249316)
26,moveGoal,(4149.5625:8502.01),(-2.4182146:-7.0994534)
27,moveGoal,(4152.415:8495.073),(2.8523915:-6.936416)
28,moveGoal,(4158.352:8490.49),(5.936962:-4.582847)
29,moveGoal,(4156.55:8483.21),(-1.8021663:-7.280261)
30,moveGoal,(4157.211:8475.739),(0.6609354:-7.4708214)
31,moveGoal,(4161.44:8469.545),(4.228916:-6.1940513)
32,moveGoal,(4154.1836:8471.441),(-7.2561793:1.8968039)
33,moveGoal,(4155.0596:8463.993),(0.8760447:-7.448661)
34,moveGoal,(4154.313:8456.53),(-0.74671024:-7.4627357)
35,moveGoal,(4153.453:8449.08),(-0.8596808:-7.450567)
36,moveGoal,(4152.28:8441.673),(-1.1731035:-7.407687)
37,moveGoal,(4150.7407:8434.332),(-1.5389727:-7.3404064)
38,moveGoal,(4149.2183:8426.988),(-1.5225581:-7.3438287)
39,moveGoal,(4147.8276:8419.618),(-1.3907315:-7.36993)
40,moveGoal,(4146.498:8412.237),(-1.3293912:-7.3812413)
41,moveGoal,(4145.0884:8404.871),(-1.4097846:-7.3663087)
42,moveGoal,(4142.9004:8397.697),(-2.187779:-7.1738153)
43,moveGoal,(4140.829:8390.489),(-2.0713806:-7.2082863)
44,moveGoal,(4139.4116:8383.124),(-1.4173956:-7.3648486)
45,moveGoal,(4137.226:8375.949),(-2.1853976:-7.174541)
46,moveGoal,(4135.702:8368.605),(-1.5241234:-7.343504)
47,moveGoal,(4133.5664:8361.416),(-2.1355598:-7.189533)
48,moveGoal,(4131.507:8354.204),(-2.059687:-7.2116356)
49,moveGoal,(4130.1333:8346.831),(-1.3734343:-7.373173)
50,moveGoal,(4128.7075:8339.468),(-1.4259287:-7.363201)
51,moveGoal,(4127.181:8332.125),(-1.5262163:-7.343069)
52,moveGoal,(4125.5156:8324.8125),(-1.6653812:-7.3127637)
53,moveGoal,(4123.8247:8317.506),(-1.6911477:-7.3068476)
