step,tag,position,velocity
0,moveGoal,(4122.2227:8533.334),(0.0:0.0)
1,moveGoal,(4114.7236:8533.461),(-7.4989295:0.1267374)
2,moveGoal,(4107.3174:8534.644),(-7.406191:1.182517)
3,moveGoal,(4100.06:8536.535),(-7.257535:1.8916107)
4,moveGoal,(4092.9897:8539.037),(-7.0703616:2.5019965)
5,moveGoal,(4085.5635:8540.086),(-7.4262714:1.0490458)
6,moveGoal,(4088.8735:8546.816),(3.3100553:6.7300467)
7,moveGoal,(4092.083:8553.595),(3.209479:6.7785873)
8,moveGoal,(4096.3193:8547.405),(4.236183:-6.1890836)
9,moveGoal,(4094.039:8554.55),(-2.2802052:7.1449747)
10,moveGoal,(4087.5842:8558.369),(-6.4548755:3.818977)
11,moveGoal,(4094.8342:8560.289),(7.2500668:1.9200351)
12,moveGoal,(4087.335:8560.398),(-7.499197:0.109755255)
13,moveGoal,(4088.0972:8567.859),(0.76217306:7.461172)
14,moveGoal,(4080.959:8565.558),(-7.138199:-2.30133)
15,moveGoal,(4077.9148:8572.412),(-3.0442717:6.854372)
16,moveGoal,(4076.1694:8565.118),(-1.74545:-7.2940664)
17,moveGoal,(4072.0935:8571.414),(-4.0759664:6.2957525)
18,moveGoal,(4067.9211:8577.646),(-4.1723194:6.232315)
19,moveGoal,(4063.7373:8583.871),(-4.183839:6.2245884)
20,moveGoal,(4059.0571:8589.731),(-4.6802773:5.8604617)
21,moveGoal,(4059.4907:8582.244),(0.43351877:-7.4874606)
22,moveGoal,(4052.1877:8580.536),(-7.302872:-1.7082326)
23,moveGoal,(4045.2322:8583.342),(-6.955515:2.805497)
24,moveGoal,(4043.3843:8576.073),(-1.8479246:-7.268781)
25,moveGoal,(4037.897:8570.961),(-5.4873633:-5.1126165)
26,moveGoal,(4036.96:8563.52),(-0.93705964:-7.441231)
27,moveGoal,(4041.4443:8557.508),(4.484352:-6.011704)
28,moveGoal,(4033.9563:8557.933),(-7.4879675:0.42467207)
29,moveGoal,(4033.7847:8550.435),(-0.17157046:-7.4980373)
30,moveGoal,(4028.7554:8544.871),(-5.0293617:-5.5637684)
31,moveGoal,(4028.135:8537.396),(-0.6203782:-7.474298)
32,moveGoal,(4026.7764:8530.0205),(-1.3585372:-7.3759327)
33,moveGoal,(4022.892:8523.6045),(-3.8841677:-6.4158587)
34,moveGoal,(4021.4434:8516.246),(-1.4486877:-7.358757)
35,moveGoal,(4019.4148:8509.025),(-2.0286117:-7.220439)
36,moveGoal,(4015.261:8502.781),(-4.1538844:-6.2446175)
37,moveGoal,(4013.8093:8495.423),(-1.4517567:-7.3581524)
38,moveGoal,(4009.8696:8489.041),(-3.9397523:-6.381877)
39,moveGoal,(4008.178:8481.734),(-1.6915404:-7.3067565)
40,moveGoal,(4004.145:8475.411),(-4.0330386:-6.3233376)
41,moveGoal,(4001.5752:8468.365),(-2.5699432:-7.045949)
42,moveGoal,(4000.1807:8460.996),(-1.3946314:-7.369193)
43,moveGoal,(3997.223:8454.104),(-2.9578786:-6.8920937)
44,moveGoal,(3993.3777:8447.664),(-3.8451054:-6.439345)
45,moveGoal,(3991.656:8440.364),(-1.7217232:-7.2997036)
46,moveGoal,(3989.247:8433.262),(-2.408902:-7.1026187)
47,moveGoal,(3987.3003:8426.019),(-1.9467496:-7.2429395)
48,moveGoal,(3985.241:8418.807),(-2.059377:-7.2117248)
49,moveGoal,(3983.407:8411.534),(-1.8339164:-7.272328)
50,moveGoal,(3979.6794:8405.026),(-3.7276607:-6.508037)
