step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8426.174:3147.7673),(-7.1599107:-2.2328637)
2,moveGoal,(8418.705:3147.081),(-7.4685383:-0.68625355)
3,moveGoal,(8411.412:3145.3315),(-7.29309:-1.7495259)
4,moveGoal,(8403.966:3144.436),(-7.4463606:-0.89538586)
5,moveGoal,(8400.866:3151.2654),(-3.0999727:6.829361)
6,moveGoal,(8397.558:3144.5344),(-3.3082392:-6.73094)
7,moveGoal,(8398.087:3152.0156),(0.5291467:7.4813104)
8,moveGoal,(8395.649:3144.9226),(-2.4373407:-7.09291)
9,moveGoal,(8388.195:3145.752),(-7.454011:0.8292889)
10,moveGoal,(8380.695:3145.7744),(-7.4999666:0.022536354)
11,moveGoal,(8376.934:3139.2861),(-3.762019:-6.488237)
12,moveGoal,(8370.605:3135.2603),(-6.3278766:-4.0259132)
13,moveGoal,(8363.393:3133.2036),(-7.2125096:-2.0566242)
14,moveGoal,(8370.708:3131.551),(7.3156714:-1.6525594)
15,moveGoal,(8363.579:3133.8804),(-7.1290865:2.3294048)
16,moveGoal,(8356.282:3135.6147),(-7.2967024:1.734399)
17,moveGoal,(8350.196:3139.9978),(-6.085992:4.383002)
18,moveGoal,(8352.213:3132.7742),(2.016957:-7.223703)
19,moveGoal,(8346.218:3128.2676),(-5.995009:-4.5066476)
20,moveGoal,(8339.292:3125.3892),(-6.9256816:-2.8783565)
21,moveGoal,(8331.906:3124.0833),(-7.385448:-1.3058197)
22,moveGoal,(8325.791:3119.7407),(-6.1148663:-4.3426275)
23,moveGoal,(8318.324:3119.031),(-7.466345:-0.7097121)
24,moveGoal,(8324.825:3115.291),(6.5009966:-3.7399259)
25,moveGoal,(8318.742:3119.6787),(-6.0825877:4.3877254)
26,moveGoal,(8312.609:3123.9963),(-6.1326013:4.3175454)
27,moveGoal,(8305.779:3127.0938),(-6.830537:3.0973814)
28,moveGoal,(8298.371:3128.265),(-7.4080005:1.1711239)
29,moveGoal,(8292.173:3124.0425),(-6.198471:-4.2224355)
30,moveGoal,(8290.407:3116.7534),(-1.7659619:-7.2891273)
31,moveGoal,(8284.495:3121.3684),(-5.9120345:4.61496)
32,moveGoal,(8277.327:3123.5757),(-7.1678386:2.2072818)
33,moveGoal,(8269.827:3123.535),(-7.499889:-0.040892664)
34,moveGoal,(8263.432:3119.6172),(-6.3954954:-3.9176064)
35,moveGoal,(8256.471:3116.826),(-6.961286:-2.7911465)
36,moveGoal,(8250.076:3120.7456),(-6.3942485:3.9196408)
37,moveGoal,(8242.608:3120.0525),(-7.4679017:-0.6931428)
38,moveGoal,(8236.756:3115.3618),(-5.852223:-4.690574)
39,moveGoal,(8236.458:3107.8677),(-0.2983176:-7.494065)
40,moveGoal,(8228.981:3108.466),(-7.4760885:0.59841144)
41,moveGoal,(8225.406:3101.8728),(-3.5749493:-6.5931582)
42,moveGoal,(8218.734:3098.4473),(-6.671984:-3.4255843)
43,moveGoal,(8222.441:3104.9673),(3.7066667:6.520017)
44,moveGoal,(8218.831:3098.3936),(-3.610714:-6.57364)
45,moveGoal,(8222.122:3091.6543),(3.2910633:-6.7393546)
46,moveGoal,(8218.029:3097.9392),(-4.0927157:6.2848773)
47,moveGoal,(8221.882:3091.504),(3.852063:-6.4351854)
48,moveGoal,(8215.744:3095.8147),(-6.1373987:4.3107243)
49,moveGoal,(8218.174:3088.719),(2.4294026:-7.095633)
50,moveGoal,(8219.952:3081.4329),(1.7783409:-7.286117)
51,moveGoal,(8212.707:3083.372),(-7.2449846:1.9391242)
52,moveGoal,(8216.727:3077.04),(4.019496:-6.331955)
53,moveGoal,(8213.044:3083.5735),(-3.6828887:6.5334783)
54,moveGoal,(8212.795:3076.0776),(-0.24951144:-7.4958487)
55,moveGoal,(8209.206:3082.6636),(-3.5884185:6.5858374)
56,moveGoal,(8202.08:3080.3232),(-7.125519:-2.3402958)
57,moveGoal,(8208.589:3084.0493),(6.5089483:3.7260695)
58,moveGoal,(8209.006:3076.561),(0.41705066:-7.4883957)
59,moveGoal,(8211.702:3069.5625),(2.6963136:-6.998564)
60,moveGoal,(8218.241:3073.2356),(6.5389323:3.6731954)
61,moveGoal,(8210.8:3072.3025),(-7.441714:-0.9332224)
62,moveGoal,(8208.7295:3065.0938),(-2.0701773:-7.2086315)
63,moveGoal,(8204.677:3071.4045),(-4.052479:6.310897)
64,moveGoal,(8210.16:3066.287),(5.4829364:-5.1173635)
65,moveGoal,(8202.844:3067.9358),(-7.3165503:1.6486641)
66,moveGoal,(8207.354:3061.9429),(4.509469:-5.992887)
67,moveGoal,(8207.863:3069.4255),(0.51017344:7.4826283)
68,moveGoal,(8208.993:3062.0112),(1.1300942:-7.4143705)
69,moveGoal,(8201.611:3060.6833),(-7.381502:-1.3279408)
70,moveGoal,(8199.014:3053.6475),(-2.5972736:-7.03592)
71,moveGoal,(8197.679:3046.2673),(-1.334932:-7.3802414)
72,moveGoal,(8199.516:3053.5388),(1.8370254:7.2715435)
73,moveGoal,(8195.526:3047.188),(-3.9894304:-6.35094)
74,moveGoal,(8188.327:3049.2905),(-7.1992297:2.1026402)
75,moveGoal,(8182.6675:3044.3691),(-5.659474:-4.9214177)
76,moveGoal,(8177.8403:3050.1091),(-4.8272095:5.7400393)
77,moveGoal,(8174.6387:3043.327),(-3.2017589:-6.782237)
78,moveGoal,(8169.2256:3048.5183),(-5.412848:5.1914434)
79,moveGoal,(8173.1274:3042.113),(3.9017358:-6.4051905)
80,moveGoal,(8165.9775:3039.8477),(-7.1496897:-2.2653778)
81,moveGoal,(8173.322:3041.3682),(7.3442655:1.5204507)
82,moveGoal,(8166.488:3044.4585),(-6.8337774:3.0902252)
83,moveGoal,(8173.85:3043.0276),(7.362239:-1.4308879)
84,moveGoal,(8166.9985:3039.9768),(-6.8514795:-3.050775)
85,moveGoal,(8168.0015:3032.5442),(1.0031685:-7.4326077)
86,moveGoal,(8172.9717:3038.161),(4.9701514:5.616725)
87,moveGoal,(8166.7534:3033.9678),(-6.2182736:-4.1932173)
88,moveGoal,(8172.3823:3038.924),(5.628893:4.9563665)
89,moveGoal,(8165.537:3035.8599),(-6.845443:-3.0642965)
90,moveGoal,(8172.7637:3033.8533),(7.2266016:-2.006548)
91,moveGoal,(8165.7886:3031.0964),(-6.9749513:-2.75682)
92,moveGoal,(8173.2803:3030.7427),(7.4916525:-0.3537553)
93,moveGoal,(8165.793:3031.179),(-7.4872932:0.43639106)
94,moveGoal,(8173.293:3031.2202),(7.499886:0.041373696)
95,moveGoal,(8170.8887:3024.116),(-2.404241:-7.104198)
96,moveGoal,(8177.2495:3028.0898),(6.3607516:3.9737687)
97,moveGoal,(8171.5854:3023.1738),(-5.6642632:-4.915906)
98,moveGoal,(8174.364:3016.2073),(2.778151:-6.966482)
99,moveGoal,(8168.313:3020.6387),(-6.0508814:4.4313464)
100,moveGoal,(8175.0874:3017.4204),(6.77439:-3.2183287)
101,moveGoal,(8167.6006:3016.977),(-7.48688:-0.44343323)
102,moveGoal,(8174.958:3015.5227),(7.357662:-1.4542379)
103,moveGoal,(8170.429:3009.5444),(-4.528865:-5.9782424)
104,moveGoal,(8170.429:3017.0444),(-0.0:7.5)
105,moveGoal,(8176.326:3012.4102),(5.896901:-4.634281)
106,moveGoal,(8168.843:3012.906),(-7.4835877:0.49590296)
107,moveGoal,(8174.2485:3007.707),(5.405645:-5.198942)
108,moveGoal,(8166.808:3006.7646),(-7.4405518:-0.94244343)
109,moveGoal,(8174.303:3006.4946),(7.4951415:-0.26992324)
110,moveGoal,(8167.0117:3008.2512),(-7.291417:1.7564851)
111,moveGoal,(8174.4805:3007.5674),(7.4687643:-0.6837873)
112,moveGoal,(8167.538:3004.7295),(-6.9423304:-2.8379662)
113,moveGoal,(8174.929:3003.4556),(7.3910065:-1.2739784)
114,moveGoal,(8167.727:3001.3635),(-7.2022953:-2.0921152)
115,moveGoal,(8174.0205:2997.2842),(6.293626:-4.0792494)
116,moveGoal,(8167.6113:3001.1794),(-6.409168:3.8951988)
