step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8439.806:3153.7903),(6.471958:3.7899551)
2,moveGoal,(8433.724:3158.1794),(-6.081634:4.3890467)
3,moveGoal,(8429.939:3164.6548),(-3.7841234:6.4753695)
4,moveGoal,(8437.307:3163.2512),(7.3675137:-1.4034758)
5,moveGoal,(8433.175:3156.9922),(-4.1320724:-6.2590714)
6,moveGoal,(8435.77:3149.955),(2.5943294:-7.0370064)
7,moveGoal,(8430.389:3144.73),(-5.3804064:-5.225058)
8,moveGoal,(8426.25:3138.4756),(-4.1390076:-6.2544875)
9,moveGoal,(8427.028:3131.016),(0.77867967:-7.459468)
10,moveGoal,(8432.598:3136.0393),(5.569443:5.0230765)
11,moveGoal,(8440.0625:3135.313),(7.464759:-0.7262069)
12,moveGoal,(8444.031:3141.6768),(3.9689684:6.3637486)
13,moveGoal,(8443.116:3149.1206),(-0.9153885:7.4439282)
14,moveGoal,(8447.61:3155.1248),(4.494307:6.004266)
15,moveGoal,(8454.307:3158.5017),(6.6967106:3.376991)
16,moveGoal,(8452.101:3165.67),(-2.2058852:7.168268)
17,moveGoal,(8459.035:3162.8137),(6.9348803:-2.856123)
18,moveGoal,(8451.568:3162.1108),(-7.4669814:-0.70298713)
19,moveGoal,(8459.043:3161.4954),(7.4747105:-0.6153921)
20,moveGoal,(8454.729:3167.63),(-4.3147945:6.1345377)
21,moveGoal,(8461.849:3165.2742),(7.120407:-2.355803)
22,moveGoal,(8463.099:3172.6692),(1.2499288:7.3951116)
23,moveGoal,(8470.548:3171.7954),(7.448937:-0.873693)
24,moveGoal,(8477.928:3173.1326),(7.3798585:1.3370463)
25,moveGoal,(8470.646:3171.3325),(-7.280773:-1.8000952)
26,moveGoal,(8476.422:3176.1174),(5.7752857:4.7849846)
27,moveGoal,(8469.277:3178.398),(-7.1448855:2.2804856)
28,moveGoal,(8468.662:3170.923),(-0.6148662:-7.474754)
29,moveGoal,(8461.718:3168.0889),(-6.943906:-2.8341098)
30,moveGoal,(8456.07:3163.1533),(-5.647091:-4.935622)
31,moveGoal,(8451.74:3157.0298),(-4.3303227:-6.123586)
32,moveGoal,(8445.122:3153.5012),(-6.618089:-3.528583)
33,moveGoal,(8439.079:3157.9429),(-6.043379:4.441573)
34,moveGoal,(8432.37:3154.591),(-6.7093825:-3.3517437)
35,moveGoal,(8425.544:3151.484),(-6.8261194:-3.1071043)
36,moveGoal,(8419.597:3146.9146),(-5.947425:-4.56926)
37,moveGoal,(8425.323:3151.7583),(5.726125:4.843707)
38,moveGoal,(8418.211:3149.3792),(-7.11261:-2.3792403)
39,moveGoal,(8411.212:3146.6838),(-6.9989023:-2.6954343)
40,moveGoal,(8410.127:3139.2627),(-1.084514:-7.4211745)
41,moveGoal,(8414.73:3133.342),(4.603866:-5.920677)
42,moveGoal,(8407.898:3130.2483),(-6.8321376:-3.093849)
43,moveGoal,(8400.757:3127.9578),(-7.1416707:-2.2905324)
44,moveGoal,(8394.049:3124.6028),(-6.7077107:-3.3550887)
45,moveGoal,(8390.498:3117.9966),(-3.5509973:-6.60609)
46,moveGoal,(8383.331:3115.7854),(-7.1666684:-2.2110786)
47,moveGoal,(8375.835:3116.0417),(-7.495615:0.2564357)
48,moveGoal,(8370.779:3121.582),(-5.0552254:5.54028)
49,moveGoal,(8369.882:3129.028),(-0.897498:7.4461064)
50,moveGoal,(8365.001:3123.334),(-4.8812532:-5.694152)
51,moveGoal,(8360.961:3117.0151),(-4.039929:-6.3189373)
52,moveGoal,(8360.203:3124.4768),(-0.7574694:7.4616513)
53,moveGoal,(8354.787:3119.2888),(-5.416088:-5.188062)
54,moveGoal,(8360.512:3114.4429),(5.7241726:-4.846014)
