step,tag,position,velocity
0,moveGoal,(6833.334:6400.0005),(0.0:0.0)
1,moveGoal,(6837.1724:6406.444),(3.8382568:6.44343)
2,moveGoal,(6842.3296:6411.889),(5.1572046:5.4454794)
3,moveGoal,(6849.011:6415.296),(6.6815357:3.4069173)
4,moveGoal,(6856.0264:6417.9487),(7.015131:2.6529121)
5,moveGoal,(6849.25:6421.163),(-6.7763796:3.2141373)
6,moveGoal,(6851.5493:6428.302),(2.2991729:7.1388936)
7,moveGoal,(6853.6294:6435.5073),(2.0802727:7.2057247)
8,moveGoal,(6848.5615:6429.9785),(-5.06767:-5.5288987)
9,moveGoal,(6855.8994:6431.5303),(7.3376875:1.551883)
10,moveGoal,(6863.3994:6431.519),(7.4999914:-0.011293561)
11,moveGoal,(6856.191:6429.449),(-7.208729:-2.069839)
12,moveGoal,(6863.1987:6426.7773),(7.0078897:-2.6719813)
13,moveGoal,(6870.698:6426.848),(7.499666:0.070803374)
14,moveGoal,(6878.1016:6425.6465),(7.4030924:-1.2017599)
15,moveGoal,(6880.3843:6432.7905),(2.2828698:7.144124)
16,moveGoal,(6872.886:6432.9556),(-7.4981875:0.16487871)
17,moveGoal,(6865.3867:6432.8574),(-7.4993577:-0.09815704)
18,moveGoal,(6872.767:6434.193),(7.3801756:1.3352946)
19,moveGoal,(6879.8467:6436.6685),(7.0796595:2.4755661)
20,moveGoal,(6885.2725:6441.846),(5.4258:5.177905)
21,moveGoal,(6887.8677:6434.8096),(2.5950437:-7.0367427)
22,moveGoal,(6889.613:6442.1035),(1.7453241:7.2940965)
23,moveGoal,(6895.9536:6446.1094),(6.3406477:4.0057697)
24,moveGoal,(6896.912:6438.671),(0.9584017:-7.438513)
25,moveGoal,(6899.059:6445.857),(2.1467412:7.1862025)
26,moveGoal,(6899.8916:6438.4033),(0.83245707:-7.4536576)
27,moveGoal,(6897.987:6431.1494),(-1.9047061:-7.2541084)
28,moveGoal,(6892.3574:6426.194),(-5.6295652:-4.955603)
29,moveGoal,(6899.812:6427.0195),(7.4543977:0.82580864)
30,moveGoal,(6892.9727:6423.9414),(-6.8391333:-3.0783532)
31,moveGoal,(6889.1987:6417.4604),(-3.7741628:-6.48118)
32,moveGoal,(6885.7793:6410.785),(-3.4193962:-6.6751575)
33,moveGoal,(6882.406:6404.087),(-3.373586:-6.6984267)
34,moveGoal,(6887.83:6398.907),(5.4241385:-5.179645)
35,moveGoal,(6881.7886:6394.463),(-6.041354:-4.444327)
36,moveGoal,(6877.274:6388.474),(-4.5148:-5.988871)
37,moveGoal,(6874.1255:6381.667),(-3.14867:-6.8070464)
38,moveGoal,(6868.7144:6376.474),(-5.4113536:-5.193001)
39,moveGoal,(6863.852:6370.7637),(-4.8622923:-5.7103515)
40,moveGoal,(6858.741:6365.2744),(-5.11075:-5.489102)
