step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8440.815:3149.4702),(7.4812493:-0.5300093)
2,moveGoal,(8448.304:3149.883),(7.488631:0.4128117)
3,moveGoal,(8455.788:3150.364),(7.4845624:0.48096216)
4,moveGoal,(8463.25:3151.1155),(7.462257:0.75147974)
5,moveGoal,(8470.406:3153.359),(7.156641:2.2433217)
6,moveGoal,(8476.619:3157.5593),(6.21334:4.2005258)
7,moveGoal,(8483.152:3161.243),(6.5330887:3.6835794)
8,moveGoal,(8489.169:3165.7205),(6.0168605:4.477432)
9,moveGoal,(8495.651:3169.4924),(6.482474:3.7719405)
10,moveGoal,(8498.96:3176.2234),(3.3083348:6.730893)
11,moveGoal,(8505.943:3178.958),(6.9837146:2.734544)
12,moveGoal,(8512.945:3181.6443),(7.0024176:2.686289)
13,moveGoal,(8517.255:3187.7825),(4.309723:6.138101)
14,moveGoal,(8524.379:3190.1284),(7.1236486:2.3459835)
15,moveGoal,(8531.256:3193.122),(6.8766055:2.99371)
16,moveGoal,(8538.505:3195.0447),(7.24936:1.9227015)
17,moveGoal,(8545.986:3195.568),(7.4817142:0.52340233)
18,moveGoal,(8552.92:3198.428),(6.9333577:2.8598168)
19,moveGoal,(8559.054:3202.7441),(6.1335006:4.316268)
20,moveGoal,(8565.454:3198.8352),(6.4007864:-3.9089563)
21,moveGoal,(8571.432:3203.3652),(5.9773073:4.5301)
22,moveGoal,(8577.57:3207.6736),(6.1391087:4.3082876)
23,moveGoal,(8584.185:3211.2092),(6.614283:3.5357118)
24,moveGoal,(8590.442:3215.3433),(6.257775:4.134036)
25,moveGoal,(8597.571:3217.6733),(7.128862:2.3300917)
26,moveGoal,(8603.668:3222.0408),(6.097111:4.367521)
27,moveGoal,(8599.232:3228.0884),(-4.4356875:6.0477004)
28,moveGoal,(8591.991:3226.1338),(-7.2408223:-1.9546093)
29,moveGoal,(8596.816:3231.8755),(4.8250933:5.7418184)
30,moveGoal,(8589.691:3229.5322),(-7.124547:-2.3432517)
31,moveGoal,(8592.195:3236.602),(2.5038538:7.0697045)
32,moveGoal,(8585.044:3234.3418),(-7.1512938:-2.26031)
33,moveGoal,(8577.846:3232.235),(-7.1980677:-2.1066136)
34,moveGoal,(8570.683:3230.013),(-7.1632195:-2.2222261)
35,moveGoal,(8563.541:3227.721),(-7.14118:-2.2920618)
36,moveGoal,(8556.331:3225.655),(-7.209886:-2.065803)
37,moveGoal,(8549.123:3223.5842),(-7.208472:-2.070734)
38,moveGoal,(8541.922:3221.488),(-7.2011013:-2.0962212)
39,moveGoal,(8544.63:3228.4822),(2.7080083:6.9940467)
40,moveGoal,(8537.381:3226.5579),(-7.248919:-1.9243636)
41,moveGoal,(8530.122:3224.6707),(-7.258669:-1.8872539)
42,moveGoal,(8523.228:3227.6223),(-6.8947663:2.951644)
43,moveGoal,(8522.691:3235.1033),(-0.5357736:7.480839)
44,moveGoal,(8515.519:3232.9114),(-7.1725674:-2.1918654)
45,moveGoal,(8508.265:3231.0063),(-7.254029:-1.9050112)
46,moveGoal,(8500.981:3229.2156),(-7.283049:-1.7908659)
47,moveGoal,(8493.49:3229.5767),(-7.4913077:0.36098206)
48,moveGoal,(8486.259:3227.5864),(-7.23111:-1.9902395)
49,moveGoal,(8478.815:3226.6646),(-7.443121:-0.9219284)
50,moveGoal,(8471.413:3225.4583),(-7.402349:-1.2063316)
51,moveGoal,(8464.011:3224.2495),(-7.401936:-1.2088588)
52,moveGoal,(8456.592:3223.148),(-7.418654:-1.1016245)
53,moveGoal,(8449.153:3222.1904),(-7.438623:-0.957542)
54,moveGoal,(8449.501:3229.6824),(0.34736583:7.4919515)
55,moveGoal,(8442.005:3229.4316),(-7.495805:-0.25081262)
56,moveGoal,(8434.766:3231.392),(-7.239249:1.9604266)
57,moveGoal,(8427.37:3230.1465),(-7.3958297:-1.2456744)
58,moveGoal,(8420.113:3228.2517),(-7.25672:-1.8947339)
59,moveGoal,(8412.905:3226.1802),(-7.2082367:-2.0715513)
60,moveGoal,(8405.648:3224.286),(-7.256854:-1.8942207)
61,moveGoal,(8398.406:3222.3352),(-7.2418733:-1.9507109)
62,moveGoal,(8391.136:3220.4956),(-7.2709036:-1.8395561)
63,moveGoal,(8383.759:3219.1433),(-7.3770766:-1.3523086)
64,moveGoal,(8376.369:3217.8596),(-7.389343:-1.2835947)
65,moveGoal,(8369.259:3220.245),(-7.110524:2.385466)
66,moveGoal,(8361.82:3221.2063),(-7.4381523:0.9611926)
67,moveGoal,(8355.729:3225.5806),(-6.092224:4.374335)
68,moveGoal,(8353.395:3218.453),(-2.333552:-7.12773)
69,moveGoal,(8360.753:3219.9033),(7.358436:1.4503182)
70,moveGoal,(8353.632:3217.5503),(-7.121293:-2.353123)
71,moveGoal,(8346.612:3214.9077),(-7.0190697:-2.6424732)
72,moveGoal,(8354.008:3216.155),(7.3955646:1.2472477)
73,moveGoal,(8347.143:3213.1343),(-6.864798:-3.0206873)
74,moveGoal,(8341.099:3208.6934),(-6.0439405:-4.440809)
75,moveGoal,(8348.597:3208.877),(7.497755:0.18350582)
76,moveGoal,(8356.082:3208.4058),(7.485192:-0.4710701)
77,moveGoal,(8348.977:3206.0054),(-7.1054645:-2.4004948)
78,moveGoal,(8345.049:3199.6162),(-3.928038:-6.389094)
79,moveGoal,(8351.5:3195.7905),(6.450864:-3.8257487)
80,moveGoal,(8354.54:3188.9343),(3.0399995:-6.8562675)
81,moveGoal,(8360.318:3184.1526),(5.778057:-4.781637)
82,moveGoal,(8353.089:3182.157),(-7.2296314:-1.9956026)
83,moveGoal,(8345.606:3182.6763),(-7.4819937:0.5194058)
84,moveGoal,(8338.157:3181.8088),(-7.4496613:-0.86749566)
85,moveGoal,(8344.731:3178.199),(6.5740776:-3.6099176)
86,moveGoal,(8339.955:3183.9817),(-4.7761154:5.7826223)
87,moveGoal,(8344.667:3178.1467),(4.712141:-5.8348722)
88,moveGoal,(8339.727:3172.5042),(-4.940783:-5.642576)
89,moveGoal,(8339.576:3180.0027),(-0.15076119:7.4984846)
90,moveGoal,(8332.082:3179.7136),(-7.494429:-0.28902614)
91,moveGoal,(8324.944:3182.0176),(-7.137359:2.3039334)
92,moveGoal,(8329.479:3187.9915),(4.5346484:5.9738564)
93,moveGoal,(8336.397:3185.0962),(6.9186344:-2.895255)
94,moveGoal,(8329.377:3182.457),(-7.020271:-2.6392798)
95,moveGoal,(8323.24:3186.7688),(-6.136683:4.311743)
96,moveGoal,(8316.176:3189.2874),(-7.064453:2.5186312)
97,moveGoal,(8309.958:3185.0938),(-6.2180414:-4.1935625)
98,moveGoal,(8309.663:3192.588),(-0.2948629:7.494202)
99,moveGoal,(8302.363:3190.866),(-7.299646:-1.7219677)
100,moveGoal,(8295.254:3188.4775),(-7.1095667:-2.3883193)
101,moveGoal,(8300.103:3182.7554),(4.848415:-5.7221384)
102,moveGoal,(8292.704:3183.9836),(-7.398741:1.2282659)
103,moveGoal,(8298.849:3179.6833),(6.144699:-4.300311)
104,moveGoal,(8291.557:3181.4377),(-7.291893:1.7545102)
105,moveGoal,(8296.901:3176.1758),(5.344361:-5.2619205)
106,moveGoal,(8292.079:3181.9204),(-4.8218365:5.744553)
107,moveGoal,(8296.213:3175.662),(4.133344:-6.258232)
108,moveGoal,(8288.851:3174.2305),(-7.3621154:-1.4315225)
109,moveGoal,(8293.385:3168.256),(4.5341086:-5.9742665)
110,moveGoal,(8286.277:3170.6504),(-7.1075854:2.3942094)
111,moveGoal,(8291.674:3165.442),(5.396476:-5.2084594)
112,moveGoal,(8297.986:3161.391),(6.312045:-4.0506897)
113,moveGoal,(8290.529:3160.5881),(-7.4568806:-0.803081)
114,moveGoal,(8285.504:3166.1558),(-5.025093:5.567625)
115,moveGoal,(8293.002:3166.343),(7.4976606:0.18730827)
116,moveGoal,(8300.2705:3164.4932),(7.2683187:-1.8497424)
117,moveGoal,(8294.371:3159.8618),(-5.8992624:-4.6312747)
118,moveGoal,(8298.28:3166.2627),(3.908699:6.4009433)
119,moveGoal,(8305.158:3163.273),(6.8782926:-2.9898317)
120,moveGoal,(8299.784:3158.041),(-5.3736773:-5.231978)
121,moveGoal,(8304.55:3163.8323),(4.7655916:5.7912984)
122,moveGoal,(8297.215:3162.2668),(-7.334831:-1.5653281)
123,moveGoal,(8303.874:3158.8164),(6.6591163:-3.450532)
124,moveGoal,(8296.399:3158.2002),(-7.4746404:-0.61624604)
125,moveGoal,(8303.1455:3154.9224),(6.7458205:-3.27779)
126,moveGoal,(8297.711:3149.7534),(-5.434221:-5.169067)
