step,tag,position,velocity
0,moveGoal,(6833.334:6400.0005),(0.0:0.0)
1,moveGoal,(6839.859:6403.6987),(6.5249343:3.6980045)
2,moveGoal,(6847.346:6404.1333),(7.487397:0.4346112)
3,moveGoal,(6854.6387:6402.382),(7.2926474:-1.7513709)
4,moveGoal,(6861.752:6400.0044),(7.113259:-2.3772976)
5,moveGoal,(6869.207:6399.1826),(7.454864:-0.82158494)
6,moveGoal,(6873.3667:6392.942),(4.159539:-6.2408524)
7,moveGoal,(6880.189:6396.057),(6.8224535:3.115145)
8,moveGoal,(6887.548:6394.6084),(7.358764:-1.4486518)
9,moveGoal,(6895.0415:6394.297),(7.493523:-0.31163007)
10,moveGoal,(6902.5376:6394.0483),(7.495875:-0.24872515)
11,moveGoal,(6908.019:6388.9297),(5.4816375:-5.1187553)
12,moveGoal,(6915.155:6386.6206),(7.1357155:-2.309019)
13,moveGoal,(6921.9824:6383.517),(6.8278604:-3.1032774)
14,moveGoal,(6928.6274:6380.039),(6.6449223:-3.4777887)
15,moveGoal,(6935.338:6376.6895),(6.7104836:-3.3495383)
16,moveGoal,(6942.1084:6373.463),(6.770372:-3.2267735)
17,moveGoal,(6946.5854:6367.446),(4.476951:-6.017218)
18,moveGoal,(6953.5156:6370.3135),(6.9301324:2.8676233)
19,moveGoal,(6957.8574:6364.198),(4.3420043:-6.115309)
20,moveGoal,(6965.1846:6365.799),(7.327255:1.6004196)
21,moveGoal,(6972.469:6364.0137),(7.284487:-1.7850091)
22,moveGoal,(6979.4854:6361.364),(7.0162234:-2.6500206)
23,moveGoal,(6986.6963:6359.3022),(7.211113:-2.0615168)
24,moveGoal,(6990.7305:6352.9795),(4.03429:-6.3225393)
25,moveGoal,(6992.7344:6345.752),(2.003848:-7.22735)
26,moveGoal,(6993.619:6338.304),(0.8848656:-7.4476185)
27,moveGoal,(6994.048:6330.8164),(0.42847878:-7.487751)
28,moveGoal,(6994.253:6323.3193),(0.20484792:-7.497202)
29,moveGoal,(6994.2715:6315.8193),(0.01843717:-7.4999776)
30,moveGoal,(6990.183:6309.5317),(-4.088523:-6.2876053)
31,moveGoal,(6986.9526:6302.763),(-3.2304718:-6.7686076)
32,moveGoal,(6984.067:6295.8403),(-2.885564:-6.922682)
33,moveGoal,(6981.302:6288.8687),(-2.7649622:-6.971728)
34,moveGoal,(6984.1523:6281.9316),(2.8508084:-6.937067)
35,moveGoal,(6980.5083:6275.3765),(-3.6439865:-6.5552545)
36,moveGoal,(6976.7017:6268.9146),(-3.8066974:-6.462125)
37,moveGoal,(6972.8506:6262.4785),(-3.8509574:-6.435847)
38,moveGoal,(6969.414:6255.812),(-3.4365308:-6.6663527)
39,moveGoal,(6965.57:6249.372),(-3.8442984:-6.4398274)
40,moveGoal,(6961.53:6243.053),(-4.0398717:-6.318974)
41,moveGoal,(6957.355:6236.8228),(-4.174912:-6.230579)
42,moveGoal,(6953.0894:6230.654),(-4.2654495:-6.1689496)
43,moveGoal,(6948.82:6224.488),(-4.269632:-6.1660557)
44,moveGoal,(6943.793:6218.9214),(-5.026626:-5.5662403)
45,moveGoal,(6938.9053:6213.2324),(-4.887577:-5.6887255)
46,moveGoal,(6934.128:6207.4507),(-4.777415:-5.781549)
47,moveGoal,(6929.5767:6201.4893),(-4.551134:-5.961307)
48,moveGoal,(6924.9663:6195.573),(-4.6101184:-5.91581)
49,moveGoal,(6920.7993:6189.3374),(-4.167151:-6.2357726)
50,moveGoal,(6916.5537:6183.155),(-4.245846:-6.182459)
51,moveGoal,(6912.1953:6177.0513),(-4.3585505:-6.1035266)
52,moveGoal,(6907.7715:6170.995),(-4.4239383:-6.0563006)
53,moveGoal,(6903.2847:6164.9854),(-4.4868054:-6.009874)
54,moveGoal,(6898.827:6158.9536),(-4.457636:-6.031541)
55,moveGoal,(6894.399:6152.9004),(-4.428409:-6.0530324)
56,moveGoal,(6890.1934:6146.6904),(-4.205481:-6.209986)
57,moveGoal,(6886.1494:6140.374),(-4.044058:-6.316296)
58,moveGoal,(6882.253:6133.9653),(-3.8963757:-6.408452)
59,moveGoal,(6878.3057:6127.5884),(-3.947337:-6.3771887)
60,moveGoal,(6873.9004:6121.5186),(-4.405413:-6.0697894)
61,moveGoal,(6869.434:6115.493),(-4.466131:-6.0252533)
62,moveGoal,(6864.9126:6109.5093),(-4.5216093:-5.9837327)
63,moveGoal,(6860.3477:6103.5586),(-4.5649705:-5.9507184)
64,moveGoal,(6855.7554:6097.629),(-4.5921373:-5.929779)
65,moveGoal,(6851.1284:6091.7266),(-4.6271825:-5.9024725)
66,moveGoal,(6846.451:6085.864),(-4.6774654:-5.862705)
67,moveGoal,(6841.73:6080.036),(-4.720986:-5.827718)
68,moveGoal,(6836.968:6074.2417),(-4.76204:-5.794219)
69,moveGoal,(6832.1885:6068.462),(-4.7793283:-5.779967)
70,moveGoal,(6827.4536:6062.6455),(-4.7350574:-5.816291)
71,moveGoal,(6822.7065:6056.839),(-4.7469635:-5.8065777)
72,moveGoal,(6817.921:6051.0645),(-4.7858152:-5.7745976)
73,moveGoal,(6813.0996:6045.3193),(-4.8212237:-5.745067)
74,moveGoal,(6808.2593:6039.5903),(-4.8402185:-5.7290735)
75,moveGoal,(6803.411:6033.868),(-4.848303:-5.7222342)
76,moveGoal,(6798.5576:6028.1504),(-4.8537016:-5.717655)
77,moveGoal,(6793.685:6022.4487),(-4.8725333:-5.7016153)
78,moveGoal,(6788.804:6016.754),(-4.8807154:-5.6946135)
79,moveGoal,(6783.9243:6011.0586),(-4.880058:-5.695177)
80,moveGoal,(6779.0205:6005.384),(-4.903954:-5.6746135)
81,moveGoal,(6774.1177:5999.7085),(-4.9029784:-5.6754565)
82,moveGoal,(6769.2153:5994.032),(-4.902218:-5.6761136)
83,moveGoal,(6764.313:5988.3564),(-4.9023542:-5.675995)
84,moveGoal,(6759.396:5982.693),(-4.91698:-5.6633306)
85,moveGoal,(6754.4614:5977.045),(-4.9346843:-5.6479106)
86,moveGoal,(6749.537:5971.388),(-4.9245124:-5.656782)
87,moveGoal,(6744.5996:5965.7427),(-4.9376755:-5.6452956)
88,moveGoal,(6739.658:5960.1006),(-4.9413657:-5.6420655)
89,moveGoal,(6734.735:5954.443),(-4.9235797:-5.6575937)
90,moveGoal,(6729.829:5948.7695),(-4.905624:-5.67317)
91,moveGoal,(6724.931:5943.0894),(-4.8977547:-5.679964)
92,moveGoal,(6720.041:5937.403),(-4.890353:-5.6863384)
93,moveGoal,(6715.1265:5931.7373),(-4.9147:-5.6653085)
94,moveGoal,(6710.222:5926.063),(-4.904332:-5.6742864)
95,moveGoal,(6705.3022:5920.4023),(-4.919827:-5.660857)
96,moveGoal,(6700.3774:5914.7456),(-4.924737:-5.656586)
97,moveGoal,(6695.513:5909.0366),(-4.864035:-5.708867)
98,moveGoal,(6690.7026:5903.2827),(-4.8105836:-5.75398)
99,moveGoal,(6685.932:5897.495),(-4.7703686:-5.7873645)
100,moveGoal,(6681.1963:5891.6797),(-4.735988:-5.8155327)
101,moveGoal,(6676.4785:5885.8496),(-4.7179503:-5.8301754)
102,moveGoal,(6671.8667:5879.935),(-4.6119843:-5.914356)
103,moveGoal,(6667.2695:5874.0093),(-4.597153:-5.925891)
104,moveGoal,(6662.69:5868.07),(-4.5795345:-5.939517)
105,moveGoal,(6658.094:5862.1426),(-4.5957026:-5.927016)
106,moveGoal,(6653.465:5856.2417),(-4.6293173:-5.900799)
107,moveGoal,(6648.825:5850.349),(-4.639475:-5.892815)
108,moveGoal,(6644.172:5844.4673),(-4.653218:-5.8819695)
109,moveGoal,(6639.4766:5838.619),(-4.695374:-5.848373)
110,moveGoal,(6634.744:5832.801),(-4.7322493:-5.8185754)
111,moveGoal,(6629.991:5826.999),(-4.752967:-5.8016644)
112,moveGoal,(6625.225:5821.2085),(-4.7662764:-5.7907352)
113,moveGoal,(6620.448:5815.427),(-4.7769876:-5.7819023)
114,moveGoal,(6615.6475:5809.6646),(-4.8009033:-5.76206)
115,moveGoal,(6610.831:5803.9155),(-4.8165326:-5.7490015)
116,moveGoal,(6605.998:5798.1807),(-4.8332124:-5.734986)
117,moveGoal,(6601.139:5792.4673),(-4.8587255:-5.713387)
118,moveGoal,(6596.2534:5786.777),(-4.885638:-5.69039)
119,moveGoal,(6591.357:5781.096),(-4.8967023:-5.680872)
120,moveGoal,(6586.483:5775.3955),(-4.873797:-5.7005353)
121,moveGoal,(6581.7036:5769.615),(-4.7792344:-5.780045)
122,moveGoal,(6576.93:5763.8306),(-4.7735543:-5.7847366)
123,moveGoal,(6572.138:5758.061),(-4.792074:-5.769405)
124,moveGoal,(6567.314:5752.3184),(-4.8241696:-5.742594)
125,moveGoal,(6562.46:5746.601),(-4.854151:-5.717274)
126,moveGoal,(6557.588:5740.899),(-4.8721848:-5.7019134)
127,moveGoal,(6552.6997:5735.2104),(-4.8880725:-5.688299)
128,moveGoal,(6547.8057:5729.5273),(-4.8942003:-5.6830273)
129,moveGoal,(6542.897:5723.857),(-4.9087563:-5.6704597)
130,moveGoal,(6537.9707:5718.2017),(-4.9260387:-5.6554523)
131,moveGoal,(6533.0376:5712.5527),(-4.933289:-5.649129)
132,moveGoal,(6528.088:5706.918),(-4.9497876:-5.6346793)
133,moveGoal,(6523.131:5701.2896),(-4.957089:-5.628257)
134,moveGoal,(6518.1685:5695.666),(-4.962246:-5.6237106)
135,moveGoal,(6513.2124:5690.037),(-4.956181:-5.6290565)
136,moveGoal,(6508.2573:5684.407),(-4.9551053:-5.630003)
137,moveGoal,(6503.3037:5678.776),(-4.953521:-5.6313972)
138,moveGoal,(6498.339:5673.155),(-4.965072:-5.621216)
139,moveGoal,(6493.369:5667.5376),(-4.9699016:-5.6169457)
140,moveGoal,(6488.369:5661.9473),(-4.9998503:-5.590304)
141,moveGoal,(6483.3516:5656.373),(-5.017516:-5.5744534)
142,moveGoal,(6478.33:5650.8022),(-5.021312:-5.571035)
143,moveGoal,(6473.3086:5645.2314),(-5.02145:-5.57091)
144,moveGoal,(6468.292:5639.6562),(-5.0166745:-5.575211)
145,moveGoal,(6463.2793:5634.077),(-5.0126038:-5.578871)
146,moveGoal,(6458.2593:5628.505),(-5.0201855:-5.5720496)
147,moveGoal,(6453.2305:5622.941),(-5.0290475:-5.5640526)
148,moveGoal,(6448.2026:5617.376),(-5.0279155:-5.5650754)
149,moveGoal,(6443.175:5611.8105),(-5.02778:-5.5651975)
150,moveGoal,(6438.15:5606.243),(-5.0251107:-5.5676084)
151,moveGoal,(6433.1235:5600.677),(-5.0265136:-5.566342)
