step,tag,position,velocity
0,moveGoal,(4122.2227:8500.001),(0.0:0.0)
1,moveGoal,(4123.1274:8492.556),(0.90501326:-7.4451966)
2,moveGoal,(4127.1113:8486.201),(3.983734:-6.3545156)
3,moveGoal,(4129.9834:8479.272),(2.871892:-6.9283648)
4,moveGoal,(4132.3364:8472.151),(2.3531637:-7.1212797)
5,moveGoal,(4136.527:8465.932),(4.190457:-6.2201343)
6,moveGoal,(4143.8667:8464.391),(7.3399963:-1.5409272)
7,moveGoal,(4150.8945:8461.771),(7.027769:-2.6192486)
8,moveGoal,(4156.9604:8457.36),(6.065697:-4.411045)
9,moveGoal,(4161.6035:8451.471),(4.64299:-5.890046)
10,moveGoal,(4168.5195:8448.569),(6.916158:-2.901165)
11,moveGoal,(4175.056:8444.893),(6.5368185:-3.6769562)
12,moveGoal,(4180.2153:8450.336),(5.1592383:5.443552)
13,moveGoal,(4187.711:8450.085),(7.495795:-0.25112247)
14,moveGoal,(4193.9316:8454.274),(6.220515:4.189893)
15,moveGoal,(4197.5635:8460.836),(3.6320596:6.561871)
16,moveGoal,(4196.0605:8453.488),(-1.5031445:-7.3478265)
17,moveGoal,(4202.9707:8456.403),(6.9103913:2.914874)
18,moveGoal,(4195.479:8456.052),(-7.491767:-0.3513275)
19,moveGoal,(4192.317:8462.853),(-3.1622663:6.8007407)
20,moveGoal,(4199.6704:8461.379),(7.3537536:-1.4738772)
21,moveGoal,(4193.7246:8456.808),(-5.9456754:-4.5715365)
22,moveGoal,(4190.7124:8463.676),(-3.012345:6.868462)
23,moveGoal,(4188.152:8456.626),(-2.560682:-7.04932)
24,moveGoal,(4192.927:8450.843),(4.7750597:-5.783494)
25,moveGoal,(4190.0083:8443.934),(-2.9185853:-6.9088244)
26,moveGoal,(4191.2764:8436.542),(1.2680178:-7.3920317)
27,moveGoal,(4191.692:8429.054),(0.41539654:-7.4884877)
28,moveGoal,(4192.13:8421.566),(0.4381152:-7.487193)
29,moveGoal,(4192.2847:8414.068),(0.15473561:-7.4984035)
30,moveGoal,(4191.85:8406.581),(-0.4346364:-7.487396)
31,moveGoal,(4191.65:8414.078),(-0.20040141:7.497322)
32,moveGoal,(4194.3965:8407.099),(2.7465246:-6.9790115)
33,moveGoal,(4194.074:8399.605),(-0.32212904:-7.4930797)
34,moveGoal,(4193.9155:8392.107),(-0.15845135:-7.4983263)
35,moveGoal,(4193.5137:8384.618),(-0.40204504:-7.4892163)
36,moveGoal,(4193.0347:8377.134),(-0.4788874:-7.484696)
37,moveGoal,(4192.433:8369.658),(-0.60159194:-7.475834)
38,moveGoal,(4191.648:8362.199),(-0.7853445:-7.458769)
39,moveGoal,(4190.7056:8354.759),(-0.94249654:-7.440544)
40,moveGoal,(4189.688:8347.328),(-1.0174938:-7.43066)
41,moveGoal,(4188.6377:8339.902),(-1.0501788:-7.426111)
42,moveGoal,(4187.536:8332.483),(-1.1016299:-7.418653)
43,moveGoal,(4186.2007:8325.104),(-1.3356435:-7.3801126)
44,moveGoal,(4184.7466:8317.746),(-1.4538949:-7.35773)
45,moveGoal,(4183.316:8310.384),(-1.4307156:-7.3622723)
46,moveGoal,(4181.7427:8303.051),(-1.5732561:-7.3331347)
47,moveGoal,(4180.191:8295.713),(-1.5518842:-7.3376875)
48,moveGoal,(4178.57:8288.391),(-1.6211463:-7.3226967)
49,moveGoal,(4176.8955:8281.08),(-1.6744615:-7.31069)
50,moveGoal,(4175.2847:8273.755),(-1.6110067:-7.324934)
51,moveGoal,(4173.756:8266.412),(-1.5289963:-7.3424907)
52,moveGoal,(4172.238:8259.067),(-1.5180587:-7.34476)
53,moveGoal,(4170.7124:8251.725),(-1.5254946:-7.3432193)
54,moveGoal,(4169.1685:8244.385),(-1.5438817:-7.3393755)
55,moveGoal,(4167.605:8237.05),(-1.5633297:-7.3352575)
56,moveGoal,(4166.0156:8229.72),(-1.5894457:-7.329643)
57,moveGoal,(4164.3716:8222.402),(-1.6441009:-7.3175774)
58,moveGoal,(4162.642:8215.1045),(-1.7296561:-7.297828)
59,moveGoal,(4160.8896:8207.8125),(-1.7525251:-7.29237)
60,moveGoal,(4159.11:8200.526),(-1.7795544:-7.285821)
61,moveGoal,(4157.3174:8193.244),(-1.7922847:-7.2827)
62,moveGoal,(4155.5156:8185.964),(-1.8015441:-7.280415)
63,moveGoal,(4153.7485:8178.675),(-1.7672079:-7.2888255)
64,moveGoal,(4151.8306:8171.4243),(-1.9177414:-7.250674)
65,moveGoal,(4149.8877:8164.18),(-1.9428328:-7.243991)
66,moveGoal,(4147.961:8156.932),(-1.9268183:-7.2482667)
67,moveGoal,(4146.04:8149.682),(-1.9208571:-7.2498493)
68,moveGoal,(4144.123:8142.431),(-1.9167678:-7.250931)
69,moveGoal,(4142.1895:8135.1846),(-1.933571:-7.246468)
70,moveGoal,(4140.2563:8127.938),(-1.9329418:-7.2466364)
71,moveGoal,(4138.3647:8120.6807),(-1.8915038:-7.257562)
72,moveGoal,(4136.4375:8113.4326),(-1.9273915:-7.2481146)
73,moveGoal,(4134.483:8106.192),(-1.9545653:-7.240834)
74,moveGoal,(4132.5044:8098.9575),(-1.9783674:-7.234367)
75,moveGoal,(4130.511:8091.727),(-1.9931506:-7.230308)
76,moveGoal,(4128.4956:8084.503),(-2.0158257:-7.224019)
77,moveGoal,(4126.467:8077.2827),(-2.0287256:-7.220407)
78,moveGoal,(4124.4263:8070.0654),(-2.0406134:-7.217056)
79,moveGoal,(4122.3735:8062.8516),(-2.0525446:-7.213672)
80,moveGoal,(4120.3076:8055.6416),(-2.0658784:-7.2098646)
81,moveGoal,(4118.2437:8048.431),(-2.063824:-7.210453)
82,moveGoal,(4116.1685:8041.224),(-2.0751173:-7.207211)
83,moveGoal,(4114.0913:8034.0176),(-2.0771856:-7.206615)
84,moveGoal,(4112.006:8026.8135),(-2.0854356:-7.2042317)
85,moveGoal,(4109.912:8019.612),(-2.0937073:-7.201833)
86,moveGoal,(4107.821:8012.409),(-2.0913868:-7.202507)
87,moveGoal,(4106.601:8005.0093),(-1.2198994:-7.400125)
88,moveGoal,(4105.034:7997.675),(-1.5667647:-7.3345246)
89,moveGoal,(4103.3027:7990.3774),(-1.7314441:-7.297404)
90,moveGoal,(4101.4907:7983.0996),(-1.8117908:-7.277872)
91,moveGoal,(4099.6562:7975.8276),(-1.8344516:-7.272193)
92,moveGoal,(4097.7725:7968.568),(-1.8837147:-7.2595882)
93,moveGoal,(4095.7344:7961.35),(-2.0379975:-7.2177954)
94,moveGoal,(4093.6423:7954.148),(-2.092027:-7.202321)
95,moveGoal,(4091.5496:7946.946),(-2.0928664:-7.202077)
96,moveGoal,(4089.4749:7939.7383),(-2.0746071:-7.207358)
97,moveGoal,(4087.1975:7932.5923),(-2.2772415:-7.14592)
98,moveGoal,(4084.8677:7925.4634),(-2.3299375:-7.128913)
99,moveGoal,(4082.698:7918.284),(-2.1697168:-7.1792984)
100,moveGoal,(4080.4622:7911.125),(-2.2358038:-7.158993)
101,moveGoal,(4078.9663:7903.776),(-1.4958771:-7.3493094)
102,moveGoal,(4077.5322:7896.414),(-1.4341666:-7.361601)
103,moveGoal,(4078.2693:7903.878),(0.737113:7.46369)
104,moveGoal,(4078.775:7896.395),(0.50563574:-7.4829364)
105,moveGoal,(4085.761:7899.1235),(6.9861174:2.728399)
106,moveGoal,(4086.6885:7891.681),(0.9274834:-7.442431)
107,moveGoal,(4088.6626:7884.446),(1.9741832:-7.23551)
108,moveGoal,(4088.8506:7876.948),(0.18810782:-7.4976406)
109,moveGoal,(4088.2017:7869.4766),(-0.648922:-7.4718738)
110,moveGoal,(4092.4944:7875.6265),(4.2927485:6.1499853)
111,moveGoal,(4093.9705:7868.273),(1.4761527:-7.353297)
112,moveGoal,(4097.4023:7861.6045),(3.4320092:-6.668682)
113,moveGoal,(4098.1904:7854.146),(0.78807545:-7.4584813)
114,moveGoal,(4097.9434:7846.65),(-0.24725941:-7.495923)
115,moveGoal,(4098.8867:7839.2095),(0.94330573:-7.440442)
116,moveGoal,(4099.785:7831.7637),(0.8983888:-7.4459987)
117,moveGoal,(4100.6333:7824.3115),(0.84793365:-7.4519134)
118,moveGoal,(4102.872:7817.1533),(2.2388794:-7.1580324)
119,moveGoal,(4102.8687:7809.6533),(-0.0034419454:-7.499999)
120,moveGoal,(4105.9272:7802.805),(3.0587409:-6.847927)
121,moveGoal,(4103.108:7795.8555),(-2.8194559:-6.9498687)
