step,tag,position,velocity
0,moveGoal,(6833.334:6450.0005),(0.0:0.0)
1,moveGoal,(6838.145:6455.754),(4.811072:5.753572)
2,moveGoal,(6843.452:6461.053),(5.3072367:5.299362)
3,moveGoal,(6849.298:6465.752),(5.845518:4.6989274)
4,moveGoal,(6856.027:6469.0645),(6.7288527:3.312483)
5,moveGoal,(6861.951:6473.6636),(5.9244933:4.5989547)
6,moveGoal,(6857.546:6479.7334),(-4.405164:6.06997)
7,moveGoal,(6861.832:6485.888),(4.286023:6.154673)
8,moveGoal,(6863.1196:6493.277),(1.2875849:7.3886485)
9,moveGoal,(6859.705:6499.9546),(-3.414448:6.6776905)
10,moveGoal,(6859.3896:6507.4478),(-0.31520268:7.4933734)
11,moveGoal,(6860.908:6514.7925),(1.5184313:7.344683)
12,moveGoal,(6864.773:6521.22),(3.8645222:6.427711)
13,moveGoal,(6866.882:6528.4175),(2.109033:7.197359)
14,moveGoal,(6869.552:6535.4263),(2.6699266:7.0086727)
15,moveGoal,(6872.024:6542.5073),(2.4721503:7.0808525)
16,moveGoal,(6872.571:6549.9873),(0.546836:7.4800386)
17,moveGoal,(6876.7876:6556.1895),(4.2169104:6.2022305)
18,moveGoal,(6881.4517:6562.063),(4.66414:5.8733125)
19,moveGoal,(6877.52:6568.4497),(-3.931602:6.3869014)
20,moveGoal,(6882.2876:6574.2393),(4.767692:5.7895694)
21,moveGoal,(6882.1426:6581.738),(-0.14520465:7.4985943)
22,moveGoal,(6884.0977:6588.9785),(1.9549495:7.2407303)
23,moveGoal,(6885.934:6596.25),(1.8366328:7.2716427)
24,moveGoal,(6878.5327:6597.4614),(-7.401499:1.2115369)
25,moveGoal,(6884.9717:6601.307),(6.4388533:3.8459291)
26,moveGoal,(6877.565:6600.1265),(-7.4065056:-1.1805391)
27,moveGoal,(6871.584:6595.601),(-5.9808927:-4.5253654)
28,moveGoal,(6866.885:6589.756),(-4.6993747:-5.8451586)
29,moveGoal,(6874.1406:6587.858),(7.2558875:-1.8979183)
30,moveGoal,(6869.491:6581.9727),(-4.6491985:-5.885147)
31,moveGoal,(6864.0874:6576.772),(-5.4038405:-5.2008185)
32,moveGoal,(6858.875:6571.3794),(-5.2124386:-5.3926325)
33,moveGoal,(6853.638:6566.0103),(-5.236627:-5.3691463)
34,moveGoal,(6849.133:6560.0146),(-4.505586:-5.995806)
35,moveGoal,(6856.117:6562.747),(6.984495:2.7325504)
36,moveGoal,(6851.5728:6556.781),(-4.5443454:-5.9664836)
37,moveGoal,(6846.467:6551.287),(-5.105914:-5.4936004)
38,moveGoal,(6841.888:6545.347),(-4.5787272:-5.9401393)
39,moveGoal,(6837.1504:6539.533),(-4.7376804:-5.8141537)
40,moveGoal,(6831.9976:6534.0835),(-5.152873:-5.4495783)
41,moveGoal,(6827.2456:6528.2812),(-4.7520375:-5.802425)
42,moveGoal,(6822.0723:6522.851),(-5.1732917:-5.4301987)
43,moveGoal,(6816.8975:6517.4224),(-5.174775:-5.428785)
44,moveGoal,(6811.7295:6511.9873),(-5.168032:-5.4352045)
45,moveGoal,(6806.5684:6506.5454),(-5.1612253:-5.4416685)
46,moveGoal,(6801.4097:6501.101),(-5.158608:-5.44415)
47,moveGoal,(6796.3965:6495.523),(-5.0133743:-5.5781794)
48,moveGoal,(6791.224:6490.092),(-5.1724815:-5.4309707)
49,moveGoal,(6786.2983:6484.436),(-4.9255443:-5.6558833)
50,moveGoal,(6781.082:6479.0474),(-5.216468:-5.388735)
51,moveGoal,(6776.022:6473.511),(-5.0599895:-5.535929)
52,moveGoal,(6770.861:6468.0693),(-5.1611814:-5.44171)
53,moveGoal,(6765.7104:6462.6177),(-5.150553:-5.451771)
54,moveGoal,(6760.8833:6456.878),(-4.8273478:-5.739923)
55,moveGoal,(6755.9907:6451.1934),(-4.892628:-5.6843815)
56,moveGoal,(6750.985:6445.6084),(-5.005669:-5.585094)
57,moveGoal,(6745.7695:6440.2188),(-5.215525:-5.389648)
58,moveGoal,(6740.7104:6434.682),(-5.05931:-5.5365496)
59,moveGoal,(6735.0415:6429.7715),(-5.669016:-4.9104238)
60,moveGoal,(6729.491:6424.727),(-5.5502086:-5.044323)
