step,tag,position,velocity
0,moveGoal,(4122.2227:8383.334),(0.0:0.0)
1,moveGoal,(4124.728:8390.403),(2.5054047:7.0691547)
2,moveGoal,(4129.552:8396.146),(4.8235:5.743157)
3,moveGoal,(4133.761:8389.939),(4.20928:-6.2074122)
4,moveGoal,(4141.2583:8389.737),(7.4972835:-0.20185679)
5,moveGoal,(4148.7427:8390.218),(7.484611:0.48020956)
6,moveGoal,(4143.942:8395.9795),(-4.800918:5.762047)
7,moveGoal,(4140.1963:8402.478),(-3.745746:6.497645)
8,moveGoal,(4144.324:8396.216),(4.128109:-6.2616863)
9,moveGoal,(4147.0386:8389.225),(2.7144914:-6.9915333)
10,moveGoal,(4148.2607:8381.825),(1.2220726:-7.3997664)
11,moveGoal,(4151.8354:8375.232),(3.574921:-6.593174)
12,moveGoal,(4154.7363:8368.316),(2.9007518:-6.916332)
13,moveGoal,(4147.3013:8369.302),(-7.4349637:0.98555446)
14,moveGoal,(4154.742:8370.24),(7.4410834:0.9382292)
15,moveGoal,(4156.9717:8363.079),(2.2295268:-7.1609507)
16,moveGoal,(4157.7627:8355.621),(0.7909637:-7.458175)
17,moveGoal,(4160.9155:8348.815),(3.152596:-6.8052287)
18,moveGoal,(4162.3154:8341.447),(1.400106:-7.3681545)
19,moveGoal,(4167.8647:8346.492),(5.549319:5.045301)
20,moveGoal,(4167.951:8338.993),(0.08661277:-7.4995003)
21,moveGoal,(4169.924:8331.757),(1.9724283:-7.2359886)
22,moveGoal,(4174.563:8337.649),(4.639388:5.8928843)
23,moveGoal,(4176.423:8330.384),(1.8598982:-7.2657266)
24,moveGoal,(4177.394:8322.947),(0.9713716:-7.43683)
25,moveGoal,(4178.2275:8315.494),(0.83365:-7.453525)
26,moveGoal,(4178.669:8308.007),(0.44145173:-7.486997)
27,moveGoal,(4175.206:8301.3545),(-3.4630852:-6.652597)
28,moveGoal,(4176.603:8293.985),(1.3970126:-7.368742)
29,moveGoal,(4177.1206:8286.503),(0.51741475:-7.482131)
30,moveGoal,(4177.1:8279.003),(-0.020489728:-7.4999723)
31,moveGoal,(4173.3955:8272.481),(-3.7045975:-6.521193)
32,moveGoal,(4174.123:8265.017),(0.7274386:-7.464639)
33,moveGoal,(4180.61:8261.253),(6.4870462:-3.7640717)
34,moveGoal,(4181.185:8253.775),(0.57522374:-7.477909)
35,moveGoal,(4181.3306:8246.276),(0.14537394:-7.498591)
36,moveGoal,(4180.7603:8238.798),(-0.5705048:-7.47827)
37,moveGoal,(4178.32:8231.706),(-2.4406214:-7.0917816)
38,moveGoal,(4174.974:8224.994),(-3.3457785:-6.7123594)
39,moveGoal,(4173.415:8217.658),(-1.5590852:-7.336161)
40,moveGoal,(4171.7017:8210.356),(-1.7133808:-7.301666)
41,moveGoal,(4170.109:8203.027),(-1.5927058:-7.3289356)
42,moveGoal,(4166.909:8196.244),(-3.1999218:-6.783104)
43,moveGoal,(4165.989:8188.801),(-0.9203795:-7.4433126)
44,moveGoal,(4163.159:8181.855),(-2.829727:-6.945693)
45,moveGoal,(4160.6343:8174.793),(-2.5251007:-7.0621433)
46,moveGoal,(4155.199:8179.961),(-5.4351687:5.1680694)
47,moveGoal,(4153.617:8172.63),(-1.5818479:-7.331286)
48,moveGoal,(4153.1465:8165.1445),(-0.47058642:-7.485222)
49,moveGoal,(4159.2773:8160.8247),(6.1308427:-4.320042)
50,moveGoal,(4157.197:8153.619),(-2.0803432:-7.2057047)
51,moveGoal,(4156.2793:8146.1753),(-0.91737926:-7.443683)
52,moveGoal,(4155.275:8138.7427),(-1.0041673:-7.4324727)
53,moveGoal,(4154.1006:8131.335),(-1.1741935:-7.4075146)
54,moveGoal,(4152.7563:8123.9565),(-1.3443862:-7.378525)
55,moveGoal,(4151.376:8116.5845),(-1.380424:-7.3718677)
56,moveGoal,(4149.9126:8109.2285),(-1.4635013:-7.3558254)
57,moveGoal,(4146.652:8102.4746),(-3.2606182:-6.7541375)
58,moveGoal,(4146.3125:8094.9824),(-0.33949995:-7.492312)
59,moveGoal,(4143.0:8088.2534),(-3.3125265:-6.7288313)
60,moveGoal,(4142.56:8080.766),(-0.43971378:-7.487099)
61,moveGoal,(4141.238:8073.384),(-1.3221531:-7.382541)
62,moveGoal,(4139.7944:8066.024),(-1.4435866:-7.3597593)
63,moveGoal,(4136.5103:8059.2812),(-3.2840545:-6.742773)
64,moveGoal,(4134.312:8052.1104),(-2.1980891:-7.1706634)
65,moveGoal,(4133.7285:8044.6333),(-0.58352524:-7.4772654)
66,moveGoal,(4132.443:8037.244),(-1.285418:-7.3890257)
67,moveGoal,(4132.1514:8029.75),(-0.29154664:-7.4943314)
68,moveGoal,(4130.063:8022.5464),(-2.0882363:-7.2034206)
69,moveGoal,(4128.0415:8015.324),(-2.0216365:-7.222395)
70,moveGoal,(4128.164:8007.825),(0.12253761:-7.498999)
71,moveGoal,(4124.706:8001.17),(-3.4580245:-6.655229)
72,moveGoal,(4122.7783:7993.922),(-1.9278367:-7.2479963)
73,moveGoal,(4124.0103:7986.524),(1.2319381:-7.39813)
74,moveGoal,(4131.5044:7986.823),(7.4940248:0.29932028)
75,moveGoal,(4127.615:7980.4106),(-3.8893573:-6.4127145)
76,moveGoal,(4124.6885:7973.5054),(-2.9268823:-6.905314)
77,moveGoal,(4123.3394:7966.1274),(-1.348927:-7.377696)
78,moveGoal,(4121.275:7958.917),(-2.0644178:-7.210283)
79,moveGoal,(4128.3433:7956.409),(7.068291:-2.5078387)
80,moveGoal,(4123.7896:7950.4497),(-4.5536504:-5.959386)
81,moveGoal,(4120.4214:7943.7485),(-3.3683236:-6.7010746)
82,moveGoal,(4119.145:7936.358),(-1.2765263:-7.3905673)
83,moveGoal,(4118.1235:7928.9277),(-1.0213841:-7.430126)
84,moveGoal,(4116.971:7921.5166),(-1.1524861:-7.410923)
85,moveGoal,(4115.043:7914.2686),(-1.9282615:-7.247883)
86,moveGoal,(4117.744:7907.272),(2.7012799:-6.9966483)
87,moveGoal,(4113.1904:7901.3125),(-4.553498:-5.9595017)
88,moveGoal,(4110.3154:7894.3857),(-2.8752096:-6.9269886)
89,moveGoal,(4107.6:7887.3945),(-2.7152853:-6.9912252)
90,moveGoal,(4114.8496:7885.472),(7.249428:-1.9224447)
91,moveGoal,(4110.4316:7879.4116),(-4.418008:-6.060628)
92,moveGoal,(4107.4473:7872.531),(-2.9843554:-6.8806705)
93,moveGoal,(4108.2314:7865.072),(0.7841686:-7.458893)
94,moveGoal,(4115.7207:7864.6685),(7.4891376:-0.40350956)
95,moveGoal,(4110.453:7859.3296),(-5.2677336:-5.3386316)
96,moveGoal,(4117.9424:7859.731),(7.4892416:0.40157357)
97,moveGoal,(4117.469:7852.246),(-0.47300845:-7.4850693)
