step,tag,position,velocity
0,moveGoal,(4122.2227:8383.334),(0.0:0.0)
1,moveGoal,(4114.762:8384.1045),(-7.460322:0.77045095)
2,moveGoal,(4107.2744:8384.528),(-7.4880104:0.4239078)
3,moveGoal,(4102.8184:8378.495),(-4.455916:-6.0328116)
4,moveGoal,(4096.0254:8375.316),(-6.79291:-3.1790526)
5,moveGoal,(4091.8396:8369.093),(-4.1856728:-6.2233553)
6,moveGoal,(4088.658:8362.301),(-3.1815252:-6.791752)
7,moveGoal,(4086.4995:8355.118),(-2.1585617:-7.1826606)
8,moveGoal,(4083.4988:8348.244),(-3.0006568:-6.873577)
9,moveGoal,(4077.823:8343.342),(-5.675715:-4.90268)
10,moveGoal,(4071.723:8338.979),(-6.100029:-4.3634443)
11,moveGoal,(4064.3955:8337.379),(-7.3274417:-1.5995622)
12,moveGoal,(4063.888:8329.896),(-0.5076139:-7.482802)
13,moveGoal,(4064.238:8322.404),(0.3500636:-7.491826)
14,moveGoal,(4063.0327:8315.002),(-1.2054431:-7.402493)
15,moveGoal,(4063.929:8307.556),(0.896258:-7.4462557)
16,moveGoal,(4060.1833:8301.058),(-3.745717:-6.4976616)
17,moveGoal,(4057.2012:8294.176),(-2.982214:-6.881599)
18,moveGoal,(4050.1978:8291.492),(-7.0034018:-2.6837223)
19,moveGoal,(4043.0354:8289.268),(-7.162343:-2.2250512)
20,moveGoal,(4042.5986:8281.78),(-0.43670008:-7.4872756)
21,moveGoal,(4040.709:8274.522),(-1.8897066:-7.258031)
22,moveGoal,(4039.9275:8281.981),(-0.7815083:7.4591722)
23,moveGoal,(4038.5166:8274.615),(-1.4107695:-7.366121)
24,moveGoal,(4038.5059:8267.115),(-0.010839345:-7.4999924)
25,moveGoal,(4036.7344:8259.827),(-1.7714628:-7.2877927)
26,moveGoal,(4034.4495:8252.684),(-2.2849746:-7.143451)
27,moveGoal,(4032.252:8245.513),(-2.1974473:-7.17086)
28,moveGoal,(4031.763:8238.028),(-0.48890764:-7.484048)
29,moveGoal,(4027.4143:8231.918),(-4.348583:-6.1106324)
30,moveGoal,(4024.3933:8238.782),(-3.021055:6.864636)
31,moveGoal,(4024.2344:8231.284),(-0.1588135:-7.498318)
32,moveGoal,(4023.951:8223.789),(-0.2833282:-7.4946465)
33,moveGoal,(4021.2102:8216.808),(-2.7407691:-6.981274)
34,moveGoal,(4017.9128:8210.071),(-3.2973523:-6.7362804)
35,moveGoal,(4014.66:8203.313),(-3.2530308:-6.7577953)
36,moveGoal,(4014.63:8195.813),(-0.029910032:-7.4999404)
37,moveGoal,(4011.3765:8189.0557),(-3.2534125:-6.7576113)
38,moveGoal,(4010.7202:8181.5845),(-0.6562086:-7.4712377)
39,moveGoal,(4009.8171:8174.139),(-0.9030591:-7.445434)
40,moveGoal,(4005.5186:8167.993),(-4.2987027:-6.1458244)
41,moveGoal,(4005.177:8160.501),(-0.34146544:-7.492223)
42,moveGoal,(4001.0286:8154.253),(-4.148499:-6.2481966)
43,moveGoal,(3997.3254:8147.731),(-3.7032099:-6.521981)
44,moveGoal,(3993.811:8141.1055),(-3.5143569:-6.6256547)
45,moveGoal,(3990.6038:8134.3257),(-3.2071624:-6.779684)
46,moveGoal,(3989.3032:8126.9395),(-1.30055:-7.3863773)
47,moveGoal,(3985.9424:8120.2344),(-3.3608015:-6.70485)
48,moveGoal,(3983.4995:8113.1436),(-2.4428186:-7.0910254)
49,moveGoal,(3982.538:8105.7056),(-0.9614015:-7.4381256)
50,moveGoal,(3981.412:8098.2905),(-1.1260738:-7.414982)
51,moveGoal,(3978.6113:8091.333),(-2.8007534:-6.9574265)
52,moveGoal,(3975.8948:8084.3423),(-2.7166288:-6.990703)
