step,goal_agent_num,group,group_size,follow
10,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
11,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
12,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
13,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
14,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
15,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
16,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
17,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
18,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
19,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
20,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
21,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
22,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
23,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
24,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
25,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
26,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
27,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
28,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
29,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
30,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
31,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
32,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
33,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
34,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
35,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
36,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
