step,tag,position,velocity
0,moveGoal,(4122.2227:8366.667),(0.0:0.0)
1,moveGoal,(4122.514:8359.173),(0.29134604:-7.494339)
2,moveGoal,(4121.27:8351.776),(-1.2443501:-7.396053)
3,moveGoal,(4121.3086:8344.276),(0.03863775:-7.499901)
4,moveGoal,(4118.459:8337.339),(-2.849452:-6.937624)
5,moveGoal,(4113.729:8331.519),(-4.7299314:-5.82046)
6,moveGoal,(4107.3604:8327.558),(-6.368576:-3.961217)
7,moveGoal,(4102.005:8322.307),(-5.3552594:-5.2508283)
8,moveGoal,(4098.1714:8315.86),(-3.8335996:-6.446202)
9,moveGoal,(4095.9705:8308.69),(-2.2010348:-7.1697593)
10,moveGoal,(4093.2876:8301.687),(-2.6828196:-7.0037475)
11,moveGoal,(4090.4578:8294.741),(-2.8299253:-6.945612)
12,moveGoal,(4086.1143:8288.627),(-4.343557:-6.114206)
13,moveGoal,(4086.413:8281.133),(0.2988469:-7.494044)
14,moveGoal,(4086.6782:8273.638),(0.2651441:-7.4953117)
15,moveGoal,(4087.0771:8266.148),(0.39886028:-7.4893866)
16,moveGoal,(4089.0437:8258.911),(1.9665834:-7.2375793)
17,moveGoal,(4091.075:8251.691),(2.031354:-7.2196674)
18,moveGoal,(4091.6394:8244.213),(0.56449246:-7.4787264)
19,moveGoal,(4089.8887:8236.92),(-1.7507846:-7.292788)
20,moveGoal,(4085.859:8230.595),(-4.029846:-6.325373)
21,moveGoal,(4082.8816:8223.711),(-2.9772627:-6.8837423)
22,moveGoal,(4083.882:8216.278),(1.0004741:-7.4329705)
23,moveGoal,(4078.944:8210.634),(-4.9380894:-5.644933)
24,moveGoal,(4075.9312:8203.766),(-3.0128987:-6.86822)
25,moveGoal,(4074.4722:8196.409),(-1.4590229:-7.356715)
26,moveGoal,(4073.1675:8189.0234),(-1.3047671:-7.385634)
27,moveGoal,(4071.7073:8181.667),(-1.4601557:-7.35649)
28,moveGoal,(4070.3032:8174.3),(-1.4041722:-7.367381)
29,moveGoal,(4068.9465:8166.9233),(-1.3566736:-7.3762755)
30,moveGoal,(4066.739:8159.7554),(-2.2075486:-7.1677566)
31,moveGoal,(4064.1313:8152.723),(-2.6076286:-7.0320888)
32,moveGoal,(4061.6924:8145.631),(-2.4389346:-7.092362)
33,moveGoal,(4059.512:8138.4546),(-2.180453:-7.1760454)
34,moveGoal,(4057.3315:8131.2783),(-2.180453:-7.1760454)
35,moveGoal,(4055.1794:8124.0938),(-2.1520054:-7.1846275)
36,moveGoal,(4055.7234:8116.6133),(0.5440627:-7.480241)
37,moveGoal,(4053.5015:8109.45),(-2.221929:-7.1633115)
38,moveGoal,(4051.2756:8102.288),(-2.225877:-7.162086)
39,moveGoal,(4049.083:8095.1157),(-2.1926327:-7.1723332)
40,moveGoal,(4046.9128:8087.9365),(-2.1700897:-7.179186)
41,moveGoal,(4044.778:8080.7466),(-2.1347766:-7.189766)
42,moveGoal,(4042.5752:8073.5776),(-2.2029088:-7.1691837)
43,moveGoal,(4040.3455:8066.417),(-2.2297509:-7.1608806)
44,moveGoal,(4038.1045:8059.26),(-2.2409606:-7.157381)
45,moveGoal,(4035.856:8052.105),(-2.2486308:-7.1549745)
46,moveGoal,(4033.6018:8044.9517),(-2.2540586:-7.1532664)
47,moveGoal,(4031.3606:8037.7944),(-2.2412758:-7.157282)
48,moveGoal,(4029.114:8030.6387),(-2.2467039:-7.1555796)
49,moveGoal,(4026.8713:8023.482),(-2.2426398:-7.1568546)
50,moveGoal,(4024.6309:8016.324),(-2.2403758:-7.1575637)
51,moveGoal,(4022.4023:8009.163),(-2.2284813:-7.161276)
52,moveGoal,(4020.1724:8002.0024),(-2.2299824:-7.1608086)
53,moveGoal,(4017.9385:7994.843),(-2.2338974:-7.1595883)
54,moveGoal,(4015.71:7987.6816),(-2.2284813:-7.161276)
55,moveGoal,(4013.4868:7980.5186),(-2.2230773:-7.1629553)
56,moveGoal,(4011.2346:7973.3647),(-2.2520993:-7.153884)
57,moveGoal,(4008.98:7966.2114),(-2.2546587:-7.1530776)
58,moveGoal,(4006.7295:7959.057),(-2.2505717:-7.154364)
59,moveGoal,(4004.4797:7951.9023),(-2.2498085:-7.1546044)
60,moveGoal,(4002.23:7944.7476),(-2.2498085:-7.1546044)
61,moveGoal,(3999.9778:7937.5938),(-2.252234:-7.153841)
62,moveGoal,(3997.7288:7930.439),(-2.2489076:-7.154887)
63,moveGoal,(3995.4734:7923.286),(-2.2554228:-7.1528363)
64,moveGoal,(3993.2212:7916.1323),(-2.2520993:-7.153884)
65,moveGoal,(3990.9683:7908.9785),(-2.2529976:-7.1536007)
66,moveGoal,(3988.716:7901.8247),(-2.2520993:-7.153884)
67,moveGoal,(3986.4624:7894.6714),(-2.2537618:-7.15336)
