step,tag,position,velocity
0,moveGoal,(6833.334:6400.0005),(0.0:0.0)
1,moveGoal,(6825.9907:6398.4746),(-7.34311:-1.5260191)
2,moveGoal,(6818.8516:6396.177),(-7.139364:-2.297714)
3,moveGoal,(6815.984:6389.2466),(-2.8677585:-6.930077)
4,moveGoal,(6816.715:6381.782),(0.73106205:-7.464285)
5,moveGoal,(6817.798:6374.361),(1.0828376:-7.421419)
6,moveGoal,(6820.5977:6381.319),(2.799659:6.957867)
7,moveGoal,(6815.161:6386.4854),(-5.4365034:5.166666)
8,moveGoal,(6808.836:6390.515),(-6.3253536:4.0298758)
9,moveGoal,(6807.88:6383.076),(-0.95582795:-7.4388433)
10,moveGoal,(6809.767:6375.8174),(1.8871759:-7.2586894)
11,moveGoal,(6814.1724:6369.7476),(4.4051366:-6.0699897)
12,moveGoal,(6808.2764:6374.3833),(-5.895935:4.6355095)
13,moveGoal,(6808.118:6366.885),(-0.15802683:-7.4983354)
14,moveGoal,(6802.0576:6362.467),(-6.060701:-4.4179077)
15,moveGoal,(6801.1113:6355.027),(-0.94642335:-7.440046)
16,moveGoal,(6797.6553:6348.3706),(-3.4560473:-6.6562557)
17,moveGoal,(6796.8184:6340.9175),(-0.83692557:-7.4531574)
18,moveGoal,(6796.347:6333.432),(-0.47116315:-7.485186)
19,moveGoal,(6799.8354:6340.0713),(3.4884472:6.639333)
20,moveGoal,(6795.6763:6346.3125),(-4.1590886:6.2411523)
21,moveGoal,(6790.688:6340.712),(-4.988186:-5.600714)
22,moveGoal,(6787.118:6334.116),(-3.5699682:-6.5958567)
23,moveGoal,(6790.9443:6327.6655),(3.8260195:-6.450703)
24,moveGoal,(6785.2114:6322.8296),(-5.7327538:-4.83586)
25,moveGoal,(6777.798:6323.9644),(-7.413623:1.1349905)
26,moveGoal,(6771.14:6320.5117),(-6.6579313:-3.4528182)
27,moveGoal,(6771.411:6313.0166),(0.2708794:-7.4951067)
28,moveGoal,(6773.314:6305.762),(1.9028697:-7.254591)
29,moveGoal,(6771.8477:6298.4067),(-1.4662089:-7.355286)
30,moveGoal,(6764.9336:6295.501),(-6.914258:-2.9056904)
31,moveGoal,(6764.15:6288.042),(-0.78383934:-7.458927)
32,moveGoal,(6757.2935:6285.002),(-6.856254:-3.04003)
33,moveGoal,(6752.115:6279.576),(-5.178178:-5.4255395)
34,moveGoal,(6745.33:6276.3804),(-6.784997:-3.1959066)
35,moveGoal,(6739.013:6272.3374),(-6.317111:-4.0427847)
36,moveGoal,(6734.9243:6266.05),(-4.0886726:-6.2875085)
37,moveGoal,(6733.5728:6258.6724),(-1.3514296:-7.377238)
38,moveGoal,(6733.146:6251.1846),(-0.42679363:-7.487847)
39,moveGoal,(6726.8516:6247.107),(-6.294523:-4.0778656)
40,moveGoal,(6720.191:6243.6597),(-6.660708:-3.4474595)
41,moveGoal,(6715.4873:6237.818),(-4.7035356:-5.8418117)
42,moveGoal,(6709.2026:6233.725),(-6.284749:-4.092912)
43,moveGoal,(6703.32:6229.0728),(-5.8827295:-4.6522574)
44,moveGoal,(6697.3896:6224.481),(-5.9300694:-4.591762)
45,moveGoal,(6691.502:6219.835),(-5.887496:-4.646223)
46,moveGoal,(6686.041:6214.694),(-5.4606967:-5.141089)
47,moveGoal,(6680.0527:6210.178),(-5.988282:-4.5155816)
48,moveGoal,(6674.6997:6204.9253),(-5.35327:-5.2528567)
49,moveGoal,(6674.4204:6197.4307),(-0.2790997:-7.494805)
50,moveGoal,(6668.117:6193.366),(-6.303287:-4.064305)
51,moveGoal,(6661.816:6189.2983),(-6.301073:-4.067736)
52,moveGoal,(6655.572:6185.1436),(-6.2441397:-4.1546025)
53,moveGoal,(6649.37:6180.9263),(-6.2018647:-4.2174487)
54,moveGoal,(6643.3896:6176.4004),(-5.9805694:-4.5257916)
55,moveGoal,(6637.5146:6171.7383),(-5.874875:-4.662172)
