step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8426.382:3152.815),(-6.9517617:2.814784)
2,moveGoal,(8418.91:3153.4636),(-7.471892:0.648717)
3,moveGoal,(8412.055:3156.5056),(-6.855398:3.04196)
4,moveGoal,(8405.677:3160.4512),(-6.3782954:3.9455488)
5,moveGoal,(8400.144:3165.5146),(-5.532747:5.063469)
6,moveGoal,(8394.17:3170.0503),(-5.973156:4.5355716)
7,moveGoal,(8388.526:3174.9895),(-5.6439047:4.9392657)
8,moveGoal,(8382.14:3178.9219),(-6.3864083:3.9324024)
9,moveGoal,(8375.621:3182.6309),(-6.518678:3.7090216)
10,moveGoal,(8369.495:3186.9575),(-6.1262407:4.326566)
11,moveGoal,(8363.474:3191.4285),(-6.021705:4.4709134)
12,moveGoal,(8358.867:3197.3474),(-4.6059766:5.919036)
13,moveGoal,(8353.41:3202.4924),(-5.45693:5.145087)
14,moveGoal,(8347.36:3206.9248),(-6.0501604:4.432331)
15,moveGoal,(8341.458:3211.552),(-5.902442:4.6272216)
16,moveGoal,(8334.573:3214.527),(-6.8847075:2.975031)
17,moveGoal,(8331.182:3207.8376),(-3.391402:-6.689424)
18,moveGoal,(8326.258:3213.495),(-4.9238324:5.6573734)
19,moveGoal,(8322.141:3219.764),(-4.1174116:6.2687263)
20,moveGoal,(8317.114:3225.33),(-5.0266905:5.5661826)
21,moveGoal,(8311.281:3230.044),(-5.8334193:4.7139397)
22,moveGoal,(8305.238:3234.4863),(-6.0427413:4.4424415)
23,moveGoal,(8297.972:3236.3433),(-7.2664857:1.8569297)
24,moveGoal,(8290.5:3235.6873),(-7.471246:-0.6561126)
25,moveGoal,(8284.628:3240.3525),(-5.8723745:4.6653214)
26,moveGoal,(8277.283:3238.8345),(-7.344743:-1.5181403)
27,moveGoal,(8270.111:3241.0283),(-7.1719337:2.1939394)
28,moveGoal,(8269.328:3248.4873),(-0.78284633:7.4590316)
29,moveGoal,(8261.838:3248.8784),(-7.489798:0.39105687)
30,moveGoal,(8254.482:3247.4148),(-7.3558006:-1.4636252)
31,moveGoal,(8247.057:3248.4692),(-7.4255233:1.0543277)
32,moveGoal,(8239.713:3246.9456),(-7.3435845:-1.5237361)
33,moveGoal,(8232.233:3247.498),(-7.4796286:0.5524141)
34,moveGoal,(8224.737:3247.2617),(-7.4962745:-0.23637646)
35,moveGoal,(8217.238:3247.4004),(-7.4987187:0.13863696)
36,moveGoal,(8209.931:3245.7124),(-7.30758:-1.6879804)
37,moveGoal,(8202.611:3244.0747),(-7.3190403:-1.6375753)
38,moveGoal,(8195.121:3243.6868),(-7.4899616:-0.38791266)
39,moveGoal,(8187.7817:3242.1426),(-7.339321:-1.5441386)
40,moveGoal,(8180.62:3239.9158),(-7.161788:-2.2268348)
41,moveGoal,(8173.483:3237.612),(-7.13744:-2.303683)
42,moveGoal,(8179.3184:3232.9004),(5.8353295:-4.7115746)
43,moveGoal,(8172.001:3231.2551),(-7.317334:-1.6451833)
44,moveGoal,(8179.316:3229.5984),(7.314723:-1.6567534)
45,moveGoal,(8171.918:3230.8315),(-7.397938:1.2330918)
46,moveGoal,(8172.2373:3223.3384),(0.3192172:-7.4932036)
47,moveGoal,(8165.0776:3221.1047),(-7.1596766:-2.2336152)
48,moveGoal,(8172.5776:3221.1265),(7.499968:0.021782238)
49,moveGoal,(8167.524:3226.6682),(-5.0534844:5.5418677)
50,moveGoal,(8174.6523:3224.3372),(7.1285524:-2.331039)
51,moveGoal,(8168.587:3219.9255),(-6.065191:-4.4117417)
52,moveGoal,(8175.96:3218.5515),(7.3730736:-1.3739688)
53,moveGoal,(8168.4883:3217.898),(-7.471471:-0.65355194)
54,moveGoal,(8175.483:3220.6047),(6.9945374:2.7067418)
55,moveGoal,(8168.552:3217.74),(-6.9313:-2.8648007)
56,moveGoal,(8176.05:3217.5652),(7.497963:-0.17481515)
