step,tag,position,velocity
0,moveGoal,(6833.334:6400.0005),(0.0:0.0)
1,moveGoal,(6826.173:6402.2295),(-7.161113:2.2290049)
2,moveGoal,(6818.691:6402.7524),(-7.4817533:0.52284956)
3,moveGoal,(6811.3003:6401.4756),(-7.390498:-1.2769238)
4,moveGoal,(6803.8213:6400.912),(-7.4788194:-0.5632586)
5,moveGoal,(6796.3257:6401.1724),(-7.4954786:0.26038462)
6,moveGoal,(6788.8696:6400.36),(-7.455844:-0.81264126)
7,moveGoal,(6781.7583:6397.9766),(-7.1112175:-2.3833988)
8,moveGoal,(6774.5337:6399.99),(-7.2245817:2.0138066)
9,moveGoal,(6767.3237:6402.056),(-7.209855:2.0659115)
10,moveGoal,(6760.0605:6403.927),(-7.2629504:1.87071)
11,moveGoal,(6752.5874:6403.2944),(-7.4733043:-0.6322355)
12,moveGoal,(6745.754:6406.3853),(-6.8335667:3.09069)
13,moveGoal,(6738.2944:6407.1646),(-7.459403:0.7792972)
14,moveGoal,(6730.9546:6408.7065),(-7.339723:1.542227)
15,moveGoal,(6723.641:6407.044),(-7.3134174:-1.6625061)
16,moveGoal,(6716.536:6404.642),(-7.105048:-2.4017262)
17,moveGoal,(6709.8325:6401.279),(-6.7037168:-3.3630607)
18,moveGoal,(6707.5728:6394.1274),(-2.259753:-7.1514697)
19,moveGoal,(6701.343:6398.303),(-6.2300296:4.1757317)
20,moveGoal,(6694.405:6395.454),(-6.9377904:-2.8490467)
21,moveGoal,(6686.98:6394.3945),(-7.4247775:-1.0595657)
22,moveGoal,(6680.551:6390.5327),(-6.429365:-3.8617709)
23,moveGoal,(6674.952:6385.5425),(-5.5988464:-4.990282)
24,moveGoal,(6669.272:6380.645),(-5.68027:-4.897401)
25,moveGoal,(6661.7793:6380.98),(-7.4925194:0.3348982)
26,moveGoal,(6654.701:6378.4995),(-7.07796:-2.4804187)
27,moveGoal,(6647.704:6375.7993),(-6.99714:-2.7000072)
28,moveGoal,(6640.9194:6372.603),(-6.7847576:-3.1964152)
29,moveGoal,(6634.848:6368.1997),(-6.0713725:-4.4032307)
30,moveGoal,(6628.8726:6363.6675),(-5.975616:-4.5323296)
31,moveGoal,(6623.276:6358.675),(-5.5968986:-4.9924674)
32,moveGoal,(6617.3022:6354.1396),(-5.9733915:-4.535261)
33,moveGoal,(6611.681:6349.175),(-5.6212807:-4.964998)
34,moveGoal,(6606.022:6344.253),(-5.6592484:-4.9216776)
35,moveGoal,(6600.6357:6339.0337),(-5.386246:-5.2190375)
36,moveGoal,(6595.16:6333.908),(-5.475375:-5.125453)
37,moveGoal,(6589.6943:6328.773),(-5.4660273:-5.1354203)
38,moveGoal,(6584.1123:6323.7637),(-5.582049:-5.009065)
39,moveGoal,(6577.1797:6320.9023),(-6.9327555:-2.861277)
40,moveGoal,(6571.2363:6316.3276),(-5.9432054:-4.5747476)
41,moveGoal,(6565.3975:6311.62),(-5.8386316:-4.7074814)
42,moveGoal,(6559.632:6306.8237),(-5.765704:-4.7965255)
43,moveGoal,(6553.9043:6301.982),(-5.7277293:-4.8418093)
44,moveGoal,(6548.461:6296.8228),(-5.443569:-5.1592207)
45,moveGoal,(6543.0586:6291.62),(-5.4022756:-5.2024436)
46,moveGoal,(6537.6924:6286.381),(-5.366402:-5.23944)
47,moveGoal,(6532.348:6281.1187),(-5.3443165:-5.2619653)
48,moveGoal,(6527.074:6275.786),(-5.2741017:-5.3323407)
49,moveGoal,(6521.82:6270.434),(-5.254283:-5.3518696)
50,moveGoal,(6516.6177:6265.0317),(-5.202364:-5.4023523)
51,moveGoal,(6511.4727:6259.5747),(-5.145137:-5.4568825)
52,moveGoal,(6506.331:6254.1147),(-5.1417375:-5.4600863)
53,moveGoal,(6501.188:6248.6562),(-5.143236:-5.458674)
54,moveGoal,(6496.0435:6243.1987),(-5.1446524:-5.4573402)
55,moveGoal,(6490.8784:6237.7607),(-5.16527:-5.437829)
56,moveGoal,(6485.7007:6232.3345),(-5.177615:-5.4260764)
57,moveGoal,(6480.505:6226.926),(-5.195816:-5.4086504)
58,moveGoal,(6475.363:6221.4663),(-5.1422315:-5.4596205)
59,moveGoal,(6470.207:6216.0195),(-5.155939:-5.446677)
