step,tag,position,velocity
0,moveGoal,(4122.2227:8383.334),(0.0:0.0)
1,moveGoal,(4123.847:8390.656),(1.624476:7.321959)
2,moveGoal,(4131.104:8392.55),(7.257052:1.8934636)
3,moveGoal,(4137.526:8388.676),(6.4217205:-3.8744678)
4,moveGoal,(4145.025:8388.782),(7.499247:0.1062619)
5,moveGoal,(4152.4497:8389.841),(7.4249797:1.0581505)
6,moveGoal,(4159.375:8392.721),(6.9250946:2.879768)
7,moveGoal,(4166.7534:8394.066),(7.3782735:1.3457652)
8,moveGoal,(4174.1353:8395.393),(7.381815:1.3261999)
9,moveGoal,(4180.798:8398.836),(6.6626506:3.4437037)
10,moveGoal,(4186.9805:8403.082),(6.182527:4.245746)
11,moveGoal,(4194.4487:8403.77),(7.468416:0.6875741)
12,moveGoal,(4201.8823:8404.766),(7.43358:0.9959363)
13,moveGoal,(4207.692:8400.022),(5.8094397:-4.7434597)
14,moveGoal,(4213.3584:8404.936),(5.6665306:4.9132915)
15,moveGoal,(4220.813:8404.111),(7.4545994:-0.8239868)
16,moveGoal,(4226.31:8399.009),(5.496988:-5.102267)
17,moveGoal,(4228.074:8406.299),(1.7640254:7.2895966)
18,moveGoal,(4221.395:8402.888),(-6.6793003:-3.4112976)
19,moveGoal,(4226.584:8397.473),(5.188845:-5.4153385)
20,moveGoal,(4228.004:8404.837),(1.4198207:7.3643813)
21,moveGoal,(4231.5425:8398.225),(3.5385885:-6.612745)
22,moveGoal,(4231.321:8390.728),(-0.22169673:-7.4967227)
23,moveGoal,(4232.357:8383.3),(1.0360891:-7.42809)
24,moveGoal,(4233.478:8375.884),(1.1212382:-7.4157147)
25,moveGoal,(4234.0923:8368.409),(0.61441135:-7.4747906)
26,moveGoal,(4234.822:8360.944),(0.7296791:-7.46442)
27,moveGoal,(4233.3643:8353.587),(-1.4573246:-7.357052)
28,moveGoal,(4233.604:8346.091),(0.23987724:-7.496163)
29,moveGoal,(4234.286:8338.622),(0.682299:-7.4689)
30,moveGoal,(4234.779:8331.139),(0.49268353:-7.4838004)
31,moveGoal,(4232.8823:8323.883),(-1.8964669:-7.256267)
32,moveGoal,(4231.759:8316.468),(-1.1236454:-7.4153504)
33,moveGoal,(4226.087:8311.561),(-5.6719003:-4.907092)
34,moveGoal,(4232.181:8315.932),(6.094319:4.3714156)
35,moveGoal,(4231.7393:8308.444),(-0.44170982:-7.4869814)
36,moveGoal,(4231.351:8300.954),(-0.38818336:-7.4899473)
37,moveGoal,(4230.914:8293.467),(-0.43704793:-7.4872556)
38,moveGoal,(4230.2627:8285.995),(-0.651313:-7.471666)
39,moveGoal,(4229.4604:8278.538),(-0.80246615:-7.4569464)
40,moveGoal,(4228.586:8271.089),(-0.87464553:-7.4488254)
41,moveGoal,(4227.6494:8263.647),(-0.9367139:-7.441274)
42,moveGoal,(4225.787:8256.382),(-1.8620807:-7.265167)
43,moveGoal,(4224.838:8248.942),(-0.9491076:-7.439704)
44,moveGoal,(4223.59:8241.547),(-1.2482088:-7.3954024)
45,moveGoal,(4221.6587:8234.3),(-1.9311194:-7.2471223)
46,moveGoal,(4220.636:8226.87),(-1.0223314:-7.429996)
47,moveGoal,(4220.1426:8219.387),(-0.49387527:-7.4837217)
48,moveGoal,(4219.357:8211.928),(-0.7854014:-7.458763)
49,moveGoal,(4218.112:8204.532),(-1.2452418:-7.3959026)
50,moveGoal,(4223.3447:8199.159),(5.2329698:-5.3727117)
51,moveGoal,(4222.366:8191.723),(-0.9784829:-7.4358974)
52,moveGoal,(4221.3525:8184.292),(-1.0137358:-7.431174)
53,moveGoal,(4220.3:8176.866),(-1.0529227:-7.4257226)
54,moveGoal,(4219.186:8169.449),(-1.113694:-7.4168515)
55,moveGoal,(4218.0005:8162.0435),(-1.1857241:-7.4056773)
56,moveGoal,(4216.758:8154.647),(-1.2429038:-7.396296)
57,moveGoal,(4215.1533:8147.321),(-1.6045814:-7.3263445)
58,moveGoal,(4213.6455:8139.974),(-1.5077759:-7.346878)
59,moveGoal,(4211.73:8132.7227),(-1.9156243:-7.251233)
60,moveGoal,(4210.2227:8125.3755),(-1.50722:-7.346992)
61,moveGoal,(4208.846:8118.003),(-1.3762283:-7.372652)
62,moveGoal,(4207.4556:8110.633),(-1.3904003:-7.3699923)
63,moveGoal,(4205.8022:8103.3174),(-1.6532747:-7.3155103)
64,moveGoal,(4204.0073:8096.035),(-1.7950866:-7.2820096)
65,moveGoal,(4202.344:8088.7217),(-1.6630096:-7.313303)
66,moveGoal,(4200.798:8081.383),(-1.5465273:-7.3388186)
67,moveGoal,(4199.2725:8074.0396),(-1.5253801:-7.343243)
68,moveGoal,(4197.9375:8066.659),(-1.3350695:-7.3802166)
