step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8438.636:3155.3052),(5.3017364:5.304865)
2,moveGoal,(8441.447:3162.2583),(2.81124:6.953196)
3,moveGoal,(8446.367:3167.9192),(4.9197288:5.660943)
4,moveGoal,(8453.745:3169.2644),(7.3783836:1.3451592)
5,moveGoal,(8459.579:3173.978),(5.833682:4.713614)
6,moveGoal,(8465.084:3179.0713),(5.505324:5.0932713)
7,moveGoal,(8457.584:3179.1543),(-7.499541:0.082985684)
8,moveGoal,(8463.772:3174.9177),(6.188813:-4.236578)
9,moveGoal,(8458.602:3169.4856),(-5.1713815:-5.4320173)
10,moveGoal,(8455.428:3162.6904),(-3.1740606:-6.795244)
11,moveGoal,(8458.498:3169.5332),(3.070252:6.842774)
12,moveGoal,(8453.355:3174.9924),(-5.142674:5.459204)
13,moveGoal,(8448.035:3180.2786),(-5.3203926:5.2861543)
14,moveGoal,(8445.74:3187.419),(-2.2947667:7.1403112)
15,moveGoal,(8445.388:3194.9106),(-0.3521068:7.49173)
16,moveGoal,(8448.772:3201.6033),(3.384962:6.692685)
17,moveGoal,(8451.808:3208.4617),(3.035053:6.858459)
18,moveGoal,(8458.174:3212.426),(6.3666:3.9643927)
19,moveGoal,(8464.491:3216.4685),(6.3173065:4.0424795)
20,moveGoal,(8471.917:3215.419),(7.426185:-1.0496562)
21,moveGoal,(8478.23:3219.4678),(6.313221:4.0488577)
22,moveGoal,(8477.066:3226.877),(-1.1637264:7.4091663)
23,moveGoal,(8479.239:3234.0554),(2.1727607:7.178378)
24,moveGoal,(8486.533:3235.7996),(7.294382:1.7441293)
25,moveGoal,(8482.388:3242.0498),(-4.1455765:6.250136)
26,moveGoal,(8475.105:3243.842),(-7.2827015:1.7922767)
27,moveGoal,(8482.6045:3243.9773),(7.4987817:0.13517775)
28,moveGoal,(8475.615:3241.2563),(-6.9890304:-2.7209296)
29,moveGoal,(8468.195:3240.1648),(-7.4201593:-1.0914395)
30,moveGoal,(8471.104:3233.2517),(2.9085011:-6.9130764)
