step,tag,position,velocity
0,moveGoal,(4122.2227:8566.668),(0.0:0.0)
1,moveGoal,(4122.503:8574.163),(0.28010917:7.4947677)
2,moveGoal,(4123.4116:8581.607),(0.90886503:7.4447274)
3,moveGoal,(4126.3545:8588.506),(2.942707:6.8985853)
4,moveGoal,(4132.1475:8593.27),(5.7928505:4.763705)
5,moveGoal,(4138.6807:8596.953),(6.5331135:3.6835349)
6,moveGoal,(4143.254:8602.897),(4.573416:5.944229)
7,moveGoal,(4148.275:8608.469),(5.0212355:5.571103)
8,moveGoal,(4152.6504:8614.561),(4.37555:6.0913515)
9,moveGoal,(4156.219:8621.157),(3.5687988:6.59649)
10,moveGoal,(4160.065:8627.596),(3.845878:6.4388843)
11,moveGoal,(4163.937:8634.019),(3.8720293:6.4231915)
12,moveGoal,(4165.7314:8641.301),(1.7945998:7.2821293)
13,moveGoal,(4168.388:8648.314),(2.6569428:7.013605)
14,moveGoal,(4166.1562:8655.475),(-2.231806:7.1602407)
15,moveGoal,(4164.215:8662.719),(-1.9412901:7.2444043)
16,moveGoal,(4162.007:8669.887),(-2.2082388:7.167544)
17,moveGoal,(4154.5117:8670.151),(-7.4953146:0.2650628)
18,moveGoal,(4155.8833:8677.524),(1.3717202:7.3734922)
19,moveGoal,(4155.429:8685.011),(-0.4542262:7.4862328)
20,moveGoal,(4155.7607:8692.503),(0.33170462:7.4926615)
21,moveGoal,(4152.9014:8699.437),(-2.8594718:6.9335003)
22,moveGoal,(4159.9185:8696.789),(7.0171604:-2.6475387)
23,moveGoal,(4160.611:8689.321),(0.6925175:-7.46796)
24,moveGoal,(4162.161:8681.983),(1.5504303:-7.337995)
25,moveGoal,(4163.081:8674.54),(0.91999817:-7.44336)
26,moveGoal,(4170.543:8673.785),(7.461928:-0.7547426)
27,moveGoal,(4170.128:8666.297),(-0.41509312:-7.4885044)
28,moveGoal,(4169.025:8658.878),(-1.102862:-7.4184704)
29,moveGoal,(4167.663:8651.503),(-1.3619885:-7.375296)
30,moveGoal,(4166.0703:8644.174),(-1.5929844:-7.3288746)
31,moveGoal,(4164.3706:8636.869),(-1.6997967:-7.3048406)
32,moveGoal,(4162.6104:8629.578),(-1.760082:-7.2905493)
33,moveGoal,(4160.6533:8622.338),(-1.956891:-7.240206)
34,moveGoal,(4156.9854:8615.796),(-3.6680012:-6.541847)
35,moveGoal,(4155.014:8608.56),(-1.9709775:-7.236384)
36,moveGoal,(4153.0986:8601.309),(-1.9157298:-7.2512054)
37,moveGoal,(4151.128:8594.072),(-1.970786:-7.236436)
38,moveGoal,(4149.211:8586.821),(-1.916844:-7.2509108)
39,moveGoal,(4147.279:8579.574),(-1.9322984:-7.246808)
40,moveGoal,(4145.3374:8572.33),(-1.941209:-7.2444263)
41,moveGoal,(4143.3447:8565.1),(-1.9927036:-7.230431)
42,moveGoal,(4141.333:8557.874),(-2.0117228:-7.2251625)
43,moveGoal,(4139.346:8550.642),(-1.986575:-7.2321177)
44,moveGoal,(4137.3813:8543.403),(-1.9648473:-7.2380505)
45,moveGoal,(4135.41:8536.167),(-1.9710767:-7.2363567)
46,moveGoal,(4133.444:8528.93),(-1.9664754:-7.2376084)
47,moveGoal,(4131.364:8521.724),(-2.0800238:-7.2057967)
48,moveGoal,(4129.3213:8514.507),(-2.0423229:-7.2165728)
49,moveGoal,(4127.2954:8507.285),(-2.0257685:-7.221237)
50,moveGoal,(4125.2803:8500.061),(-2.0150523:-7.2242346)
51,moveGoal,(4123.059:8492.897),(-2.2211692:-7.1635475)
52,moveGoal,(4120.819:8485.74),(-2.2403653:-7.157567)
53,moveGoal,(4118.5967:8478.577),(-2.221951:-7.163305)
54,moveGoal,(4116.377:8471.413),(-2.2197847:-7.1639767)
55,moveGoal,(4114.16:8464.248),(-2.2166708:-7.164941)
56,moveGoal,(4111.973:8457.074),(-2.186886:-7.1740875)
57,moveGoal,(4109.907:8449.864),(-2.0658576:-7.209871)
58,moveGoal,(4107.886:8442.642),(-2.021101:-7.2225447)
59,moveGoal,(4105.894:8435.411),(-1.99226:-7.230553)
60,moveGoal,(4103.943:8428.169),(-1.9511865:-7.241745)
61,moveGoal,(4102.046:8420.913),(-1.8971099:-7.256099)
62,moveGoal,(4100.159:8413.654),(-1.8867348:-7.258804)
63,moveGoal,(4098.268:8406.396),(-1.891248:-7.2576294)
64,moveGoal,(4096.3857:8399.137),(-1.8821204:-7.2600017)
65,moveGoal,(4094.5017:8391.877),(-1.8840406:-7.259504)
66,moveGoal,(4092.5388:8384.639),(-1.9628667:-7.238588)
67,moveGoal,(4090.5222:8377.415),(-2.0167055:-7.2237735)
68,moveGoal,(4088.479:8370.199),(-2.0433314:-7.216287)
69,moveGoal,(4086.4548:8362.978),(-2.0240607:-7.221716)
70,moveGoal,(4084.3955:8355.766),(-2.059319:-7.211741)
71,moveGoal,(4082.3606:8348.547),(-2.0349715:-7.218649)
72,moveGoal,(4080.4858:8341.285),(-1.8746357:-7.261938)
73,moveGoal,(4078.6462:8334.015),(-1.8395537:-7.270904)
74,moveGoal,(4076.811:8326.742),(-1.8352145:-7.2720003)
75,moveGoal,(4074.9683:8319.472),(-1.8428632:-7.270066)
76,moveGoal,(4073.1206:8312.203),(-1.84766:-7.2688484)
77,moveGoal,(4071.2583:8304.938),(-1.8622444:-7.2651253)
78,moveGoal,(4078.5608:8306.648),(7.302375:1.710357)
79,moveGoal,(4076.4614:8299.448),(-2.099454:-7.2001595)
80,moveGoal,(4074.365:8292.247),(-2.0964:-7.2010493)
81,moveGoal,(4072.275:8285.044),(-2.0899796:-7.202915)
82,moveGoal,(4070.1846:8277.841),(-2.0904005:-7.202793)
83,moveGoal,(4068.0918:8270.639),(-2.0926838:-7.20213)
84,moveGoal,(4066.0017:8263.436),(-2.0900612:-7.202892)
85,moveGoal,(4063.916:8256.231),(-2.0857136:-7.2041516)
86,moveGoal,(4061.8313:8249.027),(-2.0846014:-7.204474)
87,moveGoal,(4059.7463:8241.823),(-2.0849495:-7.204373)
88,moveGoal,(4057.6765:8234.614),(-2.0698335:-7.20873)
89,moveGoal,(4055.6204:8227.401),(-2.0562067:-7.212629)
90,moveGoal,(4053.567:8220.1875),(-2.0535314:-7.213391)
91,moveGoal,(4051.5144:8212.974),(-2.0523784:-7.2137194)
92,moveGoal,(4049.4841:8205.754),(-2.0301616:-7.220003)
93,moveGoal,(4047.4595:8198.532),(-2.0247536:-7.221522)
94,moveGoal,(4045.435:8191.3105),(-2.024523:-7.221586)
95,moveGoal,(4043.4133:8184.0884),(-2.0217867:-7.222353)
96,moveGoal,(4041.3958:8176.8647),(-2.017595:-7.223525)
97,moveGoal,(4039.3713:8169.643),(-2.0243163:-7.2216444)
98,moveGoal,(4037.5276:8162.373),(-1.843755:-7.26984)
99,moveGoal,(4035.666:8155.108),(-1.8616128:-7.2652874)
100,moveGoal,(4033.8162:8147.84),(-1.8498282:-7.2682962)
101,moveGoal,(4031.9756:8140.5693),(-1.840664:-7.270623)
102,moveGoal,(4030.1565:8133.2935),(-1.8190173:-7.276069)
103,moveGoal,(4028.343:8126.016),(-1.8135576:-7.2774315)
104,moveGoal,(4030.5361:8133.1885),(2.1930547:7.172204)
105,moveGoal,(4025.557:8138.7974),(-4.9791756:5.6087265)
106,moveGoal,(4023.3638:8131.625),(-2.1931448:-7.1721764)
107,moveGoal,(4021.2002:8124.444),(-2.163462:-7.181186)
108,moveGoal,(4020.8296:8131.9346),(-0.37067798:7.490834)
109,moveGoal,(4018.4634:8124.818),(-2.3663092:-7.116922)
110,moveGoal,(4016.2993:8131.999),(-2.1639771:7.1810308)
111,moveGoal,(4013.924:8124.8853),(-2.3751588:-7.1139736)
112,moveGoal,(4011.555:8117.769),(-2.3691237:-7.115986)
113,moveGoal,(4009.1995:8110.6484),(-2.3554869:-7.120511)
114,moveGoal,(4007.2214:8103.414),(-1.9781195:-7.2344346)
115,moveGoal,(4005.3374:8096.1543),(-1.8839315:-7.259532)
116,moveGoal,(4003.4453:8088.897),(-1.8921508:-7.257394)
117,moveGoal,(3999.4421:8095.2393),(-4.0031886:6.3422775)
118,moveGoal,(3997.1428:8088.1006),(-2.2993052:-7.138851)
119,moveGoal,(3994.9348:8080.933),(-2.208081:-7.1675925)
120,moveGoal,(3992.4736:8073.8486),(-2.4612029:-7.0846653)
121,moveGoal,(3999.4712:8071.1494),(6.997475:-2.6991374)
122,moveGoal,(3997.502:8063.9126),(-1.9692962:-7.2368417)
123,moveGoal,(4002.7415:8069.279),(5.239608:5.3662386)
124,moveGoal,(4008.3547:8074.253),(5.613232:4.974096)
125,moveGoal,(4006.4783:8066.9917),(-1.8764573:-7.2614675)
126,moveGoal,(4004.6755:8059.7114),(-1.8026444:-7.2801423)
127,moveGoal,(4011.3755:8063.082),(6.7000184:3.3704236)
128,moveGoal,(4009.5183:8055.8154),(-1.8570791:-7.2664475)
129,moveGoal,(4016.9172:8054.589),(7.3990145:-1.2266166)
130,moveGoal,(4016.3955:8047.107),(-0.5218169:-7.4818254)
131,moveGoal,(4016.374:8039.607),(-0.021531012:-7.499969)
132,moveGoal,(4020.1816:8033.1455),(3.8075156:-6.461643)
133,moveGoal,(4020.6433:8025.6597),(0.46171108:-7.485775)
134,moveGoal,(4019.9111:8018.1953),(-0.7320948:-7.464184)
135,moveGoal,(4027.0818:8015.997),(7.1706023:-2.1982868)
136,moveGoal,(4025.89:8008.5923),(-1.1918412:-7.4046955)
137,moveGoal,(4024.0928:8001.3105),(-1.797035:-7.281529)
138,moveGoal,(4021.2817:7994.3574),(-2.811089:-6.9532566)
139,moveGoal,(4018.74:7987.3013),(-2.5417533:-7.0561666)
140,moveGoal,(4016.3726:7980.1846),(-2.3674552:-7.116541)
141,moveGoal,(4014.2866:7972.9805),(-2.085926:-7.20409)
142,moveGoal,(4018.464:7966.7515),(4.177427:-6.228893)
143,moveGoal,(4017.1558:7959.3667),(-1.3083832:-7.384994)
144,moveGoal,(4017.8948:7966.83),(0.7389611:7.463507)
145,moveGoal,(4015.7393:7959.6465),(-2.1556208:-7.1835437)
146,moveGoal,(4018.266:7952.585),(2.5268342:-7.0615234)
147,moveGoal,(4014.3396:7946.195),(-3.9265962:-6.38998)
148,moveGoal,(4019.8835:7951.246),(5.5439982:5.051147)
149,moveGoal,(4017.9482:7944.0),(-1.9353673:-7.245989)
150,moveGoal,(4022.3723:7950.056),(4.4241676:6.0561323)
151,moveGoal,(4023.0986:7942.5913),(0.7263828:-7.4647417)
152,moveGoal,(4024.841:7949.886),(1.7423819:7.2948)
153,moveGoal,(4028.015:7943.091),(3.1738684:-6.795334)
154,moveGoal,(4034.9023:7946.0596),(6.8873587:2.9688878)
155,moveGoal,(4032.3347:7939.0127),(-2.5676181:-7.0467963)
156,moveGoal,(4039.8232:7938.596),(7.4884133:-0.41674396)
157,moveGoal,(4037.445:7931.4834),(-2.3781347:-7.1129794)
158,moveGoal,(4044.3774:7934.3457),(6.932297:2.862387)
159,moveGoal,(4044.7737:7926.856),(0.3962887:-7.4895234)
160,moveGoal,(4048.5095:7933.3594),(3.7357922:6.503373)
161,moveGoal,(4047.759:7925.897),(-0.75044423:-7.4623613)
162,moveGoal,(4055.259:7925.885),(7.49999:-0.012165435)
163,moveGoal,(4054.2878:7918.4478),(-0.971245:-7.4368467)
164,moveGoal,(4058.1326:7924.887),(3.8447914:6.4395328)
165,moveGoal,(4055.305:7917.9404),(-2.8276162:-6.9465523)
166,moveGoal,(4059.462:7924.183),(4.1568847:6.24262)
167,moveGoal,(4057.9753:7916.832),(-1.4866157:-7.3511887)
168,moveGoal,(4055.4263:7909.7783),(-2.5490701:-7.053527)
169,moveGoal,(4060.8904:7914.916),(5.4640365:5.137539)
170,moveGoal,(4060.5017:7907.4263),(-0.38862818:-7.489925)
171,moveGoal,(4067.304:7904.267),(6.802176:-3.1591783)
172,moveGoal,(4071.102:7910.7344),(3.7980347:6.46722)
173,moveGoal,(4066.747:7904.6284),(-4.3549027:-6.1061296)
174,moveGoal,(4071.396:7898.743),(4.6489854:-5.8853154)
175,moveGoal,(4070.6296:7891.282),(-0.7663951:-7.46074)
176,moveGoal,(4075.036:7897.3516),(4.4061465:6.0692563)
177,moveGoal,(4079.8396:7903.1113),(4.803748:5.759688)
178,moveGoal,(4078.3948:7895.752),(-1.4448136:-7.359519)
179,moveGoal,(4079.7173:7888.3696),(1.3225676:-7.382467)
180,moveGoal,(4082.6765:7895.261),(2.959342:6.891465)
181,moveGoal,(4080.7686:7888.008),(-1.9079107:-7.253267)
182,moveGoal,(4078.9631:7880.7285),(-1.8054082:-7.2794576)
183,moveGoal,(4082.0786:7873.9062),(3.115471:-6.8223047)
184,moveGoal,(4086.5964:7879.8926),(4.517856:5.9865665)
185,moveGoal,(4084.3489:7872.7373),(-2.2476742:-7.1552753)
186,moveGoal,(4086.1533:7865.4575),(1.8045503:-7.2796702)
187,moveGoal,(4090.3416:7859.236),(4.1883063:-6.221583)
188,moveGoal,(4087.0867:7852.479),(-3.2548559:-6.7569165)
189,moveGoal,(4092.5215:7847.3105),(5.4347258:-5.1685348)
190,moveGoal,(4090.1255:7840.2036),(-2.3960614:-7.1069613)
191,moveGoal,(4090.6045:7832.7188),(0.4789781:-7.4846897)
192,moveGoal,(4097.301:7836.0967),(6.696204:3.3779957)
