step,tag,position,velocity
0,moveGoal,(8433.334:3150.0002),(0.0:0.0)
1,moveGoal,(8440.324:3147.2812),(6.9897885:-2.718981)
2,moveGoal,(8447.625:3145.5654),(7.301088:-1.7158438)
3,moveGoal,(8454.987:3144.135),(7.362336:-1.4303882)
4,moveGoal,(8461.7705:3140.9346),(6.782868:-3.2004228)
5,moveGoal,(8469.252:3140.4138),(7.481895:-0.52081996)
6,moveGoal,(8476.663:3141.5667),(7.410867:1.1528453)
7,moveGoal,(8484.115:3142.4143),(7.4519334:0.84775656)
8,moveGoal,(8490.999:3145.3904),(6.884222:2.9761534)
9,moveGoal,(8498.219:3147.4204),(7.220025:2.030084)
10,moveGoal,(8505.026:3150.568),(6.8074484:3.1478)
11,moveGoal,(8512.048:3153.2034),(7.021797:2.635217)
12,moveGoal,(8512.936:3160.6506),(0.8879631:7.4472494)
13,moveGoal,(8516.072:3153.8384),(3.1371846:-6.8123474)
14,moveGoal,(8521.028:3148.2092),(4.956119:-5.6291103)
15,moveGoal,(8525.507:3154.2253),(4.4784737:6.016084)
16,moveGoal,(8530.79:3148.902),(5.283218:-5.323309)
17,moveGoal,(8538.05:3150.7869),(7.2593417:1.8846636)
18,moveGoal,(8540.48:3143.6917),(2.4308512:-7.0951366)
19,moveGoal,(8547.562:3146.1624),(7.081372:2.470663)
20,moveGoal,(8553.573:3141.6782),(6.0118914:-4.484101)
21,moveGoal,(8559.81:3137.5115),(6.2360864:-4.1666813)
22,moveGoal,(8566.132:3141.5469),(6.3218393:4.035388)
23,moveGoal,(8572.677:3137.8835),(6.544518:-3.6632342)
24,moveGoal,(8574.791:3145.0793),(2.1139407:7.1959195)
25,moveGoal,(8580.589:3140.3213),(5.797408:-4.7581573)
26,moveGoal,(8586.785:3144.547),(6.196226:4.225729)
27,moveGoal,(8593.095:3140.4927),(6.309641:-4.0544333)
28,moveGoal,(8598.293:3135.0862),(5.1981816:-5.4063773)
29,moveGoal,(8592.691:3140.073),(-5.601859:4.9869003)
30,moveGoal,(8587.178:3134.9888),(-5.513701:-5.0842013)
31,moveGoal,(8590.02:3141.9294),(2.8418741:6.9407315)
32,moveGoal,(8582.829:3139.7983),(-7.1908803:-2.13102)
33,moveGoal,(8583.872:3132.3713),(1.0433164:-7.4270782)
34,moveGoal,(8576.421:3131.5176),(-7.4512486:-0.8537543)
35,moveGoal,(8569.08:3133.0535),(-7.3410683:1.535811)
36,moveGoal,(8561.72:3131.6143),(-7.3606167:-1.4392099)
37,moveGoal,(8554.49:3129.6172),(-7.2292514:-1.996979)
38,moveGoal,(8547.029:3130.3772),(-7.461385:0.76009184)
39,moveGoal,(8554.087:3127.84),(7.0578804:-2.5369923)
40,moveGoal,(8546.83:3125.9463),(-7.256986:-1.8937149)
41,moveGoal,(8542.806:3132.2751),(-4.02434:6.3288774)
42,moveGoal,(8535.652:3130.0217),(-7.153439:-2.2535117)
43,moveGoal,(8531.182:3124.0),(-4.471039:-6.0216126)
44,moveGoal,(8524.628:3120.3535),(-6.5538344:-3.6465409)
45,moveGoal,(8517.509:3117.9937),(-7.1190424:-2.3599234)
46,moveGoal,(8511.828:3113.0972),(-5.680972:-4.8965864)
47,moveGoal,(8507.183:3107.209),(-4.6454954:-5.8880706)
48,moveGoal,(8500.653:3103.5188),(-6.529295:-3.6902993)
49,moveGoal,(8493.259:3104.7703),(-7.3948717:1.2513481)
50,moveGoal,(8493.7705:3112.2527),(0.512008:7.482503)
51,moveGoal,(8487.132:3108.7625),(-6.638356:-3.4903047)
