step,topic1,topic2,topic3
1,0,0.98602015,0
2,0,0.78654504,0.20478882
3,0.01182867,0.015702944,0.9724684
4,0,0.010568681,0.97948307
5,0,0,0.9824075
6,0,0,0.9854985
7,0,0,0.9899916
8,0,0,0.98860115
9,0,0,0.9900143
10,0.24589151,0.10485801,0.64925045
11,0.59051764,0.40460482,0
12,0.48477525,0.5108215,0
13,0.83855695,0.15652561,0
14,0.5577186,0.43782672,0
15,0,0.9899012,0
16,0,0.9899297,0
17,0,0.9911093,0
18,0,0.9906924,0
19,0,0.9903413,0
20,0,0.98883224,0
21,0,0.98782676,0
22,0,0.9832565,0
23,0,0.97952527,0.010883643
24,0,0.97883856,0.011211757
25,0.011435431,0.97612655,0.01243803
26,0.016145285,0.9657528,0.018101938
27,0.022171246,0.95281124,0.025017554
28,0.03158641,0.43010816,0.5383054
29,0.02894295,0.93678296,0.034274105
30,0.33333334,0.33333334,0.33333334
31,0.1710343,0.6254746,0.20349112
32,0.33333334,0.33333334,0.33333334
33,0.17103212,0.6256784,0.20328948
