step,topic1,topic2,topic3
1,0,0,0.9926409
2,0.040705975,0.09687509,0.86241895
3,0.62763727,0,0.36809933
4,0,0.7407915,0.25475675
5,0,0.9865142,0
6,0,0.9747549,0.020429747
7,0.196404,0.799332,0
8,0.16692676,0.81081456,0.022258673
9,0,0.9902636,0
10,0.86837935,0.12694393,0
11,0.10292808,0.057865735,0.8392062
12,0,0.8064825,0.18829677
13,0.07051498,0.92395836,0
14,0.5177905,0.4765132,0
15,0,0.9859218,0
16,0,0.987883,0
